"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2811.38 2811.38 2841.35 2841.35
6 2575.89 2575.89 2605.86 2605.86
11 2565.46 2565.46 2595.43 2595.43
18 2119.14 2119.14 2149.11 2149.11
136 2106.96 2106.96 2136.93 2136.93
144 1768.71 1768.71 1798.68 1798.68
505 1572.79 1572.79 1602.76 1602.76
526 1492.23 1492.23 1522.2 1522.2
628 1451.7 1451.7 1481.67 1481.67
771 1425.02 1425.02 1454.99 1454.99
907 1405.99 1405.99 1435.96 1435.96
924 1353.39 1353.39 1383.36 1383.36
962 1071.43 1071.43 1101.4 1101.4
1947 1021.93 1021.93 1051.9 1051.9
2050 2442.38 1021.93 2472.35 1051.9
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2892.7 2892.7 2840.99 2840.99
5 2473.69 2473.69 2421.98 2421.98
153 2363.62 2363.62 2311.91 2311.91
184 1892.72 1892.72 1841.01 1841.01
503 1840.48 1840.48 1788.77 1788.77
568 1583.86 1583.86 1532.15 1532.15
912 1409.45 1409.45 1357.74 1357.74
1324 1254.36 1254.36 1202.65 1202.65
1569 1133.41 1133.41 1081.7 1081.7
1712 1002.69 1002.69 950.981 950.981
2050 1557.63 1002.69 1505.92 950.981
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3634.45 3634.45 3354.5 3354.5
2 2407.79 2407.79 2127.84 2127.84
13 2391.64 2391.64 2111.69 2111.69
49 2304.01 2304.01 2024.06 2024.06
101 2253.4 2253.4 1973.45 1973.45
114 2173.26 2173.26 1893.31 1893.31
131 2169.32 2169.32 1889.37 1889.37
198 2047.6 2047.6 1767.65 1767.65
285 1935.06 1935.06 1655.11 1655.11
345 1684.7 1684.7 1404.75 1404.75
665 1586.41 1586.41 1306.46 1306.46
736 1572.79 1572.79 1292.84 1292.84
847 1423.09 1423.09 1143.14 1143.14
903 1219.88 1219.88 939.93 939.93
1378 1185.1 1185.1 905.149 905.149
1394 1184.74 1184.74 904.793 904.793
1413 1098.99 1098.99 819.037 819.037
1720 1079.85 1079.85 799.904 799.904
1778 937.528 937.528 657.578 657.578
2050 2399.95 937.528 2120 657.578
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2744.75 2744.75 3676.74 3676.74
10 2533.98 2533.98 3465.97 3465.97
103 2399.01 2399.01 3331 3331
123 1876.1 1876.1 2808.09 2808.09
519 1682.19 1682.19 2614.18 2614.18
538 1557.61 1557.61 2489.6 2489.6
541 1503.87 1503.87 2435.86 2435.86
742 1394.33 1394.33 2326.32 2326.32
914 1386.68 1386.68 2318.67 2318.67
981 975.723 975.723 1907.71 1907.71
1305 897.604 897.604 1829.59 1829.59
2050 1852.9 897.604 2784.89 1829.59
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3614.96 3614.96 3728.27 3728.27
2 3022.51 3022.51 3135.82 3135.82
6 2578.87 2578.87 2692.18 2692.18
7 2427.48 2427.48 2540.79 2540.79
24 2388.72 2388.72 2502.03 2502.03
36 2315.02 2315.02 2428.33 2428.33
42 2207.12 2207.12 2320.43 2320.43
120 1910.7 1910.7 2024.01 2024.01
507 1710.14 1710.14 1823.45 1823.45
583 1369.9 1369.9 1483.21 1483.21
941 1203.78 1203.78 1317.09 1317.09
1011 1086.5 1086.5 1199.81 1199.81
1303 998.422 998.422 1111.73 1111.73
1379 919.421 919.421 1032.73 1032.73
1484 916.529 916.529 1029.84 1029.84
1746 832.175 832.175 945.485 945.485
1780 817.657 817.657 930.967 930.967
