"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.3399 15.3399 22.2099 22.2099
4 14.6898 14.6898 21.5598 21.5598
5 9.44173 9.44173 16.3117 16.3117
7 8.79499 8.79499 15.665 15.665
12 5.92405 5.92405 12.794 12.794
261 5.37268 5.37268 12.2427 12.2427
723 4.23016 4.23016 11.1002 11.1002
1558 3.41522 3.41522 10.2852 10.2852
2050 14.5455 3.41522 21.4155 10.2852
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12.8723 12.8723 12.8823 12.8823
3 9.71391 9.71391 9.72391 9.72391
6 7.97679 7.97679 7.98679 7.98679
9 7.12388 7.12388 7.13388 7.13388
23 5.12337 5.12337 5.13337 5.13337
1182 4.90026 4.90026 4.91026 4.91026
1324 4.37839 4.37839 4.38839 4.38839
1646 3.61462 3.61462 3.62462 3.62462
1759 3.26114 3.26114 3.27114 3.27114
2050 20.0403 3.26114 20.0503 3.27114
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.64184 9.64184 -120.968 -120.968
13 9.41377 9.41377 -121.196 -121.196
27 7.31002 7.31002 -123.3 -123.3
154 6.35129 6.35129 -124.259 -124.259
165 5.2031 5.2031 -125.407 -125.407
187 5.19835 5.19835 -125.412 -125.412
381 4.62175 4.62175 -125.988 -125.988
1095 3.06585 3.06585 -127.544 -127.544
2050 15.9823 3.06585 -114.628 -127.544
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 14.7503 14.7503 -208.37 -208.37
3 10.9084 10.9084 -212.212 -212.212
16 10.803 10.803 -212.317 -212.317
21 9.06218 9.06218 -214.058 -214.058
23 6.01007 6.01007 -217.11 -217.11
449 5.8035 5.8035 -217.317 -217.317
541 5.51655 5.51655 -217.603 -217.603
829 3.98897 3.98897 -219.131 -219.131
2050 17.6353 3.98897 -205.485 -219.131
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 21.3038 21.3038 -23.1262 -23.1262
2 6.01956 6.01956 -38.4104 -38.4104
107 2.28842 2.28842 -42.1416 -42.1416
2050 19.0312 2.28842 -25.3988 -42.1416
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
