"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.20886e+07 2.20886e+07 2.20887e+07 2.20887e+07
2 1.49809e+07 1.49809e+07 1.4981e+07 1.4981e+07
3 1.1018e+07 1.1018e+07 1.1018e+07 1.1018e+07
6 2.81399e+06 2.81399e+06 2.81407e+06 2.81407e+06
7 9034.59 9034.59 9110.86 9110.86
41 937.911 937.911 1014.18 1014.18
111 60.0358 60.0358 136.306 136.306
850 8.66026e+06 60.0358 8.66034e+06 136.306
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.53557e+07 1.53557e+07 1.53557e+07 1.53557e+07
3 8.49861e+06 8.49861e+06 8.49859e+06 8.49859e+06
4 996902 996902 996879 996879
6 495122 495122 495099 495099
22 107339 107339 107317 107317
46 1593.07 1593.07 1570.52 1570.52
105 77.7363 77.7363 55.1863 55.1863
820 33.9043 33.9043 11.3543 11.3543
850 73649.3 33.9043 73626.7 11.3543
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.18174e+07 3.18174e+07 3.18174e+07 3.18174e+07
2 1.67835e+07 1.67835e+07 1.67835e+07 1.67835e+07
3 7.05723e+06 7.05723e+06 7.05724e+06 7.05724e+06
4 6227.59 6227.59 6241.25 6241.25
22 248.457 248.457 262.117 262.117
644 11.068 11.068 24.728 24.728
850 53561.7 11.068 53575.4 24.728
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17202.2 17202.2 18140.1 18140.1
6 446.826 446.826 1384.67 1384.67
265 36.5421 36.5421 974.382 974.382
850 8.13804e+06 36.5421 8.13897e+06 974.382
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.02052e+06 2.02052e+06 2.02044e+06 2.02044e+06
2 713210 713210 713131 713131
7 377552 377552 377473 377473
9 275188 275188 275109 275109
10 37433.2 37433.2 37354.5 37354.5
17 777.885 777.885 699.165 699.165
39 636.987 636.987 558.267 558.267
376 629.288 629.288 550.568 550.568
569 300.204 300.204 221.484 221.484
720 260.155 260.155 181.435 181.435
850 1.82044e+06 260.155 1.82036e+06 181.435
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 327448 327448 326850 326850
5 176058 176058 175460 175460
7 3177.73 3177.73 2579.3 2579.3
15 2810.2 2810.2 2211.77 2211.77
115 392.642 392.642 -205.788 -205.788
175 20.0141 20.0141 -578.416 -578.416
850 516010 20.0141 515412 -578.416
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.7497e+07 1.7497e+07 1.74969e+07 1.74969e+07
2 9.22353e+06 9.22353e+06 9.22345e+06 9.22345e+06
5 3.32666e+06 3.32666e+06 3.32657e+06 3.32657e+06
9 1.97409e+06 1.97409e+06 1.97401e+06 1.97401e+06
10 107773 107773 107688 107688
49 17004.6 17004.6 16919.2 16919.2
234 3211.67 3211.67 3126.25 3126.25
418 584.413 584.413 498.993 498.993
850 5.43373e+06 584.413 5.43365e+06 498.993
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.02612e+06 8.02612e+06 8.02632e+06 8.02632e+06
3 3.45369e+06 3.45369e+06 3.45389e+06 3.45389e+06
4 4822.43 4822.43 5015.68 5015.68
217 3857.56 3857.56 4050.81 4050.81
329 224.117 224.117 417.367 417.367
760 132.67 132.67 325.92 325.92
850 2511.86 132.67 2705.11 325.92
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.55386e+06 7.55386e+06 7.55368e+06 7.55368e+06
3 1.01053e+06 1.01053e+06 1.01035e+06 1.01035e+06
4 334763 334763 334582 334582
5 114465 114465 114283 114283
26 72.6371 72.6371 -108.863 -108.863
850 204603 72.6371 204421 -108.863
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.3777e+06 2.3777e+06 2.37815e+06 2.37815e+06
4 127424 127424 127876 127876
20 8639.27 8639.27 9091.89 9091.89
236 3852.1 3852.1 4304.72 4304.72
275 274.817 274.817 727.437 727.437
626 70.5732 70.5732 523.193 523.193
805 19.7822 19.7822 472.402 472.402
850 661830 19.7822 662283 472.402
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 407435 407435 407316 407316
17 276.198 276.198 157.738 157.738
259 235.119 235.119 116.659 116.659
518 33.059 33.059 -85.401 -85.401
