"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 88.0804 88.0804 167.56 167.56
2 43.5618 43.5618 123.042 123.042
5 40.6929 40.6929 120.173 120.173
7 28.3237 28.3237 107.804 107.804
14 25.7968 25.7968 105.277 105.277
15 21.7606 21.7606 101.241 101.241
25 19.7905 19.7905 99.2705 99.2705
30 16.8437 16.8437 96.3237 96.3237
111 12.3015 12.3015 91.7815 91.7815
112 10.4527 10.4527 89.9327 89.9327
136 9.37299 9.37299 88.853 88.853
141 9.02632 9.02632 88.5063 88.5063
213 2.2329 2.2329 81.7129 81.7129
508 1.93891 1.93891 81.4189 81.4189
523 0.543717 0.543717 80.0237 80.0237
850 6.45129 0.543717 85.9313 80.0237
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 84.6091 84.6091 479.089 479.089
2 12.125 12.125 406.605 406.605
35 7.77218 7.77218 402.252 402.252
147 3.07009 3.07009 397.55 397.55
850 30.9282 3.07009 425.408 397.55
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 108.562 108.562 -138.548 -138.548
2 35.9189 35.9189 -211.191 -211.191
24 31.4195 31.4195 -215.69 -215.69
26 18.5997 18.5997 -228.51 -228.51
298 7.20241 7.20241 -239.908 -239.908
377 7.03928 7.03928 -240.071 -240.071
513 5.24976 5.24976 -241.86 -241.86
627 3.6884 3.6884 -243.422 -243.422
850 8.08968 3.6884 -239.02 -243.422
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 72.5598 72.5598 -79.4802 -79.4802
3 34.2722 34.2722 -117.768 -117.768
5 13.3955 13.3955 -138.644 -138.644
180 2.0665 2.0665 -149.973 -149.973
566 1.55045 1.55045 -150.49 -150.49
850 47.3402 1.55045 -104.7 -150.49
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 146.704 146.704 121.454 121.454
2 23.8888 23.8888 -1.36124 -1.36124
27 11.3253 11.3253 -13.9247 -13.9247
447 9.12055 9.12055 -16.1295 -16.1295
850 259.539 9.12055 234.289 -16.1295
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 68.8097 68.8097 -132.91 -132.91
2 53.7554 53.7554 -147.965 -147.965
8 19.5963 19.5963 -182.124 -182.124
12 8.92606 8.92606 -192.794 -192.794
48 2.74865 2.74865 -198.971 -198.971
850 32.8996 2.74865 -168.82 -198.971
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 41.6646 41.6646 -958.335 -958.335
7 41.2728 41.2728 -958.727 -958.727
8 36.6261 36.6261 -963.374 -963.374
13 24.428 24.428 -975.572 -975.572
21 22.9066 22.9066 -977.093 -977.093
35 10.7378 10.7378 -989.262 -989.262
49 10.4481 10.4481 -989.552 -989.552
123 7.91984 7.91984 -992.08 -992.08
