"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.05698e+10 2.05698e+10 2.05698e+10 2.05698e+10
2 1.62788e+09 1.62788e+09 1.62787e+09 1.62787e+09
3 374758 374758 374137 374137
18 7019.07 7019.07 6397.96 6397.96
450 1.19645e+08 7019.07 1.19644e+08 6397.96
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.25514e+07 1.25514e+07 1.25512e+07 1.25512e+07
5 9.73865e+06 9.73865e+06 9.7384e+06 9.7384e+06
7 7.73126e+06 7.73126e+06 7.73101e+06 7.73101e+06
13 608678 608678 608423 608423
17 364714 364714 364459 364459
44 284761 284761 284506 284506
130 43168 43168 42913.2 42913.2
293 11785 11785 11530.2 11530.2
450 2.93512e+07 11785 2.93509e+07 11530.2
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.17788e+06 7.17788e+06 7.17794e+06 7.17794e+06
5 303031 303031 303088 303088
12 164834 164834 164891 164891
16 43092.6 43092.6 43149.2 43149.2
21 26210.5 26210.5 26267.1 26267.1
345 7524.93 7524.93 7581.54 7581.54
442 414.211 414.211 470.821 470.821
450 7.54577e+07 414.211 7.54578e+07 470.821
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.08399e+07 3.08399e+07 3.08398e+07 3.08398e+07
2 9.92062e+06 9.92062e+06 9.9206e+06 9.9206e+06
3 8.34182e+06 8.34182e+06 8.3418e+06 8.3418e+06
4 147944 147944 147926 147926
33 33547.8 33547.8 33529.7 33529.7
117 26812.5 26812.5 26794.4 26794.4
120 10244.4 10244.4 10226.3 10226.3
139 1474.33 1474.33 1456.23 1456.23
242 365.299 365.299 347.199 347.199
336 137.917 137.917 119.817 119.817
450 161521 137.917 161503 119.817
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.39711e+06 3.39711e+06 3.39715e+06 3.39715e+06
8 2.51278e+06 2.51278e+06 2.51282e+06 2.51282e+06
14 97848.6 97848.6 97886.4 97886.4
24 52828.2 52828.2 52865.9 52865.9
42 1803.22 1803.22 1840.99 1840.99
177 943.546 943.546 981.316 981.316
257 8.3455 8.3455 46.1155 46.1155
450 2.67615e+06 8.3455 2.67619e+06 46.1155
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.53289e+08 2.53289e+08 2.53289e+08 2.53289e+08
3 974550 974550 974535 974535
9 480309 480309 480294 480294
19 159513 159513 159498 159498
38 60622.5 60622.5 60607.3 60607.3
182 12565.2 12565.2 12550 12550
450 2.20656e+07 12565.2 2.20655e+07 12550
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.87457e+06 7.87457e+06 7.87441e+06 7.87441e+06
5 1.8887e+06 1.8887e+06 1.88854e+06 1.88854e+06
7 298729 298729 298567 298567
9 7753.83 7753.83 7592.4 7592.4
105 6.26312 6.26312 -155.167 -155.167
450 238163 6.26312 238002 -155.167
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.58541e+06 1.58541e+06 1.58574e+06 1.58574e+06
3 230583 230583 230911 230911
11 155147 155147 155475 155475
17 91666.5 91666.5 91994.6 91994.6
34 82968.2 82968.2 83296.2 83296.2
46 51219 51219 51547 51547
48 29915.8 29915.8 30243.8 30243.8
106 16821.3 16821.3 17149.3 17149.3
144 10621.2 10621.2 10949.3 10949.3
148 3090.28 3090.28 3418.31 3418.31
149 1377.21 1377.21 1705.24 1705.24
290 113.307 113.307 441.337 441.337
450 416433 113.307 416761 441.337
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.39717e+07 1.39717e+07 1.39716e+07 1.39716e+07
2 3.36245e+06 3.36245e+06 3.36242e+06 3.36242e+06
6 1.1575e+06 1.1575e+06 1.15747e+06 1.15747e+06
17 137946 137946 137914 137914
111 13986.5 13986.5 13954.4 13954.4
118 7103.47 7103.47 7071.34 7071.34
128 6749.99 6749.99 6717.86 6717.86
171 334.438 334.438 302.308 302.308
450 2.68651e+07 334.438 2.68651e+07 302.308
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.3073e+06 1.3073e+06 1.30732e+06 1.30732e+06
9 520034 520034 520050 520050
26 355738 355738 355753 355753
39 4409.09 4409.09 4424.85 4424.85
253 4315.61 4315.61 4331.37 4331.37
266 3524.89 3524.89 3540.65 3540.65
278 468.296 468.296 484.056 484.056
450 8.85415e+06 468.296 8.85417e+06 484.056
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 360027 360027 360064 360064
7 266736 266736 266773 266773
11 14169 14169 14206.3 14206.3
352 602.791 602.791 640.141 640.141
450 2.09079e+08 602.791 2.09079e+08 640.141
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.06461e+07 3.06461e+07 3.06458e+07 3.06458e+07
3 1.85649e+07 1.85649e+07 1.85646e+07 1.85646e+07
4 2.06121e+06 2.06121e+06 2.0609e+06 2.0609e+06
7 1.45275e+06 1.45275e+06 1.45244e+06 1.45244e+06
9 343146 343146 342836 342836
13 14198 14198 13888.3 13888.3
22 10153.6 10153.6 9844 9844
43 1082.96 1082.96 773.329 773.329
165 834.912 834.912 525.282 525.282
450 1.83789e+07 834.912 1.83785e+07 525.282
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 120395 120395 119395 119395
24 120.348 120.348 -879.652 -879.652
450 120.348 120.348 -879.652 -879.652
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.31185e+08 6.31185e+08 6.31185e+08 6.31185e+08
2 33188.7 33188.7 33246.7 33246.7
4 21628.9 21628.9 21686.9 21686.9
22 4071.91 4071.91 4129.91 4129.91
217 3666.33 3666.33 3724.33 3724.33
313 194.576 194.576 252.576 252.576
450 2.24994e+07 194.576 2.24994e+07 252.576
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.13305e+07 2.13305e+07 2.13306e+07 2.13306e+07
2 2.64846e+06 2.64846e+06 2.64855e+06 2.64855e+06
3 757338 757338 757433 757433
5 90877.4 90877.4 90971.8 90971.8
23 70543.9 70543.9 70638.3 70638.3
45 10323.2 10323.2 10417.6 10417.6
46 904.391 904.391 998.771 998.771
228 26.2927 26.2927 120.673 120.673
450 896304 26.2927 896399 120.673
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.3799e+07 4.3799e+07 4.3799e+07 4.3799e+07
2 4.96798e+06 4.96798e+06 4.96795e+06 4.96795e+06
6 2.15684e+06 2.15684e+06 2.15682e+06 2.15682e+06
14 202976 202976 202949 202949
41 106107 106107 106080 106080
103 68074.9 68074.9 68048.2 68048.2
104 27110.1 27110.1 27083.5 27083.5
124 13131.8 13131.8 13105.2 13105.2
141 2562.35 2562.35 2535.69 2535.69
212 2018.07 2018.07 1991.41 1991.41
235 423.584 423.584 396.924 396.924
450 5.50657e+07 423.584 5.50657e+07 396.924
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.1368e+07 4.1368e+07 4.13672e+07 4.13672e+07
2 476589 476589 475747 475747
12 73461.8 73461.8 72620.1 72620.1
31 4329.67 4329.67 3487.96 3487.96
450 5.01124e+07 4329.67 5.01115e+07 3487.96
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.66824e+10 1.66824e+10 1.66824e+10 1.66824e+10
2 1.16332e+07 1.16332e+07 1.16333e+07 1.16333e+07
14 1.45288e+06 1.45288e+06 1.45292e+06 1.45292e+06
27 1.39238e+06 1.39238e+06 1.39242e+06 1.39242e+06
39 128093 128093 128128 128128
326 1223.24 1223.24 1258.01 1258.01
450 2.11865e+09 1223.24 2.11865e+09 1258.01
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 707663 707663 707109 707109
9 80968.1 80968.1 80414.3 80414.3
19 9858.09 9858.09 9304.27 9304.27
22 56.8378 56.8378 -496.982 -496.982
150 43.6183 43.6183 -510.202 -510.202
159 7.02612 7.02612 -546.794 -546.794
450 8.77024e+06 7.02612 8.76969e+06 -546.794
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.02879e+08 1.02879e+08 1.02879e+08 1.02879e+08
2 1.04522e+06 1.04522e+06 1.04487e+06 1.04487e+06
4 543615 543615 543269 543269
11 103097 103097 102750 102750
36 30091.7 30091.7 29745.4 29745.4
118 22966.6 22966.6 22620.2 22620.2
126 10553.1 10553.1 10206.8 10206.8
197 6897.5 6897.5 6551.11 6551.11
243 1031.46 1031.46 685.072 685.072
450 3135.03 1031.46 2788.64 685.072
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.59893e+07 1.59893e+07 1.59885e+07 1.59885e+07
2 6.76504e+06 6.76504e+06 6.7642e+06 6.7642e+06
3 5.48988e+06 5.48988e+06 5.48904e+06 5.48904e+06
14 283997 283997 283158 283158
24 4498.4 4498.4 3659.6 3659.6
399 26.5709 26.5709 -812.229 -812.229
450 1.8306e+07 26.5709 1.83052e+07 -812.229
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.04208e+06 3.04208e+06 3.04212e+06 3.04212e+06
5 317630 317630 317672 317672
12 18958 18958 19000.6 19000.6
30 5835.08 5835.08 5877.67 5877.67
258 4862.67 4862.67 4905.26 4905.26
274 68.7245 68.7245 111.314 111.314
450 1.45376e+06 68.7245 1.4538e+06 111.314
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
