"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3050.04 3050.04 3142.98 3142.98
2 1742.6 1742.6 1835.54 1835.54
8 1600.23 1600.23 1693.17 1693.17
12 1324.17 1324.17 1417.11 1417.11
39 558.849 558.849 651.789 651.789
523 525.852 525.852 618.792 618.792
585 487.21 487.21 580.15 580.15
665 484.905 484.905 577.845 577.845
756 376.534 376.534 469.474 469.474
997 360.697 360.697 453.637 453.637
1301 358.573 358.573 451.513 451.513
1325 354.749 354.749 447.689 447.689
1332 334.345 334.345 427.285 427.285
1484 331.664 331.664 424.604 424.604
1714 301.973 301.973 394.913 394.913
2050 385.015 301.973 477.955 394.913
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5839.43 5839.43 5874.78 5874.78
2 3107.88 3107.88 3143.23 3143.23
6 2416.54 2416.54 2451.89 2451.89
9 1875.07 1875.07 1910.42 1910.42
127 1856.18 1856.18 1891.53 1891.53
182 1771.04 1771.04 1806.39 1806.39
234 1726.05 1726.05 1761.4 1761.4
267 1256.59 1256.59 1291.94 1291.94
355 1207.01 1207.01 1242.36 1242.36
366 1081.17 1081.17 1116.52 1116.52
615 1077.27 1077.27 1112.62 1112.62
905 1060.53 1060.53 1095.88 1095.88
906 997.021 997.021 1032.37 1032.37
910 980.117 980.117 1015.47 1015.47
958 943.588 943.588 978.938 978.938
1416 941.877 941.877 977.227 977.227
1511 936.578 936.578 971.928 971.928
1706 926.266 926.266 961.616 961.616
1726 925.005 925.005 960.355 960.355
1739 921.426 921.426 956.776 956.776
1744 910.867 910.867 946.217 946.217
1808 892.29 892.29 927.64 927.64
1813 878.331 878.331 913.681 913.681
2050 943.588 878.331 978.938 913.681
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1958.66 1958.66 1962.48 1962.48
2 1783.33 1783.33 1787.15 1787.15
10 1701.75 1701.75 1705.57 1705.57
14 1270.14 1270.14 1273.96 1273.96
17 924.933 924.933 928.753 928.753
37 786.124 786.124 789.944 789.944
39 763.91 763.91 767.73 767.73
110 580.246 580.246 584.066 584.066
112 559.808 559.808 563.628 563.628
134 421.29 421.29 425.11 425.11
502 287.525 287.525 291.345 291.345
553 274.449 274.449 278.269 278.269
636 256.72 256.72 260.54 260.54
904 218.842 218.842 222.662 222.662
962 213.446 213.446 217.266 217.266
976 199.559 199.559 203.379 203.379
982 196.428 196.428 200.248 200.248
1101 196.403 196.403 200.223 200.223
1301 189.523 189.523 193.343 193.343
1375 188.4 188.4 192.22 192.22
1414 173.975 173.975 177.795 177.795
1436 164.158 164.158 167.978 167.978
2050 207.419 164.158 211.239 167.978
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2861.54 2861.54 2883.29 2883.29
2 1662.21 1662.21 1683.96 1683.96
6 1567.3 1567.3 1589.05 1589.05
7 1077.66 1077.66 1099.41 1099.41
24 878.462 878.462 900.212 900.212
33 616.568 616.568 638.318 638.318
217 587.886 587.886 609.636 609.636
291 439.971 439.971 461.721 461.721
507 364.948 364.948 386.698 386.698
524 345.349 345.349 367.099 367.099
574 322.486 322.486 344.236 344.236
708 258.838 258.838 280.588 280.588
809 210.964 210.964 232.714 232.714
1309 207.867 207.867 229.617 229.617
1384 204.578 204.578 226.328 226.328
1406 191.884 191.884 213.634 213.634
1439 178.123 178.123 199.873 199.873
2050 246.258 178.123 268.008 199.873
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1840.29 1840.29 1905.08 1905.08
2 1623.36 1623.36 1688.15 1688.15
3 1495.19 1495.19 1559.98 1559.98
9 750.324 750.324 815.114 815.114
105 709.799 709.799 774.589 774.589
109 630.657 630.657 695.447 695.447
145 522.102 522.102 586.892 586.892
174 506.669 506.669 571.459 571.459
234 386.274 386.274 451.064 451.064
248 384.696 384.696 449.486 449.486
303 195.048 195.048 259.838 259.838
521 187.405 187.405 252.195 252.195
529 99.4109 99.4109 164.201 164.201
994 92.3443 92.3443 157.134 157.134
1232 90.553 90.553 155.343 155.343
1304 81.1368 81.1368 145.927 145.927
1431 80.5614 80.5614 145.351 145.351
1442 76.2952 76.2952 141.085 141.085
1748 74.325 74.325 139.115 139.115
1778 73.7005 73.7005 138.49 138.49
1786 73.3809 73.3809 138.171 138.171
2029 68.0057 68.0057 132.796 132.796
2050 76.8962 68.0057 141.686 132.796
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6350.1 6350.1 6404.17 6404.17
2 6164.88 6164.88 6218.95 6218.95
3 3139.69 3139.69 3193.76 3193.76
6 2986.54 2986.54 3040.61 3040.61
8 1959.79 1959.79 2013.86 2013.86
17 1556.42 1556.42 1610.49 1610.49
23 674.549 674.549 728.619 728.619
110 495.469 495.469 549.539 549.539
580 472.706 472.706 526.776 526.776
903 440.667 440.667 494.737 494.737
916 395.141 395.141 449.211 449.211
932 386.198 386.198 440.268 440.268
1140 364.437 364.437 418.507 418.507
1410 359.89 359.89 413.96 413.96
1495 359.568 359.568 413.638 413.638
1519 352.202 352.202 406.272 406.272
1563 338.999 338.999 393.069 393.069
1730 337.795 337.795 391.865 391.865
1825 334.72 334.72 388.79 388.79
1953 332.431 332.431 386.501 386.501
1992 324.814 324.814 378.884 378.884
2050 367.108 324.814 421.178 378.884
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4779.37 4779.37 4687.85 4687.85
2 1472.53 1472.53 1381.01 1381.01
8 1368.57 1368.57 1277.05 1277.05
28 1065.82 1065.82 974.3 974.3
41 963.118 963.118 871.598 871.598
127 933.824 933.824 842.304 842.304
171 659.281 659.281 567.761 567.761
251 335.825 335.825 244.305 244.305
916 330.69 330.69 239.17 239.17
1302 296.257 296.257 204.737 204.737
1436 293.745 293.745 202.225 202.225
1606 282.858 282.858 191.338 191.338
1739 276.283 276.283 184.763 184.763
1785 272.225 272.225 180.705 180.705
2050 304.903 272.225 213.383 180.705
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2727.18 2727.18 2749.81 2749.81
2 929.388 929.388 952.018 952.018
101 908.739 908.739 931.369 931.369
125 888.356 888.356 910.986 910.986
148 524.575 524.575 547.205 547.205
923 504.091 504.091 526.721 526.721
1030 501.316 501.316 523.946 523.946
1318 486.871 486.871 509.501 509.501
1329 486.374 486.374 509.004 509.004
1342 478.099 478.099 500.729 500.729
1478 468.93 468.93 491.56 491.56
1717 467.682 467.682 490.312 490.312
1742 457.684 457.684 480.314 480.314
1757 442.872 442.872 465.502 465.502
2050 502.999 442.872 525.629 465.502
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1554.72 1554.72 1570.26 1570.26
5 1267.48 1267.48 1283.02 1283.02
6 1036.28 1036.28 1051.82 1051.82
11 721.717 721.717 737.257 737.257
129 703.155 703.155 718.695 718.695
162 700.892 700.892 716.432 716.432
264 400.587 400.587 416.127 416.127
651 380.402 380.402 395.942 395.942
760 264.163 264.163 279.703 279.703
1047 246.473 246.473 262.013 262.013
1431 238.353 238.353 253.893 253.893
1911 236.384 236.384 251.924 251.924
1944 220.942 220.942 236.482 236.482
2050 258.084 220.942 273.624 236.482
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3391.66 3391.66 3015.15 3015.15
3 2724.21 2724.21 2347.7 2347.7
4 2409.54 2409.54 2033.03 2033.03
7 1937.92 1937.92 1561.41 1561.41
14 1558.39 1558.39 1181.88 1181.88
24 595.411 595.411 218.901 218.901
902 545.997 545.997 169.487 169.487
914 545.028 545.028 168.518 168.518
1037 533.98 533.98 157.47 157.47
1043 510.649 510.649 134.139 134.139
1109 507.071 507.071 130.561 130.561
1197 492.93 492.93 116.42 116.42
1459 475.643 475.643 99.133 99.133
2050 561.205 475.643 184.695 99.133
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2885.88 2885.88 3281.92 3281.92
2 1980.64 1980.64 2376.68 2376.68
5 1306.62 1306.62 1702.66 1702.66
6 1133.32 1133.32 1529.36 1529.36
10 760.194 760.194 1156.23 1156.23
40 638.425 638.425 1034.47 1034.47
109 447.348 447.348 843.388 843.388
347 429.126 429.126 825.166 825.166
501 359.453 359.453 755.493 755.493
511 349.895 349.895 745.935 745.935
592 332.122 332.122 728.162 728.162
640 294.652 294.652 690.692 690.692
651 276.205 276.205 672.245 672.245
804 221.135 221.135 617.175 617.175
1052 220.83 220.83 616.87 616.87
1151 219.541 219.541 615.581 615.581
1181 214.903 214.903 610.943 610.943
1301 203.288 203.288 599.328 599.328
1303 194.581 194.581 590.621 590.621
1346 193.182 193.182 589.222 589.222
1414 184.175 184.175 580.215 580.215
1744 176.886 176.886 572.926 572.926
2002 176.332 176.332 572.372 572.372
2050 190.874 176.332 586.914 572.372
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1367.74 1367.74 1495.85 1495.85
4 1087.23 1087.23 1215.34 1215.34
11 885.497 885.497 1013.61 1013.61
25 694.015 694.015 822.125 822.125
31 525.72 525.72 653.83 653.83
101 524.171 524.171 652.281 652.281
103 462.241 462.241 590.351 590.351
152 394.038 394.038 522.148 522.148
156 126.021 126.021 254.131 254.131
722 117.277 117.277 245.387 245.387
911 116.214 116.214 244.324 244.324
929 77.2773 77.2773 205.387 205.387
1354 70.4306 70.4306 198.541 198.541
1709 66.7398 66.7398 194.85 194.85
1711 61.3839 61.3839 189.494 189.494
2050 85.7982 61.3839 213.908 189.494
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2155.71 2155.71 1863.36 1863.36
2 1826.62 1826.62 1534.27 1534.27
8 1610 1610 1317.65 1317.65
19 977.607 977.607 685.257 685.257
106 974.858 974.858 682.508 682.508
107 877.68 877.68 585.33 585.33
134 658.68 658.68 366.33 366.33
183 537.954 537.954 245.604 245.604
209 440.732 440.732 148.382 148.382
502 381.301 381.301 88.9507 88.9507
510 277.795 277.795 -14.5554 -14.5554
728 231.926 231.926 -60.4237 -60.4237
850 691.033 231.926 398.683 -60.4237
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2474.17 2474.17 2785.18 2785.18
4 1863.07 1863.07 2174.08 2174.08
11 1340.07 1340.07 1651.08 1651.08
27 1107.52 1107.52 1418.53 1418.53
109 1019.18 1019.18 1330.19 1330.19
114 476.751 476.751 787.761 787.761
520 453.801 453.801 764.811 764.811
572 436.682 436.682 747.692 747.692
604 413.843 413.843 724.853 724.853
926 407.852 407.852 718.862 718.862
961 397.097 397.097 708.107 708.107
1030 359.51 359.51 670.52 670.52
1155 346.488 346.488 657.498 657.498
1330 337.764 337.764 648.774 648.774
1497 337.655 337.655 648.665 648.665
1727 337.559 337.559 648.569 648.569
1847 321.729 321.729 632.739 632.739
2050 365.227 321.729 676.237 632.739
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2819.35 2819.35 2014.17 2014.17
2 731.533 731.533 -73.647 -73.647
50 2542.15 731.533 1736.97 -73.647
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3652.13 3652.13 3681.39 3681.39
2 3542.27 3542.27 3571.53 3571.53
3 1173.56 1173.56 1202.82 1202.82
14 1017.15 1017.15 1046.41 1046.41
19 596.927 596.927 626.187 626.187
140 482.901 482.901 512.161 512.161
261 436.146 436.146 465.406 465.406
631 372.645 372.645 401.905 401.905
735 316.278 316.278 345.538 345.538
905 251.453 251.453 280.713 280.713
1366 245.048 245.048 274.308 274.308
1843 240.101 240.101 269.361 269.361
2050 298.338 240.101 327.598 269.361
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 820.031 820.031 708.971 708.971
29 790.855 790.855 679.795 679.795
129 568.04 568.04 456.98 456.98
408 497.381 497.381 386.321 386.321
419 396.5 396.5 285.44 285.44
504 376.916 376.916 265.856 265.856
523 364.907 364.907 253.847 253.847
614 320.538 320.538 209.478 209.478
633 302.885 302.885 191.825 191.825
914 286.946 286.946 175.886 175.886
980 281.704 281.704 170.644 170.644
1020 263.262 263.262 152.202 152.202
1037 262.091 262.091 151.031 151.031
1192 259.67 259.67 148.61 148.61
1195 254.037 254.037 142.977 142.977
1197 227.561 227.561 116.501 116.501
1464 222.516 222.516 111.456 111.456
1707 215.99 215.99 104.93 104.93
1726 214.148 214.148 103.088 103.088
1962 212.804 212.804 101.744 101.744
2050 264.859 212.804 153.799 101.744
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1993.52 1993.52 2036.71 2036.71
6 1722.4 1722.4 1765.59 1765.59
8 1443.94 1443.94 1487.13 1487.13
11 1277.54 1277.54 1320.73 1320.73
20 1230.83 1230.83 1274.02 1274.02
21 799.931 799.931 843.121 843.121
29 724.573 724.573 767.763 767.763
111 596.764 596.764 639.954 639.954
125 561.72 561.72 604.91 604.91
175 412.517 412.517 455.707 455.707
269 401.212 401.212 444.402 444.402
304 400.188 400.188 443.378 443.378
511 341.408 341.408 384.598 384.598
519 300.746 300.746 343.936 343.936
571 289.085 289.085 332.275 332.275
651 260.843 260.843 304.033 304.033
707 253.645 253.645 296.835 296.835
901 235.151 235.151 278.341 278.341
904 216.514 216.514 259.704 259.704
934 185.031 185.031 228.221 228.221
1306 180.128 180.128 223.318 223.318
1308 173.19 173.19 216.38 216.38
1350 149.431 149.431 192.621 192.621
2050 173.301 149.431 216.491 192.621
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2451.71 2451.71 3451.71 3451.71
2 1559.9 1559.9 2559.9 2559.9
3 1021.85 1021.85 2021.85 2021.85
41 626.773 626.773 1626.77 1626.77
190 530.543 530.543 1530.54 1530.54
320 527.621 527.621 1527.62 1527.62
341 465.475 465.475 1465.48 1465.48
501 409.833 409.833 1409.83 1409.83
506 336.416 336.416 1336.42 1336.42
586 327.262 327.262 1327.26 1327.26
676 304.549 304.549 1304.55 1304.55
779 243.163 243.163 1243.16 1243.16
925 231.667 231.667 1231.67 1231.67
1014 227.902 227.902 1227.9 1227.9
1331 214.832 214.832 1214.83 1214.83
1623 200.656 200.656 1200.66 1200.66
2050 229.547 200.656 1229.55 1200.66
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2127.96 2127.96 2418.93 2418.93
2 1627.68 1627.68 1918.65 1918.65
3 994.673 994.673 1285.64 1285.64
5 791.671 791.671 1082.64 1082.64
41 443.107 443.107 734.077 734.077
435 418.067 418.067 709.037 709.037
504 391.054 391.054 682.024 682.024
516 302.076 302.076 593.046 593.046
517 274.608 274.608 565.578 565.578
570 225.496 225.496 516.466 516.466
720 223.076 223.076 514.046 514.046
906 208.827 208.827 499.797 499.797
909 200.206 200.206 491.176 491.176
917 189.276 189.276 480.246 480.246
1014 183.212 183.212 474.182 474.182
1071 154.486 154.486 445.456 445.456
1582 153.388 153.388 444.358 444.358
1702 150.259 150.259 441.229 441.229
1742 148.655 148.655 439.625 439.625
1787 144.515 144.515 435.485 435.485
1807 136.727 136.727 427.697 427.697
2050 183.548 136.727 474.518 427.697
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2796.9 2796.9 2600.56 2600.56
2 1802.04 1802.04 1605.7 1605.7
5 1704.91 1704.91 1508.57 1508.57
20 1579.8 1579.8 1383.46 1383.46
23 774.518 774.518 578.178 578.178
111 631.379 631.379 435.039 435.039
130 596.677 596.677 400.337 400.337
274 526.793 526.793 330.453 330.453
512 524.004 524.004 327.664 327.664
557 438.442 438.442 242.102 242.102
621 384.344 384.344 188.004 188.004
959 374.429 374.429 178.089 178.089
966 372.047 372.047 175.707 175.707
967 341.187 341.187 144.847 144.847
1363 331.12 331.12 134.78 134.78
1547 326.342 326.342 130.002 130.002
1785 325.761 325.761 129.421 129.421
2050 381.316 325.761 184.976 129.421
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
