"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.80161e+07 1.80161e+07 1.80161e+07 1.80161e+07
2 1.38322e+07 1.38322e+07 1.38322e+07 1.38322e+07
3 9.16254e+06 9.16254e+06 9.16248e+06 9.16248e+06
5 2.45511e+06 2.45511e+06 2.45506e+06 2.45506e+06
7 2.30603e+06 2.30603e+06 2.30597e+06 2.30597e+06
12 1.44738e+06 1.44738e+06 1.44733e+06 1.44733e+06
14 417096 417096 417041 417041
20 190474 190474 190420 190420
99 165618 165618 165563 165563
109 139245 139245 139190 139190
115 136835 136835 136780 136780
137 37043.3 37043.3 36988.4 36988.4
202 35598.7 35598.7 35543.7 35543.7
453 14469.6 14469.6 14414.7 14414.7
676 8019.54 8019.54 7964.6 7964.6
750 477202 8019.54 477147 7964.6
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 434775 434775 434834 434834
75 262996 262996 263055 263055
81 192604 192604 192663 192663
157 149033 149033 149092 149092
191 84723.9 84723.9 84783.1 84783.1
213 70402.3 70402.3 70461.4 70461.4
410 58829.4 58829.4 58888.5 58888.5
414 19459 19459 19518.2 19518.2
436 15919.4 15919.4 15978.5 15978.5
750 99006.8 15919.4 99066 15978.5
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.41123e+07 1.41123e+07 1.41118e+07 1.41118e+07
2 106388 106388 105896 105896
44 102040 102040 101549 101549
50 92566 92566 92074.4 92074.4
99 25190 25190 24698.4 24698.4
442 2139.87 2139.87 1648.34 1648.34
750 393253 2139.87 392761 1648.34
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.5479e+07 1.5479e+07 1.54788e+07 1.54788e+07
2 2.8698e+06 2.8698e+06 2.86963e+06 2.86963e+06
6 245769 245769 245599 245599
94 73203.3 73203.3 73033.1 73033.1
106 64970 64970 64799.8 64799.8
210 21441.3 21441.3 21271.1 21271.1
571 7722.77 7722.77 7552.57 7552.57
750 4.26016e+06 7722.77 4.25999e+06 7552.57
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.98712e+07 2.98712e+07 2.98707e+07 2.98707e+07
2 1.62621e+07 1.62621e+07 1.62617e+07 1.62617e+07
7 3.09325e+06 3.09325e+06 3.09278e+06 3.09278e+06
15 1.13042e+06 1.13042e+06 1.12995e+06 1.12995e+06
22 254057 254057 253587 253587
26 111576 111576 111106 111106
59 37428.7 37428.7 36959 36959
461 17292.8 17292.8 16823.1 16823.1
476 4816.76 4816.76 4347.01 4347.01
750 1.5767e+06 4816.76 1.57623e+06 4347.01
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.56733e+06 3.56733e+06 3.56731e+06 3.56731e+06
5 1.42005e+06 1.42005e+06 1.42004e+06 1.42004e+06
8 614167 614167 614154 614154
14 511181 511181 511168 511168
23 92707 92707 92694.2 92694.2
53 36955.2 36955.2 36942.4 36942.4
75 18529.1 18529.1 18516.3 18516.3
260 5139.59 5139.59 5126.79 5126.79
551 263.987 263.987 251.187 251.187
750 3.20604e+06 263.987 3.20602e+06 251.187
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.60615e+07 4.60615e+07 4.60611e+07 4.60611e+07
2 3.95975e+07 3.95975e+07 3.95971e+07 3.95971e+07
3 1.68748e+07 1.68748e+07 1.68744e+07 1.68744e+07
5 217404 217404 217018 217018
54 53241.5 53241.5 52855.9 52855.9
278 33103.9 33103.9 32718.2 32718.2
468 9695.37 9695.37 9309.68 9309.68
750 6.72965e+06 9695.37 6.72927e+06 9309.68
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.13801e+06 1.13801e+06 1.13805e+06 1.13805e+06
8 571333 571333 571373 571373
16 256301 256301 256341 256341
70 248986 248986 249026 249026
85 111803 111803 111843 111843
184 107412 107412 107452 107452
193 47541.2 47541.2 47581.2 47581.2
295 8735.99 8735.99 8775.99 8775.99
750 1.45685e+07 8735.99 1.45685e+07 8775.99
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 537024 537024 537138 537138
3 299477 299477 299591 299591
16 272206 272206 272320 272320
29 9321.33 9321.33 9435.59 9435.59
750 1.6343e+07 9321.33 1.63431e+07 9435.59
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.95346e+06 1.95346e+06 1.95348e+06 1.95348e+06
3 876420 876420 876434 876434
16 232600 232600 232614 232614
31 163280 163280 163294 163294
41 160448 160448 160462 160462
43 124209 124209 124223 124223
213 84591.5 84591.5 84605.4 84605.4
214 20199.5 20199.5 20213.4 20213.4
480 16123.1 16123.1 16137 16137
750 590850 16123.1 590864 16137
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 296326 296326 296295 296295
8 188645 188645 188613 188613
13 106909 106909 106877 106877
62 48234.8 48234.8 48203.1 48203.1
199 22939.8 22939.8 22908 22908
451 8445.04 8445.04 8413.29 8413.29
750 7.04278e+07 8445.04 7.04277e+07 8413.29
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.49829e+06 7.49829e+06 7.49834e+06 7.49834e+06
2 4.9224e+06 4.9224e+06 4.92245e+06 4.92245e+06
3 2.48934e+06 2.48934e+06 2.48939e+06 2.48939e+06
