"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.87503e+06 6.87503e+06 6.8751e+06 6.8751e+06
5 292798 292798 292874 292874
7 2118.91 2118.91 2195.18 2195.18
11 1565.64 1565.64 1641.91 1641.91
12 15.7019 15.7019 91.9719 91.9719
400 4.13253e+07 15.7019 4.13254e+07 91.9719
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5.26195e+07 5.26195e+07 5.26194e+07 5.26194e+07
2 5.74304e+06 5.74304e+06 5.74302e+06 5.74302e+06
3 2.43117e+06 2.43117e+06 2.43114e+06 2.43114e+06
12 1.98641e+06 1.98641e+06 1.98638e+06 1.98638e+06
14 174681 174681 174658 174658
16 170447 170447 170424 170424
20 97823.9 97823.9 97801.3 97801.3
22 97124.6 97124.6 97102.1 97102.1
89 28377 28377 28354.4 28354.4
107 26417.9 26417.9 26395.3 26395.3
155 17310.1 17310.1 17287.6 17287.6
159 11861.4 11861.4 11838.9 11838.9
180 4952.74 4952.74 4930.19 4930.19
217 3736.22 3736.22 3713.67 3713.67
264 3402.96 3402.96 3380.41 3380.41
270 2999.54 2999.54 2976.99 2976.99
400 298277 2999.54 298255 2976.99
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 305798 305798 305812 305812
9 14018.5 14018.5 14032.1 14032.1
117 9617 9617 9630.66 9630.66
133 9342.5 9342.5 9356.16 9356.16
189 8518.5 8518.5 8532.16 8532.16
228 7868.26 7868.26 7881.92 7881.92
230 396.835 396.835 410.495 410.495
241 282.382 282.382 296.042 296.042
400 5.93778e+06 282.382 5.9378e+06 296.042
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.7417e+06 7.7417e+06 7.74264e+06 7.74264e+06
2 317508 317508 318446 318446
12 307.927 307.927 1245.77 1245.77
224 171.19 171.19 1109.03 1109.03
400 4.53105e+06 171.19 4.53199e+06 1109.03
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.3651e+06 2.3651e+06 2.36502e+06 2.36502e+06
4 266458 266458 266379 266379
8 223712 223712 223634 223634
19 107089 107089 107010 107010
20 50797.8 50797.8 50719.1 50719.1
55 15310.6 15310.6 15231.9 15231.9
76 8791.01 8791.01 8712.29 8712.29
263 36.8317 36.8317 -41.8883 -41.8883
400 3.15153e+07 36.8317 3.15152e+07 -41.8883
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.1945e+06 6.1945e+06 6.1939e+06 6.1939e+06
5 1.3292e+06 1.3292e+06 1.3286e+06 1.3286e+06
7 1.16453e+06 1.16453e+06 1.16393e+06 1.16393e+06
18 93260.8 93260.8 92662.4 92662.4
23 19725.8 19725.8 19127.4 19127.4
34 3515 3515 2916.57 2916.57
85 330.897 330.897 -267.533 -267.533
400 1.65348e+07 330.897 1.65342e+07 -267.533
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.88308e+06 9.88308e+06 9.88299e+06 9.88299e+06
3 324573 324573 324488 324488
15 81196.2 81196.2 81110.8 81110.8
26 44288.3 44288.3 44202.9 44202.9
77 3686.79 3686.79 3601.37 3601.37
90 1799.4 1799.4 1713.98 1713.98
212 542.062 542.062 456.642 456.642
257 7.09145 7.09145 -78.3285 -78.3285
400 1.40558e+06 7.09145 1.4055e+06 -78.3285
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.88643e+06 3.88643e+06 3.88662e+06 3.88662e+06
3 2.48859e+06 2.48859e+06 2.48879e+06 2.48879e+06
5 665728 665728 665921 665921
9 535731 535731 535924 535924
15 317213 317213 317406 317406
22 110382 110382 110575 110575
25 15300.7 15300.7 15494 15494
103 14869.2 14869.2 15062.4 15062.4
127 1103.45 1103.45 1296.7 1296.7
215 448.07 448.07 641.32 641.32
376 13.834 13.834 207.084 207.084
400 2.82322e+07 13.834 2.82324e+07 207.084
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.93248e+06 8.93248e+06 8.9323e+06 8.9323e+06
3 5.20604e+06 5.20604e+06 5.20585e+06 5.20585e+06
4 4.45956e+06 4.45956e+06 4.45938e+06 4.45938e+06
6 2.78351e+06 2.78351e+06 2.78333e+06 2.78333e+06
7 2.17053e+06 2.17053e+06 2.17034e+06 2.17034e+06
9 810912 810912 810730 810730
11 489197 489197 489016 489016
22 20345 20345 20163.5 20163.5
48 859.777 859.777 678.277 678.277
285 128.218 128.218 -53.2819 -53.2819
400 951985 128.218 951804 -53.2819
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5.1469e+06 5.1469e+06 5.14735e+06 5.14735e+06
3 2.3154e+06 2.3154e+06 2.31586e+06 2.31586e+06
4 610630 610630 611082 611082
12 3557.21 3557.21 4009.83 4009.83
244 1329.06 1329.06 1781.68 1781.68
281 538.601 538.601 991.221 991.221
286 147.532 147.532 600.152 600.152
400 656542 147.532 656995 600.152
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 481754 481754 481635 481635
3 473108 473108 472990 472990
60 78813.6 78813.6 78695.1 78695.1
72 1022.8 1022.8 904.337 904.337
173 260.397 260.397 141.937 141.937
400 1.0654e+08 260.397 1.0654e+08 141.937
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.09532e+06 6.09532e+06 6.09542e+06 6.09542e+06
4 40369.7 40369.7 40469.4 40469.4
18 14095.9 14095.9 14195.6 14195.6
27 2478.15 2478.15 2577.88 2577.88
35 10.3085 10.3085 110.038 110.038
400 1.41536e+08 10.3085 1.41536e+08 110.038
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 111590 111590 111631 111631
3 23013.1 23013.1 23053.6 23053.6
37 3639.36 3639.36 3679.8 3679.8
400 1.56992e+07 3639.36 1.56992e+07 3679.8
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.95268e+07 1.95268e+07 1.95267e+07 1.95267e+07
2 2.87968e+06 2.87968e+06 2.87956e+06 2.87956e+06
3 559822 559822 559701 559701
14 64657.5 64657.5 64535.9 64535.9
27 45941.4 45941.4 45819.8 45819.8
61 18527.3 18527.3 18405.7 18405.7
90 3674.14 3674.14 3552.54 3552.54
101 2779.14 2779.14 2657.54 2657.54
129 146.317 146.317 24.7166 24.7166
400 111826 146.317 111704 24.7166
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.1576e+07 2.1576e+07 2.1576e+07 2.1576e+07
2 1.35203e+06 1.35203e+06 1.35199e+06 1.35199e+06
5 1.16232e+06 1.16232e+06 1.16228e+06 1.16228e+06
6 15903.7 15903.7 15865.6 15865.6
67 2774.44 2774.44 2736.33 2736.33
145 2363.04 2363.04 2324.93 2324.93
148 946.912 946.912 908.802 908.802
233 338.87 338.87 300.76 300.76
273 114.22 114.22 76.1099 76.1099
352 11.2415 11.2415 -26.8685 -26.8685
400 650654 11.2415 650616 -26.8685
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.75372e+07 4.75372e+07 4.7537e+07 4.7537e+07
2 812344 812344 812190 812190
3 496655 496655 496501 496501
10 191230 191230 191076 191076
22 77660.6 77660.6 77506 77506
28 32174.5 32174.5 32019.9 32019.9
43 31435.4 31435.4 31280.8 31280.8
49 23965.9 23965.9 23811.4 23811.4
122 1568.49 1568.49 1413.94 1413.94
159 394.091 394.091 239.541 239.541
360 357.086 357.086 202.536 202.536
400 507745 357.086 507591 202.536
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.28869e+06 2.28869e+06 2.28868e+06 2.28868e+06
2 2.08873e+06 2.08873e+06 2.08872e+06 2.08872e+06
4 11293.3 11293.3 11280.6 11280.6
125 3783.64 3783.64 3770.94 3770.94
148 462.688 462.688 449.988 449.988
373 427.012 427.012 414.312 414.312
400 1.16327e+07 427.012 1.16327e+07 414.312
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.49152e+07 2.49152e+07 2.4915e+07 2.4915e+07
2 1.18782e+07 1.18782e+07 1.1878e+07 1.1878e+07
4 1.77503e+06 1.77503e+06 1.77485e+06 1.77485e+06
5 40595.8 40595.8 40415.1 40415.1
52 24701 24701 24520.3 24520.3
149 734.602 734.602 553.962 553.962
169 150.327 150.327 -30.3128 -30.3128
400 2.53356e+07 150.327 2.53354e+07 -30.3128
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.19093e+07 2.19093e+07 2.19093e+07 2.19093e+07
3 1.15115e+07 1.15115e+07 1.15115e+07 1.15115e+07
6 2.19975e+06 2.19975e+06 2.19976e+06 2.19976e+06
8 498683 498683 498692 498692
12 396208 396208 396217 396217
17 359807 359807 359817 359817
43 17031.5 17031.5 17040.8 17040.8
59 11025.2 11025.2 11034.6 11034.6
134 3652.68 3652.68 3662.06 3662.06
148 3442.92 3442.92 3452.3 3452.3
193 3156.3 3156.3 3165.68 3165.68
212 264.672 264.672 274.052 274.052
400 458087 264.672 458096 274.052
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.94649e+07 2.94649e+07 2.94649e+07 2.94649e+07
2 221362 221362 221372 221372
4 26641.6 26641.6 26651.9 26651.9
25 13279.6 13279.6 13289.9 13289.9
33 4921.03 4921.03 4931.35 4931.35
35 334.314 334.314 344.634 344.634
109 214.683 214.683 225.003 225.003
400 8300.95 214.683 8311.27 225.003
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
