"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1431.72 1431.72 2431.72 2431.72
11 995.69 995.69 1995.69 1995.69
35 821.479 821.479 1821.48 1821.48
67 804.141 804.141 1804.14 1804.14
68 563.664 563.664 1563.66 1563.66
454 524.602 524.602 1524.6 1524.6
458 485.888 485.888 1485.89 1485.89
498 485.604 485.604 1485.6 1485.6
563 477.812 477.812 1477.81 1477.81
606 465.89 465.89 1465.89 1465.89
687 447.549 447.549 1447.55 1447.55
768 417.651 417.651 1417.65 1417.65
773 358.666 358.666 1358.67 1358.67
1493 339.642 339.642 1339.64 1339.64
2150 529.026 339.642 1529.03 1339.64
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2161.77 2161.77 2231.8 2231.8
2 1410.39 1410.39 1480.42 1480.42
3 738.066 738.066 808.096 808.096
74 571.323 571.323 641.353 641.353
126 563.568 563.568 633.598 633.598
556 501.97 501.97 572 572
871 496.439 496.439 566.469 566.469
974 444.354 444.354 514.384 514.384
1178 384.256 384.256 454.286 454.286
1237 352.965 352.965 422.995 422.995
1666 310.434 310.434 380.464 380.464
2150 583.465 310.434 653.495 380.464
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1231.86 1231.86 1183.64 1183.64
6 1169.35 1169.35 1121.13 1121.13
10 1075.34 1075.34 1027.12 1027.12
14 817.459 817.459 769.239 769.239
61 630.491 630.491 582.271 582.271
410 445 445 396.78 396.78
859 423.918 423.918 375.698 375.698
1003 340.203 340.203 291.983 291.983
1554 338.971 338.971 290.751 290.751
1816 301.247 301.247 253.027 253.027
2150 731.147 301.247 682.927 253.027
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4691.49 4691.49 4716.96 4716.96
2 2588.95 2588.95 2614.42 2614.42
6 1514.4 1514.4 1539.87 1539.87
11 1401.74 1401.74 1427.21 1427.21
23 1053.59 1053.59 1079.06 1079.06
26 880.592 880.592 906.062 906.062
136 818.711 818.711 844.181 844.181
150 742.078 742.078 767.548 767.548
160 606.974 606.974 632.444 632.444
288 545.531 545.531 571.001 571.001
405 535.822 535.822 561.292 561.292
447 480.411 480.411 505.881 505.881
481 410.546 410.546 436.016 436.016
753 398.618 398.618 424.088 424.088
995 397.112 397.112 422.582 422.582
1784 376.349 376.349 401.819 401.819
