"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 61.2143 61.2143 132.564 132.564
2 48.3174 48.3174 119.667 119.667
11 43.1449 43.1449 114.495 114.495
34 34.8016 34.8016 106.152 106.152
214 28.7486 28.7486 100.099 100.099
1530 25.6176 25.6176 96.9676 96.9676
2150 68.5129 25.6176 139.863 96.9676
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 71.7478 71.7478 -283.472 -283.472
2 64.0681 64.0681 -291.152 -291.152
6 62.6356 62.6356 -292.584 -292.584
7 50.5839 50.5839 -304.636 -304.636
11 46.6108 46.6108 -308.609 -308.609
14 42.8429 42.8429 -312.377 -312.377
19 40.4479 40.4479 -314.772 -314.772
98 40.3806 40.3806 -314.839 -314.839
102 33.2181 33.2181 -322.002 -322.002
327 32.6572 32.6572 -322.563 -322.563
622 23.5575 23.5575 -331.662 -331.662
2150 100.605 23.5575 -254.615 -331.662
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 64.1868 64.1868 163.357 163.357
2 52.5443 52.5443 151.714 151.714
3 44.8447 44.8447 144.015 144.015
176 34.0701 34.0701 133.24 133.24
790 33.9202 33.9202 133.09 133.09
1381 30.8423 30.8423 130.012 130.012
2150 61.263 30.8423 160.433 130.012
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 79.0469 79.0469 -438.863 -438.863
3 63.1787 63.1787 -454.731 -454.731
11 59.8242 59.8242 -458.086 -458.086
16 47.2072 47.2072 -470.703 -470.703
25 46.4269 46.4269 -471.483 -471.483
55 43.158 43.158 -474.752 -474.752
72 37.38 37.38 -480.53 -480.53
226 29.592 29.592 -488.318 -488.318
642 29.0543 29.0543 -488.856 -488.856
2150 86.3915 29.0543 -431.518 -488.856
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 103.185 103.185 45.9752 45.9752
2 66.6605 66.6605 9.4505 9.4505
5 55.4139 55.4139 -1.79615 -1.79615
8 52.6029 52.6029 -4.6071 -4.6071
20 42.1755 42.1755 -15.0345 -15.0345
64 40.5851 40.5851 -16.6249 -16.6249
90 39.7547 39.7547 -17.4553 -17.4553
359 27.2127 27.2127 -29.9973 -29.9973
1314 23.0459 23.0459 -34.1641 -34.1641
2150 43.5405 23.0459 -13.6695 -34.1641
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 111.282 111.282 83.5015 83.5015
2 76.3497 76.3497 48.5697 48.5697
6 65.5458 65.5458 37.7658 37.7658
7 63.9126 63.9126 36.1326 36.1326
11 62.564 62.564 34.784 34.784
15 47.3266 47.3266 19.5466 19.5466
95 41.7436 41.7436 13.9636 13.9636
236 39.8034 39.8034 12.0234 12.0234
383 38.276 38.276 10.496 10.496
593 35.5846 35.5846 7.80464 7.80464
904 32.1442 32.1442 4.36419 4.36419
1006 28.9778 28.9778 1.19776 1.19776
1512 26.3493 26.3493 -1.43067 -1.43067
2150 66.2223 26.3493 38.4423 -1.43067
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 115.806 115.806 67.0965 67.0965
2 49.454 49.454 0.743979 0.743979
11 45.1249 45.1249 -3.58512 -3.58512
97 25.7454 25.7454 -22.9646 -22.9646
2150 71.1878 25.7454 22.4778 -22.9646
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 72.4028 72.4028 -94.3872 -94.3872
2 59.88 59.88 -106.91 -106.91
8 47.7713 47.7713 -119.019 -119.019
67 32.0665 32.0665 -134.724 -134.724
566 26.5303 26.5303 -140.26 -140.26
2150 97.0098 26.5303 -69.7802 -140.26
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 84.8014 84.8014 1084.8 1084.8
2 23.5273 23.5273 1023.53 1023.53
1779 20.8843 20.8843 1020.88 1020.88
2150 85.9865 20.8843 1085.99 1020.88
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 65.2089 65.2089 46.7389 46.7389
4 50.5568 50.5568 32.0868 32.0868
20 48.3346 48.3346 29.8646 29.8646
22 43.2401 43.2401 24.7701 24.7701
171 39.3326 39.3326 20.8626 20.8626
303 36.8615 36.8615 18.3915 18.3915
370 31.9949 31.9949 13.5249 13.5249
1012 31.23 31.23 12.76 12.76
1991 29.9447 29.9447 11.4747 11.4747
2083 29.0048 29.0048 10.5348 10.5348
2150 63.8485 29.0048 45.3785 10.5348
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 112.302 112.302 52.5916 52.5916
2 67.1514 67.1514 7.4414 7.4414
5 60.5352 60.5352 0.825225 0.825225
