"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 100730 100730 100184 100184
3 13260.7 13260.7 12714.2 12714.2
4 182.526 182.526 -363.974 -363.974
13 3.33874 3.33874 -543.161 -543.161
82 2.61389 2.61389 -543.886 -543.886
223 2.53577 2.53577 -543.964 -543.964
225 2.38196 2.38196 -544.118 -544.118
400 3.07677 2.38196 -543.423 -544.118
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 20821.4 20821.4 21821.4 21821.4
2 1059 1059 2059 2059
4 18.3025 18.3025 1018.3 1018.3
13 4.00036 4.00036 1004 1004
22 3.70605 3.70605 1003.71 1003.71
33 2.35446 2.35446 1002.35 1002.35
400 209682 2.35446 210682 1002.35
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 19913.8 19913.8 20122.1 20122.1
5 5004.17 5004.17 5212.55 5212.55
9 4675.81 4675.81 4884.19 4884.19
11 638.45 638.45 846.83 846.83
15 40.7282 40.7282 249.108 249.108
18 3.94361 3.94361 212.324 212.324
23 3.4017 3.4017 211.782 211.782
76 2.6927 2.6927 211.073 211.073
123 1.28043 1.28043 209.66 209.66
400 4984.94 1.28043 5193.32 209.66
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 123826 123826 123681 123681
2 16203.7 16203.7 16058.8 16058.8
3 7183.91 7183.91 7038.95 7038.95
6 2369.26 2369.26 2224.3 2224.3
7 4.02856 4.02856 -140.931 -140.931
97 3.51794 3.51794 -141.442 -141.442
164 2.58191 2.58191 -142.378 -142.378
190 2.07624 2.07624 -142.884 -142.884
313 1.12156 1.12156 -143.838 -143.838
400 10340.2 1.12156 10195.2 -143.838
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 88553.1 88553.1 88546.8 88546.8
2 9217.46 9217.46 9211.16 9211.16
6 1.11853 1.11853 -5.18147 -5.18147
