"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 133909 133909 133363 133363
5 54013.6 54013.6 53467.1 53467.1
37 51212.2 51212.2 50665.7 50665.7
119 50487.6 50487.6 49941.1 49941.1
122 45846.8 45846.8 45300.3 45300.3
124 14054.1 14054.1 13507.6 13507.6
549 9607.07 9607.07 9060.57 9060.57
925 8267.34 8267.34 7720.84 7720.84
997 8015.91 8015.91 7469.41 7469.41
1050 5332.68 5332.68 4786.18 4786.18
1153 3337.3 3337.3 2790.8 2790.8
1241 2555.2 2555.2 2008.7 2008.7
1738 1313.85 1313.85 767.348 767.348
2150 105041 1313.85 104494 767.348
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 360958 360958 361958 361958
2 164650 164650 165650 165650
4 99663.5 99663.5 100664 100664
14 65993 65993 66993 66993
20 38482.5 38482.5 39482.5 39482.5
129 23075.9 23075.9 24075.9 24075.9
164 11146.9 11146.9 12146.9 12146.9
227 8718.64 8718.64 9718.64 9718.64
867 5416.47 5416.47 6416.47 6416.47
1502 4127.74 4127.74 5127.74 5127.74
1957 3820.63 3820.63 4820.63 4820.63
2150 31986 3820.63 32986 4820.63
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 27828.1 27828.1 28036.5 28036.5
186 19405.5 19405.5 19613.9 19613.9
303 18297 18297 18505.3 18505.3
404 14284.9 14284.9 14493.2 14493.2
415 12451.6 12451.6 12660 12660
448 10475.7 10475.7 10684 10684
457 8991.32 8991.32 9199.7 9199.7
490 5227.22 5227.22 5435.6 5435.6
1305 4422.3 4422.3 4630.68 4630.68
1315 2942.07 2942.07 3150.45 3150.45
2150 153573 2942.07 153781 3150.45
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 156752 156752 156607 156607
2 68695.2 68695.2 68550.2 68550.2
4 41126.1 41126.1 40981.1 40981.1
156 40605.6 40605.6 40460.7 40460.7
237 40598.1 40598.1 40453.2 40453.2
379 8198.37 8198.37 8053.41 8053.41
816 6786.37 6786.37 6641.41 6641.41
853 5117.72 5117.72 4972.76 4972.76
1110 4560.92 4560.92 4415.96 4415.96
1206 924.593 924.593 779.633 779.633
2150 29038 924.593 28893 779.633
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 417459 417459 417452 417452
2 164155 164155 164149 164149
3 94020.3 94020.3 94014 94014
5 91273.4 91273.4 91267.1 91267.1
27 72152.4 72152.4 72146.1 72146.1
40 71338.5 71338.5 71332.2 71332.2
47 55304.6 55304.6 55298.3 55298.3
70 48627.9 48627.9 48621.6 48621.6
103 28688.3 28688.3 28682 28682
343 21850.7 21850.7 21844.4 21844.4
454 11125.6 11125.6 11119.3 11119.3
779 9117.28 9117.28 9110.98 9110.98
1071 3473 3473 3466.7 3466.7
1118 2032.69 2032.69 2026.39 2026.39
2150 64243.6 2032.69 64237.3 2026.39
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 162127 162127 162105 162105
2 160365 160365 160343 160343
5 45597.2 45597.2 45575.2 45575.2
68 41250.5 41250.5 41228.4 41228.4
98 35228.1 35228.1 35206.1 35206.1
114 34926.2 34926.2 34904.2 34904.2
119 34598.8 34598.8 34576.7 34576.7
139 33507.2 33507.2 33485.2 33485.2
159 24612.7 24612.7 24590.6 24590.6
183 17214.4 17214.4 17192.4 17192.4
438 16705 16705 16682.9 16682.9
464 14806.6 14806.6 14784.6 14784.6
501 10159.5 10159.5 10137.4 10137.4
540 7045.42 7045.42 7023.36 7023.36
612 4578.36 4578.36 4556.3 4556.3
965 2228.4 2228.4 2206.34 2206.34
1445 1442.1 1442.1 1420.04 1420.04
1664 4.05443 4.05443 -18.0056 -18.0056
2150 30145.2 4.05443 30123.2 -18.0056
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 288158 288158 288230 288230
2 169768 169768 169839 169839
4 134117 134117 134188 134188
5 122985 122985 123057 123057
8 88840.7 88840.7 88912 88912
14 80479.5 80479.5 80550.8 80550.8
25 49843.6 49843.6 49914.9 49914.9
41 48894.6 48894.6 48965.9 48965.9
74 40972.3 40972.3 41043.6 41043.6
127 13917.1 13917.1 13988.3 13988.3
402 13788.6 13788.6 13859.9 13859.9
411 5928.16 5928.16 5999.45 5999.45
788 4045.55 4045.55 4116.84 4116.84
1584 4001.37 4001.37 4072.66 4072.66
1915 2894.14 2894.14 2965.43 2965.43
2150 39245.8 2894.14 39317 2965.43
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 179703 179703 179693 179693
4 157035 157035 157024 157024
6 92334.2 92334.2 92323.7 92323.7
16 88337.2 88337.2 88326.6 88326.6
30 61855.5 61855.5 61845 61845
73 51186.2 51186.2 51175.7 51175.7
94 12920.4 12920.4 12909.8 12909.8
504 9189.02 9189.02 9178.48 9178.48
1004 8103.86 8103.86 8093.32 8093.32
1080 5329.86 5329.86 5319.32 5319.32
2150 211396 5329.86 211385 5319.32
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 92309.6 92309.6 92695.6 92695.6
40 46610 46610 46996 46996
107 42290.7 42290.7 42676.7 42676.7
172 39219.7 39219.7 39605.7 39605.7
185 38795.5 38795.5 39181.5 39181.5
215 30370.9 30370.9 30756.9 30756.9
226 23633.6 23633.6 24019.6 24019.6
337 23325.7 23325.7 23711.7 23711.7
517 21530.4 21530.4 21916.4 21916.4
561 21521.2 21521.2 21907.2 21907.2
628 19435 19435 19821 19821
734 7661.52 7661.52 8047.53 8047.53
885 4793.15 4793.15 5179.16 5179.16
1734 3717.5 3717.5 4103.51 4103.51
2150 97604.5 3717.5 97990.5 4103.51
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 135951 135951 135938 135938
3 49384.1 49384.1 49371.5 49371.5
62 37301 37301 37288.5 37288.5
92 36266 36266 36253.4 36253.4
103 29567.7 29567.7 29555.1 29555.1
107 25541.4 25541.4 25528.9 25528.9
115 24393 24393 24380.4 24380.4
131 21217.8 21217.8 21205.3 21205.3
435 8896.83 8896.83 8884.26 8884.26
758 3545.62 3545.62 3533.05 3533.05
776 2380.41 2380.41 2367.84 2367.84
867 1336.69 1336.69 1324.12 1324.12
2150 238656 1336.69 238643 1324.12
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 248078 248078 247951 247951
2 226014 226014 225887 225887
3 128443 128443 128316 128316
5 125537 125537 125410 125410
