"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.77326e+07 4.77326e+07 4.77324e+07 4.77324e+07
2 2.8721e+07 2.8721e+07 2.87208e+07 2.87208e+07
3 1.48297e+07 1.48297e+07 1.48295e+07 1.48295e+07
5 1.12228e+07 1.12228e+07 1.12226e+07 1.12226e+07
7 1.06032e+07 1.06032e+07 1.06029e+07 1.06029e+07
12 4.14379e+06 4.14379e+06 4.14358e+06 4.14358e+06
65 2.98242e+06 2.98242e+06 2.98221e+06 2.98221e+06
136 2.72014e+06 2.72014e+06 2.71993e+06 2.71993e+06
144 2.48622e+06 2.48622e+06 2.48601e+06 2.48601e+06
196 2.34797e+06 2.34797e+06 2.34776e+06 2.34776e+06
462 2.34099e+06 2.34099e+06 2.34078e+06 2.34078e+06
476 1.21567e+06 1.21567e+06 1.21546e+06 1.21546e+06
835 828461 828461 828251 828251
926 490261 490261 490051 490051
1016 359444 359444 359234 359234
2150 6.3598e+06 359444 6.35959e+06 359234
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5.3119e+07 5.3119e+07 5.31189e+07 5.31189e+07
2 5.39881e+06 5.39881e+06 5.39872e+06 5.39872e+06
31 3.53048e+06 3.53048e+06 3.53039e+06 3.53039e+06
172 3.10847e+06 3.10847e+06 3.10838e+06 3.10838e+06
245 1.15994e+06 1.15994e+06 1.15985e+06 1.15985e+06
461 845178 845178 845086 845086
850 771725 771725 771633 771633
1115 627210 627210 627118 627118
2119 555697 555697 555605 555605
2150 2.82363e+07 555697 2.82362e+07 555605
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.92259e+07 1.92259e+07 1.92258e+07 1.92258e+07
2 2.40379e+06 2.40379e+06 2.40371e+06 2.40371e+06
87 1.54393e+06 1.54393e+06 1.54384e+06 1.54384e+06
234 1.01527e+06 1.01527e+06 1.01518e+06 1.01518e+06
1201 654322 654322 654234 654234
1307 449293 449293 449206 449206
1970 337299 337299 337211 337211
2086 231014 231014 230927 230927
2150 3.56604e+06 231014 3.56595e+06 230927
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.7592e+07 1.7592e+07 1.75923e+07 1.75923e+07
2 1.7132e+07 1.7132e+07 1.71324e+07 1.71324e+07
4 1.30558e+07 1.30558e+07 1.30561e+07 1.30561e+07
6 1.10989e+07 1.10989e+07 1.10992e+07 1.10992e+07
13 5.93043e+06 5.93043e+06 5.93075e+06 5.93075e+06
22 3.75665e+06 3.75665e+06 3.75697e+06 3.75697e+06
