"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 342.383 342.383 -119.707 -119.707
2 243.309 243.309 -218.781 -218.781
3 89.5584 89.5584 -372.532 -372.532
246 86.5481 86.5481 -375.542 -375.542
285 73.6686 73.6686 -388.421 -388.421
300 72.4906 72.4906 -389.599 -389.599
333 65.9973 65.9973 -396.093 -396.093
448 51.2843 51.2843 -410.806 -410.806
458 22.7339 22.7339 -439.356 -439.356
750 238.406 22.7339 -223.684 -439.356
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 274.637 274.637 352.297 352.297
10 99.9135 99.9135 177.573 177.573
15 89.3559 89.3559 167.016 167.016
109 72.5973 72.5973 150.257 150.257
231 56.4318 56.4318 134.092 134.092
412 55.698 55.698 133.358 133.358
470 45.2995 45.2995 122.96 122.96
509 41.322 41.322 118.982 118.982
750 133.464 41.322 211.124 118.982
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 109.08 109.08 224.76 224.76
10 105.59 105.59 221.27 221.27
16 85.922 85.922 201.602 201.602
176 84.3841 84.3841 200.064 200.064
286 83.9115 83.9115 199.592 199.592
358 72.0068 72.0068 187.687 187.687
408 51.4272 51.4272 167.107 167.107
745 40.1506 40.1506 155.831 155.831
750 114.777 40.1506 230.457 155.831
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 598.687 598.687 594.977 594.977
3 382.163 382.163 378.453 378.453
4 214.305 214.305 210.595 210.595
5 146.256 146.256 142.546 142.546
6 67.4985 67.4985 63.7885 63.7885
97 63.4754 63.4754 59.7654 59.7654
126 35.5228 35.5228 31.8128 31.8128
456 33.0175 33.0175 29.3075 29.3075
750 204.3 33.0175 200.59 29.3075
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1622.6 1622.6 1754.78 1754.78
2 220.289 220.289 352.469 352.469
3 200.289 200.289 332.469 332.469
4 124.578 124.578 256.758 256.758
28 107.463 107.463 239.643 239.643
33 93.305 93.305 225.485 225.485
124 76.599 76.599 208.779 208.779
133 69.834 69.834 202.014 202.014
266 49.4869 49.4869 181.667 181.667
655 39.402 39.402 171.582 171.582
750 130.451 39.402 262.631 171.582
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 438.605 438.605 -146.125 -146.125
6 271.736 271.736 -312.994 -312.994
23 145.638 145.638 -439.092 -439.092
33 137.976 137.976 -446.754 -446.754
61 130.448 130.448 -454.282 -454.282
67 110.324 110.324 -474.406 -474.406
161 73.2547 73.2547 -511.475 -511.475
182 56.7141 56.7141 -528.016 -528.016
481 53.9189 53.9189 -530.811 -530.811
750 2963.26 53.9189 2378.53 -530.811
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 269.306 269.306 232.766 232.766
3 222.374 222.374 185.834 185.834
6 150.751 150.751 114.211 114.211
9 107.497 107.497 70.957 70.957
10 65.6467 65.6467 29.1067 29.1067
56 50.3723 50.3723 13.8323 13.8323
66 47.9185 47.9185 11.3785 11.3785
112 41.9676 41.9676 5.42755 5.42755
614 38.1742 38.1742 1.63418 1.63418
750 147.854 38.1742 111.314 1.63418
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 167.05 167.05 1167.05 1167.05
2 139.581 139.581 1139.58 1139.58
16 127.321 127.321 1127.32 1127.32
17 111.282 111.282 1111.28 1111.28
22 64.6575 64.6575 1064.66 1064.66
61 48.2215 48.2215 1048.22 1048.22
750 209.216 48.2215 1209.22 1048.22
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 262.483 262.483 309.093 309.093
4 153.059 153.059 199.669 199.669
8 97.1208 97.1208 143.731 143.731
18 40.7667 40.7667 87.3767 87.3767
750 184.007 40.7667 230.617 87.3767
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 372.788 372.788 108.478 108.478
3 181.854 181.854 -82.4556 -82.4556
5 152.75 152.75 -111.56 -111.56
10 141.669 141.669 -122.641 -122.641
28 108.873 108.873 -155.437 -155.437
49 52.968 52.968 -211.342 -211.342
233 45.2499 45.2499 -219.06 -219.06
457 41.4491 41.4491 -222.861 -222.861
525 38.9732 38.9732 -225.337 -225.337
540 26.9101 26.9101 -237.4 -237.4
750 214.251 26.9101 -50.0586 -237.4
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 186.038 186.038 258.768 258.768
2 167.173 167.173 239.903 239.903
3 119.625 119.625 192.355 192.355
13 91.1901 91.1901 163.92 163.92
38 79.7308 79.7308 152.461 152.461
144 58.1556 58.1556 130.886 130.886
333 44.7982 44.7982 117.528 117.528
750 170.724 44.7982 243.454 117.528
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 336.96 336.96 473.83 473.83
2 335.889 335.889 472.759 472.759
7 126.262 126.262 263.132 263.132
37 65.2613 65.2613 202.131 202.131
430 63.817 63.817 200.687 200.687
448 61.8518 61.8518 198.722 198.722
538 53.9081 53.9081 190.778 190.778
627 45.5123 45.5123 182.382 182.382
750 118.809 45.5123 255.679 182.382
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 191.79 191.79 213.75 213.75
3 181.216 181.216 203.176 203.176
9 165.478 165.478 187.438 187.438
25 88.8808 88.8808 110.841 110.841
124 53.3531 53.3531 75.3131 75.3131
438 43.6544 43.6544 65.6144 65.6144
741 43.2929 43.2929 65.2529 65.2529
750 182.246 43.2929 204.206 65.2529
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 190.579 190.579 169.189 169.189
15 169.376 169.376 147.986 147.986
16 158.466 158.466 137.076 137.076
21 153.032 153.032 131.642 131.642
33 102.666 102.666 81.2765 81.2765
47 87.3373 87.3373 65.9473 65.9473
67 78.0557 78.0557 56.6657 56.6657
369 77.8112 77.8112 56.4212 56.4212
473 69.7412 69.7412 48.3512 48.3512
487 65.5075 65.5075 44.1175 44.1175
557 56.6399 56.6399 35.2499 35.2499
750 1109.25 56.6399 1087.86 35.2499
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 613.317 613.317 1130.98 1130.98
2 311.484 311.484 829.144 829.144
5 243.849 243.849 761.509 761.509
6 197.172 197.172 714.832 714.832
20 146.75 146.75 664.41 664.41
21 129.705 129.705 647.365 647.365
22 90.557 90.557 608.217 608.217
25 75.3084 75.3084 592.968 592.968
133 63.5708 63.5708 581.231 581.231
134 62.9543 62.9543 580.614 580.614
359 62.8895 62.8895 580.549 580.549
430 55.3867 55.3867 573.047 573.047
509 54.8452 54.8452 572.505 572.505
533 44.6216 44.6216 562.282 562.282
750 117.026 44.6216 634.686 562.282
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 756.685 756.685 619.135 619.135
2 688.25 688.25 550.7 550.7
3 482.204 482.204 344.654 344.654
4 354.92 354.92 217.37 217.37
7 65.4856 65.4856 -72.0644 -72.0644
269 37.6989 37.6989 -99.8511 -99.8511
750 306.93 37.6989 169.38 -99.8511
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 266.348 266.348 165.368 165.368
3 196.733 196.733 95.7531 95.7531
16 167.335 167.335 66.3552 66.3552
18 152.898 152.898 51.918 51.918
41 144.303 144.303 43.3234 43.3234
43 44.9124 44.9124 -56.0676 -56.0676
750 149.137 44.9124 48.1569 -56.0676
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 198.985 198.985 231.325 231.325
2 126.574 126.574 158.914 158.914
10 75.222 75.222 107.562 107.562
40 60.2967 60.2967 92.6367 92.6367
409 55.9778 55.9778 88.3178 88.3178
441 50.9908 50.9908 83.3308 83.3308
474 46.8679 46.8679 79.2079 79.2079
491 32.3929 32.3929 64.7329 64.7329
565 32.3153 32.3153 64.6553 64.6553
628 30.8021 30.8021 63.1421 63.1421
750 115.071 30.8021 147.411 63.1421
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 573.141 573.141 1184.12 1184.12
4 256.175 256.175 867.155 867.155
8 239.485 239.485 850.465 850.465
11 237.989 237.989 848.969 848.969
15 160.457 160.457 771.437 771.437
28 110.894 110.894 721.874 721.874
65 75.5963 75.5963 686.576 686.576
200 74.8139 74.8139 685.794 685.794
359 59.2393 59.2393 670.219 670.219
508 52.1926 52.1926 663.173 663.173
750 107.735 52.1926 718.715 663.173
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 306.152 306.152 367.322 367.322
4 91.475 91.475 152.645 152.645
47 87.978 87.978 149.148 149.148
122 52.02 52.02 113.19 113.19
426 35.5819 35.5819 96.7519 96.7519
750 143.591 35.5819 204.761 96.7519
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 328.496 328.496 350.186 350.186
4 184.767 184.767 206.457 206.457
24 139.699 139.699 161.389 161.389
25 125.131 125.131 146.821 146.821
54 121.415 121.415 143.105 143.105
55 95.5409 95.5409 117.231 117.231
166 90.7448 90.7448 112.435 112.435
199 76.7633 76.7633 98.4533 98.4533
268 76.5628 76.5628 98.2528 98.2528
410 72.7509 72.7509 94.4409 94.4409
412 72.3928 72.3928 94.0828 94.0828
435 47.8976 47.8976 69.5876 69.5876
478 34.2277 34.2277 55.9177 55.9177
750 586.706 34.2277 608.396 55.9177
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 536.633 536.633 618.953 618.953
2 282.966 282.966 365.286 365.286
3 155.901 155.901 238.221 238.221
14 109.35 109.35 191.67 191.67
23 73.0366 73.0366 155.357 155.357
41 67.6621 67.6621 149.982 149.982
106 54.3975 54.3975 136.717 136.717
453 44.1446 44.1446 126.465 126.465
584 28.3123 28.3123 110.632 110.632
750 87.2938 28.3123 169.614 110.632
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 272.635 272.635 476.095 476.095
3 110.575 110.575 314.035 314.035
27 81.9098 81.9098 285.37 285.37
151 60.412 60.412 263.872 263.872
