"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 75842.6 75842.6 75878.5 75878.5
3 71214 71214 71249.9 71249.9
13 6027.98 6027.98 6063.88 6063.88
66 232.716 232.716 268.616 268.616
101 215.351 215.351 251.251 251.251
148 166.608 166.608 202.508 202.508
176 11.2318 11.2318 47.1318 47.1318
750 301.309 11.2318 337.209 47.1318
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 62323.9 62323.9 62355.3 62355.3
2 305.705 305.705 337.075 337.075
10 185.047 185.047 216.417 216.417
29 90.0063 90.0063 121.376 121.376
60 73.9866 73.9866 105.357 105.357
72 67.0877 67.0877 98.4577 98.4577
324 51.2877 51.2877 82.6577 82.6577
421 40.5914 40.5914 71.9614 71.9614
505 23.4222 23.4222 54.7922 54.7922
750 448291 23.4222 448322 54.7922
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 582181 582181 581181 581181
2 137220 137220 136220 136220
5 50520.5 50520.5 49520.5 49520.5
22 30700.1 30700.1 29700.1 29700.1
69 25579.2 25579.2 24579.2 24579.2
87 10860.3 10860.3 9860.33 9860.33
110 3699.57 3699.57 2699.57 2699.57
121 1136.36 1136.36 136.364 136.364
412 347.817 347.817 -652.183 -652.183
457 265.576 265.576 -734.424 -734.424
530 118.761 118.761 -881.239 -881.239
545 48.1809 48.1809 -951.819 -951.819
726 32.9961 32.9961 -967.004 -967.004
750 11377.1 32.9961 10377.1 -967.004
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.07845e+06 2.07845e+06 2.07859e+06 2.07859e+06
2 467995 467995 468127 468127
13 410603 410603 410735 410735
15 299910 299910 300042 300042
18 66505.4 66505.4 66637.3 66637.3
55 62861.7 62861.7 62993.6 62993.6
61 44599.3 44599.3 44731.2 44731.2
112 210.646 210.646 342.566 342.566
443 111.245 111.245 243.165 243.165
446 17.5733 17.5733 149.493 149.493
750 190574 17.5733 190706 149.493
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.0238e+06 1.0238e+06 1.02439e+06 1.02439e+06
2 403883 403883 404474 404474
6 209947 209947 210537 210537
8 7040.04 7040.04 7630.88 7630.88
48 6904.58 6904.58 7495.42 7495.42
51 144.225 144.225 735.065 735.065
356 60.5231 60.5231 651.363 651.363
410 51.1746 51.1746 642.015 642.015
