"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 208905 208905 209054 209054
2 20356.7 20356.7 20505.9 20505.9
4 9468.46 9468.46 9617.61 9617.61
9 5831.71 5831.71 5980.86 5980.86
14 3600.24 3600.24 3749.39 3749.39
27 3308.69 3308.69 3457.84 3457.84
43 338.93 338.93 488.08 488.08
269 247.729 247.729 396.879 396.879
477 227.549 227.549 376.699 376.699
518 178.497 178.497 327.647 327.647
750 12697.8 178.497 12846.9 327.647
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 212276 212276 211276 211276
2 94117.1 94117.1 93117.1 93117.1
5 28112.3 28112.3 27112.3 27112.3
9 16621.9 16621.9 15621.9 15621.9
11 11933.3 11933.3 10933.3 10933.3
23 5361.43 5361.43 4361.43 4361.43
66 3160.5 3160.5 2160.5 2160.5
211 332.216 332.216 -667.784 -667.784
750 13870 332.216 12870 -667.784
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 343202 343202 343300 343300
2 104867 104867 104965 104965
3 33554.1 33554.1 33652.7 33652.7
4 7629.37 7629.37 7727.99 7727.99
12 1281.73 1281.73 1380.35 1380.35
144 571.423 571.423 670.043 670.043
399 408.364 408.364 506.984 506.984
437 204.287 204.287 302.907 302.907
750 41502.1 204.287 41600.7 302.907
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 241987 241987 241940 241940
2 230471 230471 230424 230424
3 19697.6 19697.6 19650.4 19650.4
14 2146.43 2146.43 2099.28 2099.28
124 1418.12 1418.12 1370.97 1370.97
175 409.765 409.765 362.615 362.615
492 401.804 401.804 354.654 354.654
493 120.468 120.468 73.3182 73.3182
596 104.619 104.619 57.4688 57.4688
750 19561.5 104.619 19514.3 57.4688
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 182776 182776 182813 182813
2 132578 132578 132616 132616
3 128101 128101 128139 128139
4 79044.2 79044.2 79081.8 79081.8
7 9405.53 9405.53 9443.05 9443.05
44 1214.21 1214.21 1251.73 1251.73
449 863.613 863.613 901.133 901.133
488 248.436 248.436 285.956 285.956
504 243.466 243.466 280.986 280.986
523 151.065 151.065 188.585 188.585
686 59.6613 59.6613 97.1813 97.1813
750 54314.1 59.6613 54351.6 97.1813
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 109588 109588 109163 109163
3 31102.7 31102.7 30677 30677
5 13647.5 13647.5 13221.7 13221.7
24 561.021 561.021 135.271 135.271
155 347.164 347.164 -78.5864 -78.5864
230 309.569 309.569 -116.181 -116.181
273 124.141 124.141 -301.609 -301.609
750 755848 124.141 755422 -301.609
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86485.1 86485.1 86264.2 86264.2
2 40181.1 40181.1 39960.2 39960.2
13 7827.49 7827.49 7606.59 7606.59
16 264.261 264.261 43.361 43.361
474 195.769 195.769 -25.1313 -25.1313
750 5955.71 195.769 5734.81 -25.1313
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 33684.9 33684.9 33325.4 33325.4
28 1594.09 1594.09 1234.61 1234.61
398 193.711 193.711 -165.769 -165.769
750 14816 193.711 14456.5 -165.769
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 64884 64884 64911.5 64911.5
6 1734.73 1734.73 1762.21 1762.21
45 1110.08 1110.08 1137.56 1137.56
92 853.054 853.054 880.534 880.534
101 767.597 767.597 795.077 795.077
151 142.626 142.626 170.106 170.106
474 97.3334 97.3334 124.813 124.813
750 100698 97.3334 100725 124.813
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 355327 355327 355363 355363
2 249147 249147 249183 249183
3 120459 120459 120495 120495
4 68132.4 68132.4 68168.5 68168.5
5 17245.9 17245.9 17282 17282
13 7195.73 7195.73 7231.82 7231.82
26 6064.56 6064.56 6100.65 6100.65
28 3709.16 3709.16 3745.25 3745.25
147 349.258 349.258 385.348 385.348
596 107.714 107.714 143.804 143.804
750 744375 107.714 744411 143.804
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 315979 315979 315921 315921
2 16429.1 16429.1 16371.2 16371.2
5 4625.76 4625.76 4567.85 4567.85
26 1290.86 1290.86 1232.95 1232.95
32 946.894 946.894 888.984 888.984
80 851.493 851.493 793.583 793.583
90 469.49 469.49 411.58 411.58
198 318.945 318.945 261.035 261.035
349 273.197 273.197 215.287 215.287
386 246.421 246.421 188.511 188.511
587 170.622 170.622 112.712 112.712
719 170.421 170.421 112.511 112.511
740 127.957 127.957 70.0468 70.0468
