"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.54743e+09 3.54743e+09 3.54743e+09 3.54743e+09
2 6.02189e+08 6.02189e+08 6.02188e+08 6.02188e+08
7 1.02876e+08 1.02876e+08 1.02875e+08 1.02875e+08
102 6.64363e+07 6.64363e+07 6.64357e+07 6.64357e+07
361 5.87595e+07 5.87595e+07 5.87589e+07 5.87589e+07
597 5.28609e+07 5.28609e+07 5.28603e+07 5.28603e+07
1182 3.77153e+07 3.77153e+07 3.77147e+07 3.77147e+07
1712 3.61561e+07 3.61561e+07 3.61555e+07 3.61555e+07
1756 2.66509e+07 2.66509e+07 2.66502e+07 2.66502e+07
2050 8.46362e+07 2.66509e+07 8.46356e+07 2.66502e+07
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.45347e+10 1.45347e+10 1.45347e+10 1.45347e+10
2 2.02402e+09 2.02402e+09 2.02402e+09 2.02402e+09
7 1.44281e+09 1.44281e+09 1.44281e+09 1.44281e+09
9 2.91801e+08 2.91801e+08 2.918e+08 2.918e+08
114 2.27588e+08 2.27588e+08 2.27588e+08 2.27588e+08
501 2.08536e+08 2.08536e+08 2.08536e+08 2.08536e+08
530 1.85096e+08 1.85096e+08 1.85095e+08 1.85095e+08
548 1.54697e+08 1.54697e+08 1.54696e+08 1.54696e+08
583 1.50833e+08 1.50833e+08 1.50832e+08 1.50832e+08
605 1.29325e+08 1.29325e+08 1.29324e+08 1.29324e+08
921 1.06344e+08 1.06344e+08 1.06343e+08 1.06343e+08
1000 9.84312e+07 9.84312e+07 9.84309e+07 9.84309e+07
1014 5.36708e+07 5.36708e+07 5.36706e+07 5.36706e+07
1138 4.70949e+07 4.70949e+07 4.70946e+07 4.70946e+07
1426 4.42224e+07 4.42224e+07 4.42221e+07 4.42221e+07
1635 2.45375e+07 2.45375e+07 2.45372e+07 2.45372e+07
2050 1.1509e+08 2.45375e+07 1.1509e+08 2.45372e+07
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.2206e+09 2.2206e+09 2.2206e+09 2.2206e+09
2 6.72163e+08 6.72163e+08 6.72163e+08 6.72163e+08
