"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 73.4353 73.4353 144.785 144.785
4 12.7578 12.7578 84.1078 84.1078
115 6.05766 6.05766 77.4077 77.4077
223 3.88981 3.88981 75.2398 75.2398
850 55.3315 3.88981 126.681 75.2398
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 72.1621 72.1621 -283.058 -283.058
5 67.2339 67.2339 -287.986 -287.986
7 55.0843 55.0843 -300.136 -300.136
9 26.1879 26.1879 -329.032 -329.032
32 7.92608 7.92608 -347.294 -347.294
850 164.655 7.92608 -190.565 -347.294
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 202.724 202.724 301.894 301.894
2 62.4496 62.4496 161.62 161.62
3 33.4426 33.4426 132.613 132.613
11 21.4055 21.4055 120.575 120.575
21 17.4478 17.4478 116.618 116.618
412 13.9062 13.9062 113.076 113.076
513 6.64224 6.64224 105.812 105.812
850 115.418 6.64224 214.588 105.812
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 79.6243 79.6243 -438.286 -438.286
2 43.798 43.798 -474.112 -474.112
6 27.5436 27.5436 -490.366 -490.366
8 24.3892 24.3892 -493.521 -493.521
40 20.1419 20.1419 -497.768 -497.768
157 19.0261 19.0261 -498.884 -498.884
315 8.71136 8.71136 -509.199 -509.199
342 6.83272 6.83272 -511.077 -511.077
803 3.29551 3.29551 -514.614 -514.614
850 124.742 3.29551 -393.168 -514.614
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 50.3227 50.3227 -6.88733 -6.88733
9 46.9352 46.9352 -10.2748 -10.2748
13 36.0194 36.0194 -21.1906 -21.1906
16 35.9257 35.9257 -21.2843 -21.2843
25 23.8085 23.8085 -33.4015 -33.4015
38 18.6157 18.6157 -38.5943 -38.5943
154 9.78077 9.78077 -47.4292 -47.4292
314 8.99984 8.99984 -48.2102 -48.2102
850 168.092 8.99984 110.882 -48.2102
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 156.953 156.953 129.173 129.173
2 103.231 103.231 75.4507 75.4507
4 53.4919 53.4919 25.7119 25.7119
5 24.9034 24.9034 -2.87656 -2.87656
12 9.21674 9.21674 -18.5633 -18.5633
850 53.998 9.21674 26.218 -18.5633
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 89.9672 89.9672 41.2572 41.2572
2 34.3569 34.3569 -14.3531 -14.3531
8 29.3396 29.3396 -19.3704 -19.3704
16 24.2808 24.2808 -24.4292 -24.4292
29 18.3376 18.3376 -30.3724 -30.3724
411 12.932 12.932 -35.778 -35.778
501 8.88957 8.88957 -39.8204 -39.8204
850 97.5486 8.88957 48.8386 -39.8204
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 151.352 151.352 -15.4381 -15.4381
2 63.178 63.178 -103.612 -103.612
8 24.5882 24.5882 -142.202 -142.202
25 10.3475 10.3475 -156.442 -156.442
179 3.06938 3.06938 -163.721 -163.721
850 92.6992 3.06938 -74.0908 -163.721
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13.6202 13.6202 1013.62 1013.62
11 11.3082 11.3082 1011.31 1011.31
26 10.641 10.641 1010.64 1010.64
239 6.71411 6.71411 1006.71 1006.71
850 93.4384 6.71411 1093.44 1006.71
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
