"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 76.867 76.867 59.927 59.927
3 50.2183 50.2183 33.2783 33.2783
5 35.64 35.64 18.7 18.7
29 22.5344 22.5344 5.59442 5.59442
256 16.1396 16.1396 -0.800354 -0.800354
546 14.2537 14.2537 -2.68628 -2.68628
719 11.5094 11.5094 -5.43064 -5.43064
964 11.2674 11.2674 -5.67259 -5.67259
982 11.0103 11.0103 -5.92968 -5.92968
1105 10.4549 10.4549 -6.48505 -6.48505
1219 10.2175 10.2175 -6.72252 -6.72252
1701 9.13933 9.13933 -7.80067 -7.80067
1820 7.87206 7.87206 -9.06794 -9.06794
1949 7.12419 7.12419 -9.81581 -9.81581
2002 6.20462 6.20462 -10.7354 -10.7354
2050 15.7294 6.20462 -1.21061 -10.7354
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 35.0388 35.0388 53.8488 53.8488
4 25.9976 25.9976 44.8076 44.8076
6 23.2552 23.2552 42.0652 42.0652
11 20.0937 20.0937 38.9037 38.9037
20 14.9364 14.9364 33.7464 33.7464
48 14.0202 14.0202 32.8302 32.8302
219 13.3409 13.3409 32.1509 32.1509
368 10.8334 10.8334 29.6434 29.6434
674 10.4159 10.4159 29.2259 29.2259
784 10.3713 10.3713 29.1813 29.1813
915 8.07969 8.07969 26.8897 26.8897
1705 7.67333 7.67333 26.4833 26.4833
1733 7.53849 7.53849 26.3485 26.3485
1824 6.71133 6.71133 25.5213 25.5213
2050 15.5318 6.71133 34.3418 25.5213
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 52.2336 52.2336 325.384 325.384
7 47.3958 47.3958 320.546 320.546
9 35.2552 35.2552 308.405 308.405
17 34.3062 34.3062 307.456 307.456
41 29.3207 29.3207 302.471 302.471
105 27.5429 27.5429 300.693 300.693
113 17.0835 17.0835 290.234 290.234
206 16.5977 16.5977 289.748 289.748
258 13.9647 13.9647 287.115 287.115
980 12.4645 12.4645 285.615 285.615
986 11.3058 11.3058 284.456 284.456
1085 10.6208 10.6208 283.771 283.771
1326 8.32147 8.32147 281.471 281.471
1361 7.78776 7.78776 280.938 280.938
2050 51.6855 7.78776 324.835 280.938
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.1276 17.1276 54.3076 54.3076
19 16.7668 16.7668 53.9468 53.9468
36 14.4432 14.4432 51.6232 51.6232
37 11.8138 11.8138 48.9938 48.9938
527 9.61259 9.61259 46.7926 46.7926
632 9.24702 9.24702 46.427 46.427
921 8.94153 8.94153 46.1215 46.1215
997 8.86204 8.86204 46.042 46.042
1085 7.99117 7.99117 45.1712 45.1712
1096 7.46544 7.46544 44.6454 44.6454
1187 5.99411 5.99411 43.1741 43.1741
2050 47.2765 5.99411 84.4565 43.1741
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 48.2927 48.2927 -99.6073 -99.6073
2 30.8417 30.8417 -117.058 -117.058
3 14.7674 14.7674 -133.133 -133.133
125 13.8541 13.8541 -134.046 -134.046
166 12.6692 12.6692 -135.231 -135.231
