"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13.6459 13.6459 20.5159 20.5159
2 11.2806 11.2806 18.1506 18.1506
12 8.44181 8.44181 15.3118 15.3118
19 7.68155 7.68155 14.5516 14.5516
45 7.52457 7.52457 14.3946 14.3946
126 6.70579 6.70579 13.5758 13.5758
180 4.11784 4.11784 10.9878 10.9878
657 3.89515 3.89515 10.7652 10.7652
2050 10.6115 3.89515 17.4815 10.7652
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10.9694 10.9694 10.9794 10.9794
3 10.8059 10.8059 10.8159 10.8159
10 9.80401 9.80401 9.81401 9.81401
11 8.06798 8.06798 8.07798 8.07798
12 7.86444 7.86444 7.87444 7.87444
14 6.11357 6.11357 6.12357 6.12357
173 5.37537 5.37537 5.38537 5.38537
305 4.52671 4.52671 4.53671 4.53671
1524 3.99341 3.99341 4.00341 4.00341
1991 3.24387 3.24387 3.25387 3.25387
2050 19.489 3.24387 19.499 3.25387
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12.1433 12.1433 -118.467 -118.467
5 10.7247 10.7247 -119.885 -119.885
6 10.4672 10.4672 -120.143 -120.143
10 8.2089 8.2089 -122.401 -122.401
13 4.28236 4.28236 -126.328 -126.328
764 4.02111 4.02111 -126.589 -126.589
2050 12.9512 4.02111 -117.659 -126.589
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22.7141 22.7141 -200.406 -200.406
2 20.4027 20.4027 -202.717 -202.717
3 17.0494 17.0494 -206.071 -206.071
4 15.4658 15.4658 -207.654 -207.654
6 7.17675 7.17675 -215.943 -215.943
217 6.01279 6.01279 -217.107 -217.107
223 4.78965 4.78965 -218.33 -218.33
2050 14.7247 4.78965 -208.395 -218.33
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.6714 17.6714 -26.7586 -26.7586
2 10.5681 10.5681 -33.8619 -33.8619
11 7.78273 7.78273 -36.6473 -36.6473
12 5.84868 5.84868 -38.5813 -38.5813
405 5.37228 5.37228 -39.0577 -39.0577
734 4.79113 4.79113 -39.6389 -39.6389
2050 14.9225 4.79113 -29.5075 -39.6389
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.87845 6.87845 92.2684 92.2684
7 6.55935 6.55935 91.9493 91.9493
11 6.50521 6.50521 91.8952 91.8952
24 5.03773 5.03773 90.4277 90.4277
1104 3.92056 3.92056 89.3106 89.3106
1650 3.83786 3.83786 89.2279 89.2279
2050 33.1746 3.83786 118.565 89.2279
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13.1985 13.1985 -974.091 -974.091
3 11.8807 11.8807 -975.409 -975.409
7 8.81217 8.81217 -978.478 -978.478
14 7.61291 7.61291 -979.677 -979.677
31 5.23148 5.23148 -982.059 -982.059
627 5.15566 5.15566 -982.134 -982.134
844 4.95621 4.95621 -982.334 -982.334
1446 3.55863 3.55863 -983.731 -983.731
2050 15.2214 3.55863 -972.069 -983.731
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 25.1316 25.1316 -126.628 -126.628
2 7.50734 7.50734 -144.253 -144.253
26 6.69192 6.69192 -145.068 -145.068
102 6.39925 6.39925 -145.361 -145.361
146 5.4642 5.4642 -146.296 -146.296
297 5.31254 5.31254 -146.447 -146.447
390 4.39646 4.39646 -147.364 -147.364
954 4.21604 4.21604 -147.544 -147.544
2050 15.2978 4.21604 -136.462 -147.544
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 23.4937 23.4937 90.2937 90.2937
2 15.6251 15.6251 82.4251 82.4251
5 9.89582 9.89582 76.6958 76.6958
10 8.96425 8.96425 75.7643 75.7643
13 8.01748 8.01748 74.8175 74.8175
23 6.21886 6.21886 73.0189 73.0189
