"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 46.3319 46.3319 -415.758 -415.758
2 46.2715 46.2715 -415.819 -415.819
4 23.0433 23.0433 -439.047 -439.047
5 19.8542 19.8542 -442.236 -442.236
123 11.9254 11.9254 -450.165 -450.165
389 11.8291 11.8291 -450.261 -450.261
423 11.2222 11.2222 -450.868 -450.868
450 123.285 11.2222 -338.805 -450.868
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 390.094 390.094 467.754 467.754
2 168.357 168.357 246.017 246.017
3 117.428 117.428 195.088 195.088
6 62.3301 62.3301 139.99 139.99
18 34.0876 34.0876 111.748 111.748
27 29.0746 29.0746 106.735 106.735
37 23.468 23.468 101.128 101.128
113 22.934 22.934 100.594 100.594
121 14.9182 14.9182 92.5782 92.5782
167 11.8262 11.8262 89.4862 89.4862
208 9.67808 9.67808 87.3381 87.3381
210 5.80584 5.80584 83.4658 83.4658
450 95.491 5.80584 173.151 83.4658
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 138.006 138.006 253.686 253.686
2 85.7058 85.7058 201.386 201.386
3 16.1972 16.1972 131.877 131.877
17 15.5193 15.5193 131.199 131.199
103 4.67605 4.67605 120.356 120.356
450 1029.04 4.67605 1144.72 120.356
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 267.493 267.493 263.783 263.783
4 78.9281 78.9281 75.2181 75.2181
5 34.2774 34.2774 30.5674 30.5674
10 34.184 34.184 30.474 30.474
22 30.0385 30.0385 26.3285 26.3285
23 13.4772 13.4772 9.76725 9.76725
128 11.7427 11.7427 8.03267 8.03267
300 10.1591 10.1591 6.4491 6.4491
314 6.92292 6.92292 3.21292 3.21292
450 47.5206 6.92292 43.8106 3.21292
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 221.575 221.575 353.755 353.755
2 62.8463 62.8463 195.026 195.026
14 27.0686 27.0686 159.249 159.249
41 21.5128 21.5128 153.693 153.693
115 18.636 18.636 150.816 150.816
216 18.3717 18.3717 150.552 150.552
450 63.7225 18.3717 195.902 150.552
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 474.392 474.392 -110.338 -110.338
2 35.0538 35.0538 -549.676 -549.676
4 30.8025 30.8025 -553.928 -553.928
8 23.8766 23.8766 -560.853 -560.853
13 16.5688 16.5688 -568.161 -568.161
121 12.3263 12.3263 -572.404 -572.404
185 7.1392 7.1392 -577.591 -577.591
377 5.52514 5.52514 -579.205 -579.205
450 36.1373 5.52514 -548.593 -579.205
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 41.2929 41.2929 4.7529 4.7529
13 24.1948 24.1948 -12.3452 -12.3452
38 22.0442 22.0442 -14.4958 -14.4958
101 14.9476 14.9476 -21.5924 -21.5924
120 6.87943 6.87943 -29.6606 -29.6606
450 38.2624 6.87943 1.72244 -29.6606
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 36.9172 36.9172 1036.92 1036.92
16 31.2777 31.2777 1031.28 1031.28
23 4.40259 4.40259 1004.4 1004.4
447 1.9927 1.9927 1001.99 1001.99
450 810.158 1.9927 1810.16 1001.99
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 244.913 244.913 291.523 291.523
6 158.478 158.478 205.088 205.088
8 23.6623 23.6623 70.2723 70.2723
12 20.6714 20.6714 67.2814 67.2814
22 11.6521 11.6521 58.2621 58.2621
48 9.55945 9.55945 56.1695 56.1695
50 7.3692 7.3692 53.9792 53.9792
393 5.21462 5.21462 51.8246 51.8246
450 447.438 5.21462 494.048 51.8246
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 92.0127 92.0127 -172.297 -172.297
2 64.6933 64.6933 -199.617 -199.617
9 57.4718 57.4718 -206.838 -206.838
18 39.5296 39.5296 -224.78 -224.78
25 21.8695 21.8695 -242.44 -242.44
45 20.6195 20.6195 -243.69 -243.69
105 13.1631 13.1631 -251.147 -251.147
247 10.0569 10.0569 -254.253 -254.253
296 5.92533 5.92533 -258.385 -258.385
304 5.3148 5.3148 -258.995 -258.995
403 4.81221 4.81221 -259.498 -259.498
450 46.8483 4.81221 -217.462 -259.498
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 57.6083 57.6083 130.338 130.338
4 40.5103 40.5103 113.24 113.24
9 32.4839 32.4839 105.214 105.214
38 15.9278 15.9278 88.6578 88.6578
288 10.7362 10.7362 83.4662 83.4662
450 1747.69 10.7362 1820.42 83.4662
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 298.604 298.604 435.474 435.474
2 167.101 167.101 303.971 303.971
3 133.673 133.673 270.543 270.543
8 112.344 112.344 249.214 249.214
12 40.509 40.509 177.379 177.379
14 7.89344 7.89344 144.763 144.763
450 151.84 7.89344 288.71 144.763
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 52.4736 52.4736 74.4336 74.4336
17 27.8223 27.8223 49.7823 49.7823
34 24.641 24.641 46.601 46.601
128 14.3097 14.3097 36.2697 36.2697
201 9.82614 9.82614 31.7861 31.7861
220 8.50056 8.50056 30.4606 30.4606
450 106.745 8.50056 128.705 30.4606
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 348.319 348.319 326.929 326.929
3 331.417 331.417 310.027 310.027
4 158.378 158.378 136.988 136.988
7 58.9588 58.9588 37.5688 37.5688
12 50.8535 50.8535 29.4635 29.4635
13 35.7287 35.7287 14.3387 14.3387
25 24.9388 24.9388 3.54885 3.54885
27 23.075 23.075 1.68496 1.68496
141 14.8595 14.8595 -6.53045 -6.53045
361 6.47644 6.47644 -14.9136 -14.9136
432 4.67612 4.67612 -16.7139 -16.7139
450 957.343 4.67612 935.953 -16.7139
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 75.4748 75.4748 593.135 593.135
5 19.5406 19.5406 537.201 537.201
18 11.9379 11.9379 529.598 529.598
218 7.91656 7.91656 525.577 525.577
450 75.8841 7.91656 593.544 525.577
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 491.253 491.253 353.703 353.703
2 192.246 192.246 54.6959 54.6959
3 21.2326 21.2326 -116.317 -116.317
379 17.8671 17.8671 -119.683 -119.683
450 1286.44 17.8671 1148.89 -119.683
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.05837 7.05837 -93.9216 -93.9216
151 3.35786 3.35786 -97.6221 -97.6221
450 1757.74 3.35786 1656.76 -97.6221
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 359.615 359.615 391.955 391.955
2 293.361 293.361 325.701 325.701
3 139.353 139.353 171.693 171.693
5 59.652 59.652 91.992 91.992
8 25.1338 25.1338 57.4738 57.4738
29 20.7214 20.7214 53.0614 53.0614
126 10.4453 10.4453 42.7853 42.7853
135 9.18318 9.18318 41.5232 41.5232
168 8.88721 8.88721 41.2272 41.2272
450 456.216 8.88721 488.556 41.2272
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 351.644 351.644 962.624 962.624
2 206.883 206.883 817.863 817.863
5 189.697 189.697 800.677 800.677
6 99.0658 99.0658 710.046 710.046
7 79.0801 79.0801 690.06 690.06
10 52.9101 52.9101 663.89 663.89
19 26.3955 26.3955 637.376 637.376
21 25.5494 25.5494 636.529 636.529
42 24.4003 24.4003 635.38 635.38
113 15.006 15.006 625.986 625.986
211 13.991 13.991 624.971 624.971
227 10.9666 10.9666 621.947 621.947
450 629.556 10.9666 1240.54 621.947
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 684.478 684.478 745.648 745.648
2 96.4395 96.4395 157.609 157.609
5 79.5987 79.5987 140.769 140.769
9 42.8962 42.8962 104.066 104.066
14 39.4132 39.4132 100.583 100.583
33 21.6647 21.6647 82.8347 82.8347
399 20.5331 20.5331 81.7031 81.7031
446 10.0888 10.0888 71.2588 71.2588
450 27.9511 10.0888 89.1211 71.2588
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.45016 2.45016 24.1402 24.1402
450 7135.81 2.45016 7157.5 24.1402
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 428.85 428.85 511.17 511.17
2 305.156 305.156 387.476 387.476
3 106.335 106.335 188.655 188.655
4 48.1542 48.1542 130.474 130.474
5 26.8096 26.8096 109.13 109.13
34 17.786 17.786 100.106 100.106
136 7.28449 7.28449 89.6045 89.6045
219 5.89118 5.89118 88.2112 88.2112
450 37.8135 5.89118 120.133 88.2112
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 119.225 119.225 322.685 322.685
5 54.2984 54.2984 257.758 257.758
6 46.7212 46.7212 250.181 250.181
7 39.3965 39.3965 242.857 242.857
27 21.3481 21.3481 224.808 224.808
207 20.6102 20.6102 224.07 224.07
296 16.6833 16.6833 220.143 220.143
309 6.77387 6.77387 210.234 210.234
450 88.9162 6.77387 292.376 210.234
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 243.215 243.215 -756.785 -756.785
3 103.385 103.385 -896.615 -896.615
6 67.6714 67.6714 -932.329 -932.329
8 62.7521 62.7521 -937.248 -937.248
19 23.253 23.253 -976.747 -976.747
