"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 247.139 247.139 194.789 194.789
3 29.2089 29.2089 -23.1411 -23.1411
5 4.21107 4.21107 -48.1389 -48.1389
56 2.49666 2.49666 -49.8533 -49.8533
545 1.75908 1.75908 -50.5909 -50.5909
598 1.30439 1.30439 -51.0456 -51.0456
616 0.772488 0.772488 -51.5775 -51.5775
750 5.94825 0.772488 -46.4018 -51.5775
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 28.5937 28.5937 -150.946 -150.946
3 25.8828 25.8828 -153.657 -153.657
12 4.10575 4.10575 -175.434 -175.434
394 3.11905 3.11905 -176.421 -176.421
401 2.97836 2.97836 -176.562 -176.562
416 1.85356 1.85356 -177.686 -177.686
632 1.70215 1.70215 -177.838 -177.838
702 1.52364 1.52364 -178.016 -178.016
750 18.5705 1.52364 -160.969 -178.016
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 27.8247 27.8247 105.135 105.135
4 25.6284 25.6284 102.938 102.938
10 7.15881 7.15881 84.4688 84.4688
31 5.26893 5.26893 82.5789 82.5789
50 3.85397 3.85397 81.164 81.164
98 0.874356 0.874356 78.1844 78.1844
750 19.7559 0.874356 97.0659 78.1844
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 23.6533 23.6533 63.5733 63.5733
2 6.01414 6.01414 45.9341 45.9341
173 5.8029 5.8029 45.7229 45.7229
194 4.33283 4.33283 44.2528 44.2528
209 3.94956 3.94956 43.8696 43.8696
279 3.74965 3.74965 43.6697 43.6697
415 2.37238 2.37238 42.2924 42.2924
525 2.32863 2.32863 42.2486 42.2486
596 1.13955 1.13955 41.0596 41.0596
750 31.4899 1.13955 71.4099 41.0596
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 54.0258 54.0258 -2.58423 -2.58423
4 41.9753 41.9753 -14.6347 -14.6347
5 18.5774 18.5774 -38.0326 -38.0326
15 18.1899 18.1899 -38.4201 -38.4201
17 17.1302 17.1302 -39.4798 -39.4798
23 6.71977 6.71977 -49.8902 -49.8902
137 4.84031 4.84031 -51.7697 -51.7697
411 1.17434 1.17434 -55.4357 -55.4357
750 34.4136 1.17434 -22.1964 -55.4357
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 121.641 121.641 172.981 172.981
2 13.417 13.417 64.757 64.757
6 11.6633 11.6633 63.0033 63.0033
21 7.68009 7.68009 59.0201 59.0201
74 4.07027 4.07027 55.4103 55.4103
108 3.5922 3.5922 54.9322 54.9322
210 1.90752 1.90752 53.2475 53.2475
419 1.2016 1.2016 52.5416 52.5416
488 1.12701 1.12701 52.467 52.467
553 1.08871 1.08871 52.4287 52.4287
556 1.06611 1.06611 52.4061 52.4061
750 8.80661 1.06611 60.1466 52.4061
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 79.1241 79.1241 -45.2759 -45.2759
3 17.5968 17.5968 -106.803 -106.803
8 4.22307 4.22307 -120.177 -120.177
77 3.71491 3.71491 -120.685 -120.685
250 1.75385 1.75385 -122.646 -122.646
465 1.23402 1.23402 -123.166 -123.166
750 8.16094 1.23402 -116.239 -123.166
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 428.333 428.333 428.933 428.933
2 14.2065 14.2065 14.8065 14.8065
9 13.6017 13.6017 14.2017 14.2017
14 13.4727 13.4727 14.0727 14.0727
36 12.1106 12.1106 12.7106 12.7106
37 11.6323 11.6323 12.2323 12.2323
38 9.65356 9.65356 10.2536 10.2536
41 9.29067 9.29067 9.89067 9.89067
46 7.97487 7.97487 8.57487 8.57487
47 6.03215 6.03215 6.63215 6.63215
59 4.62904 4.62904 5.22904 5.22904
82 3.57254 3.57254 4.17254 4.17254
83 2.66578 2.66578 3.26578 3.26578
338 2.03517 2.03517 2.63517 2.63517
425 1.80631 1.80631 2.40631 2.40631
433 1.80508 1.80508 2.40508 2.40508
485 1.57007 1.57007 2.17007 2.17007
640 1.05104 1.05104 1.65104 1.65104
750 9.73212 1.05104 10.3321 1.65104
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 135.059 135.059 94.3489 94.3489
2 23.2383 23.2383 -17.4717 -17.4717
3 5.45164 5.45164 -35.2584 -35.2584
117 1.74426 1.74426 -38.9657 -38.9657
415 0.802095 0.802095 -39.9079 -39.9079
750 4.72366 0.802095 -35.9863 -39.9079
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 20.2734 20.2734 834.593 834.593
7 11.785 11.785 826.105 826.105
22 8.67503 8.67503 822.995 822.995
35 8.20735 8.20735 822.527 822.527
53 6.82343 6.82343 821.143 821.143
75 5.87393 5.87393 820.194 820.194
224 5.51182 5.51182 819.832 819.832
351 5.39906 5.39906 819.719 819.719
405 2.87851 2.87851 817.199 817.199
406 2.73963 2.73963 817.06 817.06
538 2.17339 2.17339 816.493 816.493
618 1.28196 1.28196 815.602 815.602
750 18.6509 1.28196 832.971 815.602
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 23.3518 23.3518 -38.6982 -38.6982
2 17.8492 17.8492 -44.2008 -44.2008
5 15.656 15.656 -46.394 -46.394
6 8.80965 8.80965 -53.2404 -53.2404
30 5.31248 5.31248 -56.7375 -56.7375
37 4.82891 4.82891 -57.2211 -57.2211
66 4.23202 4.23202 -57.818 -57.818
75 2.84777 2.84777 -59.2022 -59.2022
87 1.19108 1.19108 -60.8589 -60.8589
604 1.18329 1.18329 -60.8667 -60.8667
750 10.3766 1.18329 -51.6734 -60.8667
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.84813 9.84813 -33.4319 -33.4319
8 1.44379 1.44379 -41.8362 -41.8362
511 0.372735 0.372735 -42.9073 -42.9073
750 5.87643 0.372735 -37.4036 -42.9073
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.8734 17.8734 -21.2866 -21.2866
4 7.0586 7.0586 -32.1014 -32.1014
5 4.3664 4.3664 -34.7936 -34.7936
409 3.81813 3.81813 -35.3419 -35.3419
447 3.28046 3.28046 -35.8795 -35.8795
750 12.4614 3.28046 -26.6986 -35.8795
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.04035 8.04035 -165.24 -165.24
11 7.55416 7.55416 -165.726 -165.726
59 7.32289 7.32289 -165.957 -165.957
63 3.35811 3.35811 -169.922 -169.922
88 2.4372 2.4372 -170.843 -170.843
149 2.01718 2.01718 -171.263 -171.263
445 1.42283 1.42283 -171.857 -171.857
474 0.960055 0.960055 -172.32 -172.32
750 10.6637 0.960055 -162.616 -172.32
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 67.5071 67.5071 57.3371 57.3371
2 17.2011 17.2011 7.03106 7.03106
3 9.68695 9.68695 -0.483051 -0.483051
11 7.48341 7.48341 -2.68659 -2.68659
106 3.57585 3.57585 -6.59415 -6.59415
302 3.31505 3.31505 -6.85495 -6.85495
402 3.22109 3.22109 -6.94891 -6.94891
414 3.12979 3.12979 -7.04021 -7.04021
421 2.17702 2.17702 -7.99298 -7.99298
576 1.40736 1.40736 -8.76264 -8.76264
750 11.3273 1.40736 1.15729 -8.76264
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 180.601 180.601 160.071 160.071
2 79.0374 79.0374 58.5074 58.5074
3 65.6156 65.6156 45.0856 45.0856
4 26.1562 26.1562 5.62623 5.62623
10 10.3767 10.3767 -10.1533 -10.1533
42 9.65519 9.65519 -10.8748 -10.8748
75 5.48739 5.48739 -15.0426 -15.0426
357 3.29164 3.29164 -17.2384 -17.2384
405 2.73829 2.73829 -17.7917 -17.7917
506 2.03657 2.03657 -18.4934 -18.4934
630 1.73355 1.73355 -18.7964 -18.7964
750 193.155 1.73355 172.625 -18.7964
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1622.83 1622.83 1628.86 1628.86
2 65.2758 65.2758 71.3058 71.3058
8 54.8127 54.8127 60.8427 60.8427
10 52.8603 52.8603 58.8903 58.8903
11 40.1319 40.1319 46.1619 46.1619
14 32.2584 32.2584 38.2884 38.2884
20 19.7099 19.7099 25.7399 25.7399
34 15.4218 15.4218 21.4518 21.4518
36 11.4772 11.4772 17.5072 17.5072
76 5.12538 5.12538 11.1554 11.1554
353 4.91565 4.91565 10.9457 10.9457
400 3.29967 3.29967 9.32967 9.32967
410 2.64281 2.64281 8.67281 8.67281
422 1.47888 1.47888 7.50888 7.50888
750 7.05493 1.47888 13.0849 7.50888
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 121.688 121.688 524.398 524.398
2 31.2537 31.2537 433.964 433.964
6 20.6358 20.6358 423.346 423.346
7 4.50909 4.50909 407.219 407.219
151 1.47158 1.47158 404.182 404.182
750 9.8626 1.47158 412.573 404.182
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.5526 15.5526 47.3426 47.3426
6 15.2007 15.2007 46.9907 46.9907
20 3.65427 3.65427 35.4443 35.4443
206 2.82867 2.82867 34.6187 34.6187
490 0.880827 0.880827 32.6708 32.6708
750 170.714 0.880827 202.504 32.6708
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.5963 77.5963 80.3563 80.3563
2 28.4106 28.4106 31.1706 31.1706
7 3.49289 3.49289 6.25289 6.25289
39 1.6048 1.6048 4.3648 4.3648
437 1.50689 1.50689 4.26689 4.26689
498 1.16952 1.16952 3.92952 3.92952
733 0.817365 0.817365 3.57737 3.57737
750 8.82104 0.817365 11.581 3.57737
