"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 82.6748 82.6748 -19.8752 -19.8752
2 38.144 38.144 -64.406 -64.406
3 27.4093 27.4093 -75.1407 -75.1407
12 25.2875 25.2875 -77.2625 -77.2625
51 21.5905 21.5905 -80.9595 -80.9595
76 15.8299 15.8299 -86.7201 -86.7201
85 12.2204 12.2204 -90.3296 -90.3296
472 11.8477 11.8477 -90.7023 -90.7023
511 11.544 11.544 -91.006 -91.006
617 11.4267 11.4267 -91.1233 -91.1233
681 8.89783 8.89783 -93.6522 -93.6522
808 8.86502 8.86502 -93.685 -93.685
1158 7.92059 7.92059 -94.6294 -94.6294
1457 7.60265 7.60265 -94.9474 -94.9474
1799 5.64397 5.64397 -96.906 -96.906
2150 17.1207 5.64397 -85.4293 -96.906
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 46.8587 46.8587 118.549 118.549
4 36.7407 36.7407 108.431 108.431
19 35.8107 35.8107 107.501 107.501
23 25.8737 25.8737 97.5637 97.5637
34 24.2326 24.2326 95.9226 95.9226
35 23.4662 23.4662 95.1562 95.1562
72 15.7511 15.7511 87.4411 87.4411
112 12.1692 12.1692 83.8592 83.8592
442 11.5341 11.5341 83.2241 83.2241
454 11.291 11.291 82.981 82.981
489 11.1331 11.1331 82.8231 82.8231
496 10.6392 10.6392 82.3292 82.3292
592 10.5428 10.5428 82.2328 82.2328
724 10.1254 10.1254 81.8154 81.8154
800 9.82003 9.82003 81.51 81.51
825 8.98631 8.98631 80.6763 80.6763
1171 8.73946 8.73946 80.4295 80.4295
1279 8.62169 8.62169 80.3117 80.3117
1389 6.49713 6.49713 78.1871 78.1871
2150 19.1161 6.49713 90.8061 78.1871
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 56.7633 56.7633 270.773 270.773
5 46.5809 46.5809 260.591 260.591
9 44.3941 44.3941 258.404 258.404
15 42.5436 42.5436 256.554 256.554
28 36.6196 36.6196 250.63 250.63
36 31.3904 31.3904 245.4 245.4
54 15.2087 15.2087 229.219 229.219
343 11.6026 11.6026 225.613 225.613
415 10.09 10.09 224.1 224.1
446 8.82833 8.82833 222.838 222.838
860 8.67389 8.67389 222.684 222.684
1012 7.85622 7.85622 221.866 221.866
1154 7.69327 7.69327 221.703 221.703
1621 7.57343 7.57343 221.583 221.583
2136 7.39082 7.39082 221.401 221.401
2150 15.145 7.39082 229.155 221.401
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 40.3263 40.3263 -18.1537 -18.1537
2 27.0018 27.0018 -31.4782 -31.4782
13 25.7196 25.7196 -32.7604 -32.7604
32 21.9791 21.9791 -36.5009 -36.5009
59 19.5201 19.5201 -38.9599 -38.9599
60 17.0502 17.0502 -41.4298 -41.4298
69 11.6056 11.6056 -46.8744 -46.8744
398 10.8838 10.8838 -47.5962 -47.5962
403 10.629 10.629 -47.851 -47.851
404 9.55222 9.55222 -48.9278 -48.9278
906 9.38372 9.38372 -49.0963 -49.0963
1183 8.95194 8.95194 -49.5281 -49.5281
1387 8.39289 8.39289 -50.0871 -50.0871
1482 8.32723 8.32723 -50.1528 -50.1528
1893 6.84967 6.84967 -51.6303 -51.6303
2150 206.8 6.84967 148.32 -51.6303
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 39.4882 39.4882 -573.592 -573.592
15 23.8031 23.8031 -589.277 -589.277
57 17.0165 17.0165 -596.063 -596.063
72 16.5353 16.5353 -596.545 -596.545
75 12.7867 12.7867 -600.293 -600.293
207 12.6509 12.6509 -600.429 -600.429
412 12.5335 12.5335 -600.547 -600.547
422 11.3311 11.3311 -601.749 -601.749
550 9.88491 9.88491 -603.195 -603.195
770 9.70776 9.70776 -603.372 -603.372
801 8.52166 8.52166 -604.558 -604.558
