"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 122.333 122.333 113.123 113.123
2 80.6702 80.6702 71.4602 71.4602
7 71.8711 71.8711 62.6611 62.6611
13 55.2659 55.2659 46.0559 46.0559
20 52.2121 52.2121 43.0021 43.0021
38 51.9641 51.9641 42.7541 42.7541
40 41.0627 41.0627 31.8527 31.8527
46 30.3985 30.3985 21.1885 21.1885
108 15.9858 15.9858 6.77584 6.77584
457 7.22195 7.22195 -1.98805 -1.98805
465 -2.19645 -2.19645 -11.4065 -11.4065
490 -5.35453 -5.35453 -14.5645 -14.5645
581 -17.9897 -17.9897 -27.1997 -27.1997
717 -18.9808 -18.9808 -28.1908 -28.1908
750 55.1765 -18.9808 45.9665 -28.1908
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 115.347 115.347 771.337 771.337
3 75.6643 75.6643 731.654 731.654
6 11.5203 11.5203 667.51 667.51
309 0.0895657 0.0895657 656.08 656.08
367 -10.6582 -10.6582 645.332 645.332
400 129.684 -10.6582 785.674 645.332
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 125.446 125.446 192.156 192.156
2 83.5754 83.5754 150.285 150.285
4 74.656 74.656 141.366 141.366
10 63.688 63.688 130.398 130.398
16 57.1266 57.1266 123.837 123.837
19 50.6695 50.6695 117.38 117.38
23 50.1769 50.1769 116.887 116.887
36 42.5583 42.5583 109.268 109.268
110 3.74471 3.74471 70.4547 70.4547
400 -37.6009 -37.6009 29.1091 29.1091
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 157.863 157.863 1099.53 1099.53
2 132.889 132.889 1074.56 1074.56
3 97.9265 97.9265 1039.6 1039.6
4 70.2435 70.2435 1011.91 1011.91
12 28.6511 28.6511 970.321 970.321
88 -105.047 -105.047 836.623 836.623
400 152.06 -105.047 1093.73 836.623
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 166.386 166.386 128.936 128.936
2 110.495 110.495 73.0451 73.0451
3 50.473 50.473 13.023 13.023
23 41.0495 41.0495 3.59949 3.59949
51 37.723 37.723 0.272992 0.272992
