"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 79.2302 79.2302 -920.77 -920.77
2 76.6204 76.6204 -923.38 -923.38
3 65.0451 65.0451 -934.955 -934.955
5 55.7693 55.7693 -944.231 -944.231
15 50.0516 50.0516 -949.948 -949.948
17 26.6713 26.6713 -973.329 -973.329
19 24.259 24.259 -975.741 -975.741
197 20.2756 20.2756 -979.724 -979.724
330 17.6056 17.6056 -982.394 -982.394
339 11.6712 11.6712 -988.329 -988.329
455 4.17705 4.17705 -995.823 -995.823
712 3.98222 3.98222 -996.018 -996.018
750 26.6626 3.98222 -973.337 -996.018
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 74.2314 74.2314 1074.23 1074.23
2 74.1872 74.1872 1074.19 1074.19
5 66.5637 66.5637 1066.56 1066.56
8 64.9386 64.9386 1064.94 1064.94
9 63.1396 63.1396 1063.14 1063.14
15 48.0373 48.0373 1048.04 1048.04
24 5.41381 5.41381 1005.41 1005.41
489 3.14397 3.14397 1003.14 1003.14
597 2.96786 2.96786 1002.97 1002.97
633 1.74386 1.74386 1001.74 1001.74
750 64.16 1.74386 1064.16 1001.74
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 67.5474 67.5474 18.4174 18.4174
10 67.2104 67.2104 18.0804 18.0804
16 17.9653 17.9653 -31.1647 -31.1647
79 3.3083 3.3083 -45.8217 -45.8217
750 68.5995 3.3083 19.4695 -45.8217
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 79.2582 79.2582 376.988 376.988
2 75.6618 75.6618 373.392 373.392
8 75.0537 75.0537 372.784 372.784
9 54.9658 54.9658 352.696 352.696
14 41.9031 41.9031 339.633 339.633
17 24.3175 24.3175 322.048 322.048
51 11.3802 11.3802 309.11 309.11
125 5.44402 5.44402 303.174 303.174
563 4.72826 4.72826 302.458 302.458
572 2.17474 2.17474 299.905 299.905
748 0.664823 0.664823 298.395 298.395
750 68.3617 0.664823 366.092 298.395
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.2588 77.2588 128.829 128.829
8 72.399 72.399 123.969 123.969
9 71.3912 71.3912 122.961 122.961
13 69.053 69.053 120.623 120.623
14 34.949 34.949 86.519 86.519
79 22.8001 22.8001 74.3701 74.3701
93 18.0321 18.0321 69.6021 69.6021
170 10.4153 10.4153 61.9853 61.9853
226 4.42424 4.42424 55.9942 55.9942
565 1.15584 1.15584 52.7258 52.7258
630 0.577172 0.577172 52.1472 52.1472
750 70.3153 0.577172 121.885 52.1472
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 27.6994 27.6994 67.1294 67.1294
7 20.4752 20.4752 59.9052 59.9052
29 15.5871 15.5871 55.0171 55.0171
168 7.39801 7.39801 46.828 46.828
631 7.18949 7.18949 46.6195 46.6195
672 4.34295 4.34295 43.7729 43.7729
750 30.163 4.34295 69.593 43.7729
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.0171 77.0171 209.307 209.307
3 57.4875 57.4875 189.778 189.778
12 55.7158 55.7158 188.006 188.006
16 38.7931 38.7931 171.083 171.083
35 19.7187 19.7187 152.009 152.009
56 11.698 11.698 143.988 143.988
300 10.9395 10.9395 143.23 143.23
442 9.05397 9.05397 141.344 141.344
750 74.4439 9.05397 206.734 141.344
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.3559 77.3559 28.6459 28.6459
2 72.5125 72.5125 23.8025 23.8025
11 69.3246 69.3246 20.6146 20.6146
16 42.8787 42.8787 -5.8313 -5.8313
48 30.7961 30.7961 -17.9139 -17.9139
335 22.4764 22.4764 -26.2336 -26.2336
750 76.1283 22.4764 27.4183 -26.2336
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 76.5932 76.5932 48.2632 48.2632
5 67.0237 67.0237 38.6937 38.6937
9 48.2999 48.2999 19.9699 19.9699
11 9.82089 9.82089 -18.5091 -18.5091
391 6.3179 6.3179 -22.0121 -22.0121
475 2.24239 2.24239 -26.0876 -26.0876
567 0.759082 0.759082 -27.5709 -27.5709
750 72.3015 0.759082 43.9715 -27.5709
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 19.9391 19.9391 -131.671 -131.671
17 10.7212 10.7212 -140.889 -140.889
496 10.0077 10.0077 -141.602 -141.602
601 4.15307 4.15307 -147.457 -147.457
750 65.2851 4.15307 -86.3249 -147.457
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 72.3336 72.3336 -34.6564 -34.6564
6 69.2208 69.2208 -37.7692 -37.7692
15 64.9305 64.9305 -42.0595 -42.0595
19 60.0339 60.0339 -46.9561 -46.9561
49 42.0407 42.0407 -64.9493 -64.9493
67 24.349 24.349 -82.641 -82.641
93 19.3291 19.3291 -87.6609 -87.6609
151 7.45525 7.45525 -99.5347 -99.5347
