"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 304541 304541 304577 304577
2 11513.4 11513.4 11549.3 11549.3
14 7.23994 7.23994 43.1399 43.1399
250 5.29752 5.29752 41.1975 41.1975
289 5.19103 5.19103 41.091 41.091
400 328861 5.19103 328897 41.091
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12.4224 12.4224 43.7924 43.7924
24 3.70296 3.70296 35.073 35.073
47 3.26794 3.26794 34.6379 34.6379
82 3.23125 3.23125 34.6013 34.6013
101 0.344265 0.344265 31.7143 31.7143
400 157334 0.344265 157366 31.7143
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 33225.7 33225.7 32225.7 32225.7
2 3715.99 3715.99 2715.99 2715.99
10 116.732 116.732 -883.268 -883.268
11 59.0908 59.0908 -940.909 -940.909
22 31.7719 31.7719 -968.228 -968.228
24 29.3438 29.3438 -970.656 -970.656
26 13.0067 13.0067 -986.993 -986.993
30 2.73201 2.73201 -997.268 -997.268
194 0.526016 0.526016 -999.474 -999.474
400 34395.4 0.526016 33395.4 -999.474
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 461296 461296 461428 461428
2 200.296 200.296 332.216 332.216
3 34.7699 34.7699 166.69 166.69
31 32.6649 32.6649 164.585 164.585
38 28.7442 28.7442 160.664 160.664
39 21.409 21.409 153.329 153.329
48 12.5279 12.5279 144.448 144.448
52 1.27978 1.27978 133.2 133.2
131 1.21529 1.21529 133.135 133.135
236 0.0419681 0.0419681 131.962 131.962
400 1714.56 0.0419681 1846.48 131.962
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 389485 389485 390075 390075
2 173.243 173.243 764.083 764.083
5 32.5092 32.5092 623.349 623.349
46 24.1792 24.1792 615.019 615.019
59 10.5737 10.5737 601.414 601.414
65 4.9098 4.9098 595.75 595.75
103 2.43632 2.43632 593.276 593.276
400 21.1297 2.43632 611.97 593.276
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 230.128 230.128 261.108 261.108
5 36.2578 36.2578 67.2378 67.2378
20 30.1722 30.1722 61.1522 61.1522
27 6.59548 6.59548 37.5755 37.5755
35 4.75889 4.75889 35.7389 35.7389
139 0.157336 0.157336 31.1373 31.1373
400 633.642 0.157336 664.622 31.1373
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4336.02 4336.02 4191.48 4191.48
7 16.3876 16.3876 -128.152 -128.152
18 7.08441 7.08441 -137.456 -137.456
37 2.43318 2.43318 -142.107 -142.107
151 1.8853 1.8853 -142.655 -142.655
315 0.0418534 0.0418534 -144.498 -144.498
400 12361.5 0.0418534 12217 -144.498
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 55.4198 55.4198 -41.0702 -41.0702
2 23.7723 23.7723 -72.7177 -72.7177
4 15.1108 15.1108 -81.3792 -81.3792
57 6.19833 6.19833 -90.2917 -90.2917
191 0.649294 0.649294 -95.8407 -95.8407
400 12.4223 0.649294 -84.0677 -95.8407
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 18120.2 18120.2 19120.2 19120.2
7 23.46 23.46 1023.46 1023.46
186 0.768529 0.768529 1000.77 1000.77
400 167379 0.768529 168379 1000.77
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 29422.8 29422.8 29268 29268
3 13421.7 13421.7 13267 13267
6 8.12674 8.12674 -146.633 -146.633
21 6.66863 6.66863 -148.091 -148.091
27 5.46836 5.46836 -149.292 -149.292
64 1.61695 1.61695 -153.143 -153.143
400 225860 1.61695 225706 -153.143
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 114.459 114.459 153.599 153.599
2 43.6606 43.6606 82.8006 82.8006
4 26.7077 26.7077 65.8477 65.8477
12 18.0118 18.0118 57.1518 57.1518
17 12.1957 12.1957 51.3357 51.3357
24 12.0656 12.0656 51.2056 51.2056
39 4.17724 4.17724 43.3172 43.3172
44 1.78624 1.78624 40.9262 40.9262
52 0.829512 0.829512 39.9695 39.9695
400 21.3798 0.829512 60.5198 39.9695
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 71.0469 71.0469 59.1869 59.1869
2 40.8385 40.8385 28.9785 28.9785
6 14.8648 14.8648 3.00483 3.00483
16 11.9026 11.9026 0.0425879 0.0425879
30 7.07324 7.07324 -4.78676 -4.78676
36 3.04521 3.04521 -8.81479 -8.81479
102 0.731695 0.731695 -11.1283 -11.1283
400 84.346 0.731695 72.486 -11.1283
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.08003e+06 1.08003e+06 1.0801e+06 1.0801e+06
4 630179 630179 630249 630249
5 2035.78 2035.78 2106.46 2106.46
17 454.189 454.189 524.869 524.869
22 7.35372 7.35372 78.0337 78.0337
181 0.495505 0.495505 71.1755 71.1755
400 36462.5 0.495505 36533.2 71.1755
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.73096 2.73096 -3.52904 -3.52904
76 1.38981 1.38981 -4.87019 -4.87019
196 1.26501 1.26501 -4.99499 -4.99499
337 0.34615 0.34615 -5.91385 -5.91385
400 74.0187 0.34615 67.7587 -5.91385
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 36618.9 36618.9 36802.8 36802.8
10 34880.1 34880.1 35063.9 35063.9
21 2860.82 2860.82 3044.68 3044.68
25 3.97264 3.97264 187.833 187.833
31 1.41574 1.41574 185.276 185.276
174 1.32507 1.32507 185.185 185.185
400 61222.1 1.32507 61406 185.185
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 810655 810655 810721 810721
2 704093 704093 704158 704158
3 43150.2 43150.2 43216.1 43216.1
9 20279.1 20279.1 20345 20345
15 19942.5 19942.5 20008.3 20008.3
20 19726.9 19726.9 19792.8 19792.8
30 7908.74 7908.74 7974.61 7974.61
47 3641.98 3641.98 3707.85 3707.85
108 3430.95 3430.95 3496.82 3496.82
133 1113.79 1113.79 1179.66 1179.66
400 419176 1113.79 419242 1179.66
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 456605 456605 456604 456604
3 324124 324124 324123 324123
4 192052 192052 192051 192051
5 33722.3 33722.3 33721.2 33721.2
13 56.952 56.952 55.812 55.812
16 12.6684 12.6684 11.5284 11.5284
49 1.28147 1.28147 0.141469 0.141469
400 347141 1.28147 347140 0.141469
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 234467 234467 234249 234249
2 12.2613 12.2613 -205.299 -205.299
22 6.38248 6.38248 -211.178 -211.178
68 2.08141 2.08141 -215.479 -215.479
400 120802 2.08141 120585 -215.479
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 284068 284068 284300 284300
2 12.5172 12.5172 243.657 243.657
3 6.15952 6.15952 237.3 237.3
75 0.508022 0.508022 231.648 231.648
109 0.441898 0.441898 231.582 231.582
400 118881 0.441898 119112 231.582
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 60.9833 60.9833 92.2333 92.2333
4 43.6281 43.6281 74.8781 74.8781
5 39.0904 39.0904 70.3404 70.3404
15 8.36325 8.36325 39.6133 39.6133
