"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 61.3059 61.3059 163.916 163.916
5 56.1676 56.1676 158.778 158.778
8 55.8345 55.8345 158.444 158.444
136 52.9024 52.9024 155.512 155.512
179 40.5139 40.5139 143.124 143.124
312 38.1283 38.1283 140.738 140.738
549 38.0213 38.0213 140.631 140.631
602 33.3609 33.3609 135.971 135.971
645 28.8803 28.8803 131.49 131.49
850 45.7031 28.8803 148.313 131.49
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 144.536 144.536 237.836 237.836
7 140.109 140.109 233.409 233.409
9 114.675 114.675 207.975 207.975
13 89.4714 89.4714 182.771 182.771
29 82.6638 82.6638 175.964 175.964
31 80.8807 80.8807 174.181 174.181
41 65.3521 65.3521 158.652 158.652
141 49.6337 49.6337 142.934 142.934
161 36.6405 36.6405 129.941 129.941
211 28.1815 28.1815 121.482 121.482
523 27.6907 27.6907 120.991 120.991
850 35.1435 27.6907 128.444 120.991
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 73.9814 73.9814 87.6214 87.6214
102 51.2089 51.2089 64.8489 64.8489
117 45.0607 45.0607 58.7007 58.7007
183 21.3227 21.3227 34.9627 34.9627
850 64.0269 21.3227 77.6669 34.9627
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 88.8907 88.8907 283.691 283.691
15 87.8622 87.8622 282.662 282.662
18 82.0307 82.0307 276.831 276.831
20 58.8662 58.8662 253.666 253.666
125 44.6466 44.6466 239.447 239.447
217 39.1436 39.1436 233.944 233.944
390 15.2694 15.2694 210.069 210.069
850 87.1949 15.2694 281.995 210.069
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 162.711 162.711 29.1213 29.1213
3 139.217 139.217 5.62724 5.62724
4 90.7765 90.7765 -42.8135 -42.8135
10 84.2036 84.2036 -49.3864 -49.3864
102 41.6072 41.6072 -91.9828 -91.9828
246 36.9989 36.9989 -96.5911 -96.5911
335 34.0332 34.0332 -99.5568 -99.5568
755 29.5391 29.5391 -104.051 -104.051
790 27.0381 27.0381 -106.552 -106.552
850 39.3108 27.0381 -94.2792 -106.552
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 242.023 242.023 396.393 396.393
2 114.118 114.118 268.488 268.488
10 112.021 112.021 266.391 266.391
16 74.4968 74.4968 228.867 228.867
26 68.5398 68.5398 222.91 222.91
45 57.4958 57.4958 211.866 211.866
106 45.2288 45.2288 199.599 199.599
180 43.0795 43.0795 197.449 197.449
273 38.2645 38.2645 192.635 192.635
543 27.8445 27.8445 182.215 182.215
850 63.7764 27.8445 218.146 182.215
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 226.83 226.83 -61.5002 -61.5002
2 210.613 210.613 -77.7173 -77.7173
3 170.199 170.199 -118.131 -118.131
5 136.876 136.876 -151.454 -151.454
8 88.7702 88.7702 -199.56 -199.56
15 45.7651 45.7651 -242.565 -242.565
136 41.7813 41.7813 -246.549 -246.549
137 33.6863 33.6863 -254.644 -254.644
850 110833 33.6863 110544 -254.644
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 184.306 184.306 -353.804 -353.804
3 70.3709 70.3709 -467.739 -467.739
5 63.7264 63.7264 -474.384 -474.384
28 62.9858 62.9858 -475.124 -475.124
102 49.5721 49.5721 -488.538 -488.538
124 48.8521 48.8521 -489.258 -489.258
180 37.4525 37.4525 -500.658 -500.658
206 37.1063 37.1063 -501.004 -501.004
379 35.4551 35.4551 -502.655 -502.655
574 19.2368 19.2368 -518.873 -518.873
850 3414.02 19.2368 2875.91 -518.873
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 212.011 212.011 959.831 959.831
2 140.763 140.763 888.583 888.583
5 127.184 127.184 875.004 875.004
12 62.1333 62.1333 809.953 809.953
115 59.2537 59.2537 807.074 807.074
125 32.4859 32.4859 780.306 780.306
181 30.1559 30.1559 777.976 777.976
446 18.9767 18.9767 766.797 766.797
850 1603.35 18.9767 2351.17 766.797
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 154.644 154.644 171.314 171.314
2 112.36 112.36 129.03 129.03
4 111.913 111.913 128.583 128.583
7 104.398 104.398 121.068 121.068
10 82.6176 82.6176 99.2876 99.2876
12 81.0645 81.0645 97.7345 97.7345
13 79.7968 79.7968 96.4668 96.4668
14 74.331 74.331 91.001 91.001
21 49.6301 49.6301 66.3001 66.3001
192 47.7138 47.7138 64.3838 64.3838
221 47.629 47.629 64.299 64.299
226 43.615 43.615 60.285 60.285
237 42.4702 42.4702 59.1402 59.1402
255 33.2104 33.2104 49.8804 49.8804
381 30.4502 30.4502 47.1202 47.1202
850 139.667 30.4502 156.337 47.1202
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 234.017 234.017 171.247 171.247
2 107.774 107.774 45.0042 45.0042
3 99.7054 99.7054 36.9354 36.9354
8 84.7062 84.7062 21.9362 21.9362
21 80.7906 80.7906 18.0206 18.0206
38 44.5501 44.5501 -18.2199 -18.2199
198 34.4789 34.4789 -28.2911 -28.2911
629 34.4 34.4 -28.37 -28.37
850 116.61 34.4 53.8401 -28.37
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 164.307 164.307 175.267 175.267
2 150.4 150.4 161.36 161.36
4 105.144 105.144 116.104 116.104
6 72.966 72.966 83.926 83.926
20 72.122 72.122 83.082 83.082
48 64.9387 64.9387 75.8987 75.8987
49 62.8306 62.8306 73.7906 73.7906
101 59.58 59.58 70.54 70.54
123 38.6288 38.6288 49.5888 49.5888
549 37.7543 37.7543 48.7143 48.7143
562 34.2764 34.2764 45.2364 45.2364
673 23.3669 23.3669 34.3269 34.3269
850 96.7861 23.3669 107.746 34.3269
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 131.406 131.406 221.786 221.786
3 48.5384 48.5384 138.918 138.918
318 42.6889 42.6889 133.069 133.069
335 42.3378 42.3378 132.718 132.718
388 38.7103 38.7103 129.09 129.09
585 29.1591 29.1591 119.539 119.539
850 14482.4 29.1591 14572.8 119.539
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 87.5954 87.5954 -175.925 -175.925
28 49.3841 49.3841 -214.136 -214.136
122 38.6472 38.6472 -224.873 -224.873
180 37.1055 37.1055 -226.415 -226.415
201 33.4089 33.4089 -230.111 -230.111
359 30.8924 30.8924 -232.628 -232.628
604 23.3049 23.3049 -240.215 -240.215
