"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 58059.9 58059.9 58183.7 58183.7
3 4590.32 4590.32 4714.15 4714.15
10 1601.79 1601.79 1725.62 1725.62
101 1176.19 1176.19 1300.02 1300.02
102 972.989 972.989 1096.82 1096.82
106 193.661 193.661 317.491 317.491
114 180.711 180.711 304.541 304.541
120 129.48 129.48 253.31 253.31
124 120.589 120.589 244.419 244.419
150 104.376 104.376 228.206 228.206
152 92.2323 92.2323 216.062 216.062
262 20.1425 20.1425 143.972 143.972
724 19.6923 19.6923 143.522 143.522
850 12189.9 19.6923 12313.8 143.522
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 59793.4 59793.4 59840.9 59840.9
2 8878.78 8878.78 8926.29 8926.29
11 3995.77 3995.77 4043.28 4043.28
23 2717.79 2717.79 2765.3 2765.3
101 413.268 413.268 460.778 460.778
106 194.728 194.728 242.238 242.238
122 193.404 193.404 240.914 240.914
131 48.0894 48.0894 95.5994 95.5994
194 46.4071 46.4071 93.9171 93.9171
200 45.9791 45.9791 93.4891 93.4891
524 32.6021 32.6021 80.1121 80.1121
850 97829.5 32.6021 97877 80.1121
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 40814.9 40814.9 40870.2 40870.2
3 7562.27 7562.27 7617.61 7617.61
9 4316.91 4316.91 4372.25 4372.25
11 924.397 924.397 979.737 979.737
13 479.279 479.279 534.619 534.619
107 242.784 242.784 298.124 298.124
115 184.268 184.268 239.608 239.608
144 138.719 138.719 194.059 194.059
247 93.8761 93.8761 149.216 149.216
293 59.4719 59.4719 114.812 114.812
850 109081 59.4719 109137 114.812
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 50941 50941 50850.6 50850.6
2 7488.03 7488.03 7397.7 7397.7
8 4123.33 4123.33 4033 4033
17 4120.7 4120.7 4030.37 4030.37
23 3220.15 3220.15 3129.82 3129.82
101 1761.65 1761.65 1671.32 1671.32
103 600.02 600.02 509.69 509.69
115 232.618 232.618 142.288 142.288
142 137.237 137.237 46.9065 46.9065
231 96.7281 96.7281 6.39809 6.39809
442 34.3759 34.3759 -55.9541 -55.9541
573 31.1184 31.1184 -59.2116 -59.2116
683 27.0925 27.0925 -63.2375 -63.2375
