"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 210.094 210.094 240.064 240.064
3 133.584 133.584 163.554 163.554
7 61.7911 61.7911 91.7611 91.7611
24 51.4857 51.4857 81.4557 81.4557
32 13.4057 13.4057 43.3757 43.3757
133 12.8628 12.8628 42.8328 42.8328
243 2.86196 2.86196 32.832 32.832
400 119.046 2.86196 149.016 32.832
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 468.115 468.115 416.405 416.405
2 284.89 284.89 233.18 233.18
9 62.1658 62.1658 10.4558 10.4558
19 16.402 16.402 -35.308 -35.308
400 148.95 16.402 97.2403 -35.308
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 670.602 670.602 390.652 390.652
4 457.016 457.016 177.066 177.066
8 264.14 264.14 -15.8105 -15.8105
17 173.172 173.172 -106.778 -106.778
25 101.483 101.483 -178.467 -178.467
59 83.8168 83.8168 -196.133 -196.133
102 77.0194 77.0194 -202.931 -202.931
172 70.4314 70.4314 -209.519 -209.519
324 63.5505 63.5505 -216.399 -216.399
400 645.454 63.5505 365.504 -216.399
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 23.3992 23.3992 955.389 955.389
2 18.8513 18.8513 950.841 950.841
142 9.97806 9.97806 941.968 941.968
173 6.54022 6.54022 938.53 938.53
375 2.88458 2.88458 934.875 934.875
400 162.578 2.88458 1094.57 934.875
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 370.331 370.331 483.641 483.641
2 225.719 225.719 339.029 339.029
9 120.954 120.954 234.264 234.264
30 100.738 100.738 214.048 214.048
33 57.3392 57.3392 170.649 170.649
242 56.4752 56.4752 169.785 169.785
297 13.4524 13.4524 126.762 126.762
400 1175.77 13.4524 1289.08 126.762
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 654.959 654.959 354.939 354.939
3 256.862 256.862 -43.1579 -43.1579
8 127.925 127.925 -172.095 -172.095
18 75.0473 75.0473 -224.973 -224.973
20 71.393 71.393 -228.627 -228.627
34 53.9695 53.9695 -246.051 -246.051
39 43.0713 43.0713 -256.949 -256.949
66 29.644 29.644 -270.376 -270.376
115 1.3563 1.3563 -298.664 -298.664
400 421.222 1.3563 121.202 -298.664
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 276.267 276.267 320.977 320.977
2 256.648 256.648 301.358 301.358
5 196.316 196.316 241.026 241.026
6 75.1214 75.1214 119.831 119.831
24 53.452 53.452 98.162 98.162
53 25.4412 25.4412 70.1512 70.1512
197 23.909 23.909 68.619 68.619
264 15.6265 15.6265 60.3365 60.3365
266 10.7537 10.7537 55.4637 55.4637
400 1039.95 10.7537 1084.66 55.4637
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 737.622 737.622 -262.378 -262.378
2 674.78 674.78 -325.22 -325.22
3 392.001 392.001 -607.999 -607.999
5 66.3497 66.3497 -933.65 -933.65
126 62.8727 62.8727 -937.127 -937.127
147 32.5564 32.5564 -967.444 -967.444
213 8.7902 8.7902 -991.21 -991.21
400 568.057 8.7902 -431.943 -991.21
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 27.3115 27.3115 331.511 331.511
3 17.9092 17.9092 322.109 322.109
149 15.5022 15.5022 319.702 319.702
244 2.89783 2.89783 307.098 307.098
400 359.73 2.89783 663.93 307.098
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 310.71 310.71 206.04 206.04
6 83.1956 83.1956 -21.4744 -21.4744
9 33.9697 33.9697 -70.7003 -70.7003
211 25.7241 25.7241 -78.9459 -78.9459
375 22.4913 22.4913 -82.1787 -82.1787
400 556.856 22.4913 452.186 -82.1787
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 333.198 333.198 820.148 820.148
6 51.1317 51.1317 538.082 538.082
10 25.3541 25.3541 512.304 512.304
50 10.6069 10.6069 497.557 497.557
400 623.527 10.6069 1110.48 497.557
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1150.7 1150.7 1247.25 1247.25
2 643.245 643.245 739.795 739.795
3 421.085 421.085 517.635 517.635
5 126.168 126.168 222.718 222.718
8 109.871 109.871 206.421 206.421
11 20.1482 20.1482 116.698 116.698
65 7.82249 7.82249 104.372 104.372
400 10.6222 7.82249 107.172 104.372
