"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 211.391 211.391 -250.699 -250.699
3 110.837 110.837 -351.253 -351.253
4 97.4944 97.4944 -364.596 -364.596
6 62.5872 62.5872 -399.503 -399.503
7 45.6634 45.6634 -416.427 -416.427
8 9.78795 9.78795 -452.302 -452.302
36 8.6575 8.6575 -453.432 -453.432
239 7.4207 7.4207 -454.669 -454.669
330 4.80241 4.80241 -457.288 -457.288
400 97.221 4.80241 -364.869 -457.288
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 109.204 109.204 186.864 186.864
2 47.2289 47.2289 124.889 124.889
5 20.646 20.646 98.306 98.306
18 14.7379 14.7379 92.3979 92.3979
31 8.51067 8.51067 86.1707 86.1707
173 5.67824 5.67824 83.3382 83.3382
255 3.59195 3.59195 81.2519 81.2519
400 249.607 3.59195 327.267 81.2519
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 42.2593 42.2593 157.939 157.939
2 18.2669 18.2669 133.947 133.947
3 3.4567 3.4567 119.137 119.137
125 2.06266 2.06266 117.743 117.743
400 998.38 2.06266 1114.06 117.743
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 930.826 930.826 927.116 927.116
3 99.9744 99.9744 96.2644 96.2644
5 48.171 48.171 44.461 44.461
7 10.8659 10.8659 7.15586 7.15586
11 10.8089 10.8089 7.0989 7.0989
365 5.78649 5.78649 2.07649 2.07649
400 137.719 5.78649 134.009 2.07649
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 96.9096 96.9096 229.09 229.09
2 35.6772 35.6772 167.857 167.857
9 32.0665 32.0665 164.247 164.247
22 15.6524 15.6524 147.832 147.832
23 10.2585 10.2585 142.438 142.438
400 77.1096 10.2585 209.29 142.438
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3952.11 3952.11 3367.38 3367.38
2 53.8352 53.8352 -530.895 -530.895
3 29.7702 29.7702 -554.96 -554.96
4 21.2626 21.2626 -563.467 -563.467
27 10.4001 10.4001 -574.33 -574.33
400 1198.39 10.4001 613.664 -574.33
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4106.86 4106.86 4070.32 4070.32
2 3176.47 3176.47 3139.93 3139.93
3 153.69 153.69 117.15 117.15
4 30.2247 30.2247 -6.31526 -6.31526
21 30.07 30.07 -6.46999 -6.46999
24 24.5271 24.5271 -12.0129 -12.0129
38 14.5897 14.5897 -21.9503 -21.9503
61 6.34595 6.34595 -30.194 -30.194
312 0.174645 0.174645 -36.3654 -36.3654
400 27.778 0.174645 -8.76201 -36.3654
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 45.0489 45.0489 1045.05 1045.05
11 35.7642 35.7642 1035.76 1035.76
17 25.5392 25.5392 1025.54 1025.54
29 18.7431 18.7431 1018.74 1018.74
47 18.5589 18.5589 1018.56 1018.56
64 13.9052 13.9052 1013.91 1013.91
74 1.05017 1.05017 1001.05 1001.05
400 34.995 1.05017 1034.99 1001.05
