"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 233.159 233.159 -228.931 -228.931
3 148.122 148.122 -313.968 -313.968
11 125.086 125.086 -337.004 -337.004
64 96.8351 96.8351 -365.255 -365.255
90 80.7948 80.7948 -381.295 -381.295
95 72.6065 72.6065 -389.484 -389.484
126 72.0746 72.0746 -390.015 -390.015
246 65.5351 65.5351 -396.555 -396.555
277 49.0872 49.0872 -413.003 -413.003
447 25.5547 25.5547 -436.535 -436.535
750 128.566 25.5547 -333.524 -436.535
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 533.835 533.835 611.495 611.495
6 285.955 285.955 363.615 363.615
13 74.158 74.158 151.818 151.818
286 33.5555 33.5555 111.215 111.215
750 504.211 33.5555 581.871 111.215
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1294.03 1294.03 1409.71 1409.71
2 194.149 194.149 309.829 309.829
12 133.713 133.713 249.393 249.393
51 102.344 102.344 218.024 218.024
88 74.6989 74.6989 190.379 190.379
221 61.8011 61.8011 177.481 177.481
402 37.3226 37.3226 153.003 153.003
750 5606.97 37.3226 5722.65 153.003
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 919.195 919.195 915.485 915.485
2 429.509 429.509 425.799 425.799
3 389.353 389.353 385.643 385.643
9 169.924 169.924 166.214 166.214
33 135.795 135.795 132.085 132.085
187 123.569 123.569 119.859 119.859
205 99.628 99.628 95.918 95.918
404 93.7081 93.7081 89.9981 89.9981
436 92.4244 92.4244 88.7144 88.7144
475 64.8814 64.8814 61.1714 61.1714
750 1282.36 64.8814 1278.65 61.1714
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 403.791 403.791 535.971 535.971
3 306.272 306.272 438.452 438.452
4 299.095 299.095 431.275 431.275
9 283.8 283.8 415.98 415.98
20 167.495 167.495 299.675 299.675
43 102.646 102.646 234.826 234.826
106 90.1173 90.1173 222.297 222.297
408 70.7043 70.7043 202.884 202.884
