"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 153.558 153.558 246.498 246.498
2 15.1051 15.1051 108.045 108.045
21 8.27454 8.27454 101.215 101.215
34 2.06863 2.06863 95.0086 95.0086
58 0.016835 0.016835 92.9568 92.9568
400 270.723 0.016835 363.663 92.9568
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 47.1898 47.1898 82.5398 82.5398
4 4.54052 4.54052 39.8905 39.8905
55 3.70889 3.70889 39.0589 39.0589
56 2.79209 2.79209 38.1421 38.1421
101 0.0971639 0.0971639 35.4472 35.4472
167 0.00383609 0.00383609 35.3538 35.3538
400 49.2095 0.00383609 84.5595 35.3538
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1427.7 1427.7 1431.52 1431.52
3 710.548 710.548 714.368 714.368
4 203.583 203.583 207.403 207.403
5 32.9253 32.9253 36.7453 36.7453
7 7.98704 7.98704 11.807 11.807
15 4.61061 4.61061 8.43061 8.43061
400 1887.88 4.61061 1891.7 8.43061
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 31.5293 31.5293 53.2793 53.2793
16 15.2565 15.2565 37.0065 37.0065
18 12.0984 12.0984 33.8484 33.8484
42 6.02102 6.02102 27.771 27.771
72 5.24829 5.24829 26.9983 26.9983
122 0.762982 0.762982 22.513 22.513
400 249.539 0.762982 271.289 22.513
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 251.14 251.14 315.93 315.93
4 2.52151 2.52151 67.3115 67.3115
15 1.97987 1.97987 66.7699 66.7699
63 0.630377 0.630377 65.4204 65.4204
165 0.0649363 0.0649363 64.8549 64.8549
400 343.442 0.0649363 408.232 64.8549
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 58.8025 58.8025 112.873 112.873
3 44.4354 44.4354 98.5054 98.5054
17 24.9747 24.9747 79.0447 79.0447
27 22.7205 22.7205 76.7905 76.7905
31 19.7251 19.7251 73.7951 73.7951
47 8.42928 8.42928 62.4993 62.4993
49 1.89973 1.89973 55.9697 55.9697
94 0.474932 0.474932 54.5449 54.5449
400 1257.51 0.474932 1311.58 54.5449
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 36.5348 36.5348 -54.9852 -54.9852
8 16.9924 16.9924 -74.5276 -74.5276
16 6.17878 6.17878 -85.3412 -85.3412
40 3.03537 3.03537 -88.4846 -88.4846
50 13.2488 3.03537 -78.2712 -88.4846
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4059.04 4059.04 4081.67 4081.67
2 1938.67 1938.67 1961.3 1961.3
4 412.352 412.352 434.982 434.982
5 6.43809 6.43809 29.0681 29.0681
15 1.20352 1.20352 23.8335 23.8335
400 164.732 1.20352 187.362 23.8335
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 673.55 673.55 689.09 689.09
