"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.13127e+06 1.13127e+06 1.13122e+06 1.13122e+06
2 453575 453575 453520 453520
5 255331 255331 255276 255276
26 164513 164513 164459 164459
28 88097.5 88097.5 88042.6 88042.6
33 16790.6 16790.6 16735.6 16735.6
450 2.74898e+06 16790.6 2.74892e+06 16735.6
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1171.38 1171.38 1230.51 1230.51
450 439968 1171.38 440027 1230.51
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 576698 576698 576207 576207
12 20185 20185 19693.5 19693.5
450 1.51376e+06 20185 1.51326e+06 19693.5
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.00633e+07 2.00633e+07 2.00631e+07 2.00631e+07
2 7.62947e+06 7.62947e+06 7.6293e+06 7.6293e+06
4 3.44997e+06 3.44997e+06 3.4498e+06 3.4498e+06
10 437204 437204 437034 437034
14 303678 303678 303508 303508
19 42769.1 42769.1 42598.9 42598.9
450 7.92566e+06 42769.1 7.92549e+06 42598.9
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.08033e+06 1.08033e+06 1.07986e+06 1.07986e+06
7 398788 398788 398319 398319
14 201628 201628 201159 201159
18 149014 149014 148544 148544
24 39419.4 39419.4 38949.6 38949.6
35 37606.2 37606.2 37136.4 37136.4
450 7.41401e+06 37606.2 7.41354e+06 37136.4
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.22716e+07 4.22716e+07 4.22716e+07 4.22716e+07
2 1.29006e+07 1.29006e+07 1.29006e+07 1.29006e+07
5 776951 776951 776939 776939
6 130561 130561 130548 130548
27 7.225 7.225 -5.575 -5.575
450 7.56198e+06 7.225 7.56196e+06 -5.575
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.1095e+06 4.1095e+06 4.10912e+06 4.10912e+06
2 7331.74 7331.74 6946.05 6946.05
12 179.784 179.784 -205.906 -205.906
35 24.1405 24.1405 -361.55 -361.55
450 1.93755e+06 24.1405 1.93716e+06 -361.55
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5.80381e+06 5.80381e+06 5.80385e+06 5.80385e+06
3 2.83208e+06 2.83208e+06 2.83212e+06 2.83212e+06
4 839053 839053 839093 839093
7 318548 318548 318588 318588
17 208434 208434 208474 208474
19 56620.2 56620.2 56660.2 56660.2
450 7.15408e+06 56620.2 7.15412e+06 56660.2
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.84571e+06 9.84571e+06 9.84583e+06 9.84583e+06
2 8.14607e+06 8.14607e+06 8.14618e+06 8.14618e+06
3 2.09543e+06 2.09543e+06 2.09555e+06 2.09555e+06
6 379609 379609 379723 379723
11 96667.4 96667.4 96781.7 96781.7
12 73005.2 73005.2 73119.5 73119.5
23 49078.7 49078.7 49192.9 49192.9
25 43726.6 43726.6 43840.9 43840.9
32 1266.05 1266.05 1380.31 1380.31
450 1.47467e+06 1266.05 1.47479e+06 1380.31
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.1085e+07 2.1085e+07 2.1085e+07 2.1085e+07
