"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 329.179 329.179 312.239 312.239
3 95.972 95.972 79.032 79.032
13 89.6877 89.6877 72.7477 72.7477
2050 109.521 89.6877 92.5815 72.7477
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 292.814 292.814 311.624 311.624
2 146.876 146.876 165.686 165.686
4 108.98 108.98 127.79 127.79
7 80.8797 80.8797 99.6897 99.6897
101 57.2756 57.2756 76.0856 76.0856
2050 57.2756 57.2756 76.0856 76.0856
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 408.734 408.734 681.884 681.884
2 222.243 222.243 495.393 495.393
10 192.909 192.909 466.059 466.059
14 187.944 187.944 461.094 461.094
25 141.039 141.039 414.189 414.189
31 126.086 126.086 399.236 399.236
45 98.158 98.158 371.308 371.308
50 95.6899 95.6899 368.84 368.84
2050 165.834 95.6899 438.984 368.84
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 68.2991 68.2991 105.479 105.479
23 45.0198 45.0198 82.1998 82.1998
2050 55.4909 45.0198 92.6709 82.1998
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 87.4478 87.4478 -60.4522 -60.4522
5 66.3325 66.3325 -81.5675 -81.5675
21 56.9339 56.9339 -90.9661 -90.9661
22 43.7539 43.7539 -104.146 -104.146
2050 52.9004 43.7539 -94.9996 -104.146
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 251.972 251.972 30.0818 30.0818
2 61.282 61.282 -160.608 -160.608
13 54.9634 54.9634 -166.927 -166.927
101 40.774 40.774 -181.116 -181.116
2050 40.774 40.774 -181.116 -181.116
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 66.3422 66.3422 185.882 185.882
15 51.4019 51.4019 170.942 170.942
20 46.7147 46.7147 166.255 166.255
101 37.5567 37.5567 157.097 157.097
2050 37.5567 37.5567 157.097 157.097
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 207.088 207.088 276.918 276.918
2 179.544 179.544 249.374 249.374
3 124.198 124.198 194.028 194.028
9 104.191 104.191 174.021 174.021
10 62.4617 62.4617 132.292 132.292
27 42.3982 42.3982 112.228 112.228
2050 47.1305 42.3982 116.96 112.228
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 129.758 129.758 129.828 129.828
2 97.8215 97.8215 97.8915 97.8915
3 64.6573 64.6573 64.7273 64.7273
101 51.7724 51.7724 51.8424 51.8424
2050 51.7724 51.7724 51.8424 51.8424
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1277.32 1277.32 1282.28 1282.28
2 210.518 210.518 215.478 215.478
9 179.099 179.099 184.059 184.059
14 137.032 137.032 141.992 141.992
16 79.8271 79.8271 84.7871 84.7871
34 72.3793 72.3793 77.3393 77.3393
2050 97.2107 72.3793 102.171 77.3393
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 127.547 127.547 319.847 319.847
8 126.251 126.251 318.551 318.551
10 123.895 123.895 316.195 316.195
18 61.7915 61.7915 254.091 254.091
24 59.2999 59.2999 251.6 251.6
101 56.3737 56.3737 248.674 248.674
2050 56.3737 56.3737 248.674 248.674
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 286.486 286.486 336.196 336.196
3 206.249 206.249 255.959 255.959
4 139.46 139.46 189.17 189.17
6 67.1389 67.1389 116.849 116.849
36 46.4649 46.4649 96.1749 96.1749
2050 65.282 46.4649 114.992 96.1749
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 68.2932 68.2932 273.413 273.413
34 67.3899 67.3899 272.51 272.51
44 56.5853 56.5853 261.705 261.705
101 54.1598 54.1598 259.28 259.28
501 54.1598 54.1598 259.28 259.28
2050 54.1598 54.1598 259.28 259.28
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 520.94 520.94 348.04 348.04
2 146.812 146.812 -26.088 -26.088
5 123.302 123.302 -49.5983 -49.5983
9 96.5525 96.5525 -76.3475 -76.3475
23 73.5545 73.5545 -99.3455 -99.3455
34 56.5823 56.5823 -116.318 -116.318
2050 68.4321 56.5823 -104.468 -116.318
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 160.424 160.424 -190.196 -190.196
2 98.5115 98.5115 -252.109 -252.109
5 94.8898 94.8898 -255.73 -255.73
8 60.736 60.736 -289.884 -289.884
2050 110.726 60.736 -239.894 -289.884
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
