"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 83.5367 83.5367 124.317 124.317
9 82.7891 82.7891 123.569 123.569
17 82.0198 82.0198 122.8 122.8
39 71.1768 71.1768 111.957 111.957
2050 82.0391 71.1768 122.819 111.957
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.4337 86.4337 84.8337 84.8337
2 84.5813 84.5813 82.9813 82.9813
3 80.9984 80.9984 79.3984 79.3984
32 76.9936 76.9936 75.3936 75.3936
2050 80.2347 76.9936 78.6347 75.3936
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.8943 85.8943 -284.946 -284.946
2 85.0239 85.0239 -285.816 -285.816
3 80.6497 80.6497 -290.19 -290.19
19 80.445 80.445 -290.395 -290.395
33 79.6113 79.6113 -291.229 -291.229
101 77.6934 77.6934 -293.147 -293.147
2050 77.6934 77.6934 -293.147 -293.147
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.2953 86.2953 53.7353 53.7353
2 85.9866 85.9866 53.4266 53.4266
4 85.085 85.085 52.525 52.525
9 73.5575 73.5575 40.9975 40.9975
2050 80.4983 73.5575 47.9383 40.9975
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 78.5297 78.5297 593.93 593.93
101 73.5766 73.5766 588.977 588.977
2050 73.5766 73.5766 588.977 588.977
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 84.4006 84.4006 1070.63 1070.63
4 82.8588 82.8588 1069.09 1069.09
13 82.3198 82.3198 1068.55 1068.55
15 81.2528 81.2528 1067.48 1067.48
16 74.6566 74.6566 1060.89 1060.89
33 74.4064 74.4064 1060.64 1060.64
2050 78.6867 74.4064 1064.92 1060.64
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 81.631 81.631 205.711 205.711
2 79.4689 79.4689 203.549 203.549
16 78.2826 78.2826 202.363 202.363
2050 79.4426 78.2826 203.523 202.363
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.239 85.239 -383.071 -383.071
2 81.3193 81.3193 -386.991 -386.991
20 80.2167 80.2167 -388.093 -388.093
27 78.4238 78.4238 -389.886 -389.886
44 77.8602 77.8602 -390.45 -390.45
101 77.1655 77.1655 -391.144 -391.144
2050 77.1655 77.1655 -391.144 -391.144
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.4998 85.4998 24.8798 24.8798
2 83.6868 83.6868 23.0668 23.0668
4 83.3301 83.3301 22.7101 22.7101
5 79.0085 79.0085 18.3885 18.3885
27 76.8858 76.8858 16.2658 16.2658
2050 77.8314 76.8858 17.2114 16.2658
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.1092 86.1092 372.569 372.569
3 84.7985 84.7985 371.259 371.259
5 83.4049 83.4049 369.865 369.865
10 82.9495 82.9495 369.41 369.41
16 78.5691 78.5691 365.029 365.029
901 78.5566 78.5566 365.017 365.017
2050 78.5566 78.5566 365.017 365.017
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.1568 86.1568 199.577 199.577
2 85.8986 85.8986 199.319 199.319
3 81.3387 81.3387 194.759 194.759
29 78.3425 78.3425 191.762 191.762
101 70.8134 70.8134 184.233 184.233
2050 70.8134 70.8134 184.233 184.233
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 83.2204 83.2204 -112.64 -112.64
20 80.7366 80.7366 -115.123 -115.123
27 78.338 78.338 -117.522 -117.522
2050 80.9426 78.338 -114.917 -117.522
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.9104 85.9104 80.1504 80.1504
2 85.8214 85.8214 80.0614 80.0614
3 84.9783 84.9783 79.2183 79.2183
7 84.4846 84.4846 78.7246 78.7246
10 79.1582 79.1582 73.3982 73.3982
101 78.6654 78.6654 72.9054 72.9054
2050 78.6654 78.6654 72.9054 72.9054
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 83.6769 83.6769 -414.973 -414.973
2 79.7652 79.7652 -418.885 -418.885
11 76.8772 76.8772 -421.773 -421.773
2050 80.2799 76.8772 -418.37 -421.773
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.1008 85.1008 42.2408 42.2408
3 84.561 84.561 41.701 41.701
6 79.1917 79.1917 36.3317 36.3317
16 75.8785 75.8785 33.0185 33.0185
2050 78.856 75.8785 35.996 33.0185
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 82.6015 82.6015 110.171 110.171
4 73.7625 73.7625 101.332 101.332
25 73.3868 73.3868 100.957 100.957
1701 73.376 73.376 100.946 100.946
2050 73.376 73.376 100.946 100.946
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 82.2585 82.2585 95.0285 95.0285
13 82.0762 82.0762 94.8462 94.8462
14 76.8701 76.8701 89.6401 89.6401
101 74.9871 74.9871 87.7571 87.7571
2050 74.9871 74.9871 87.7571 87.7571
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 81.638 81.638 -743.432 -743.432
20 81.5895 81.5895 -743.481 -743.481
37 81.0107 81.0107 -744.059 -744.059
101 77.1658 77.1658 -747.904 -747.904
2050 77.1658 77.1658 -747.904 -747.904
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.4907 77.4907 1077.49 1077.49
32 76.9172 76.9172 1076.92 1076.92
2050 79.5055 76.9172 1079.51 1076.92
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.8932 85.8932 -57.2268 -57.2268
2 83.368 83.368 -59.752 -59.752
6 80.9777 80.9777 -62.1423 -62.1423
10 78.5119 78.5119 -64.6081 -64.6081
2050 79.327 78.5119 -63.793 -64.6081
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.2881 77.2881 -137.302 -137.302
101 69.215 69.215 -145.375 -145.375
2050 69.215 69.215 -145.375 -145.375
