"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.89109 7.89109 -1.31891 -1.31891
42 5.15612 5.15612 -4.05388 -4.05388
450 52.7108 5.15612 43.5008 -4.05388
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.7521 77.7521 733.742 733.742
2 48.9585 48.9585 704.949 704.949
3 17.6955 17.6955 673.685 673.685
17 16.6479 16.6479 672.638 672.638
19 11.3757 11.3757 667.366 667.366
27 10.9261 10.9261 666.916 666.916
29 10.8556 10.8556 666.846 666.846
450 58.1877 10.8556 714.178 666.846
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 67.1479 67.1479 133.858 133.858
2 46.6054 46.6054 113.315 113.315
4 40.9587 40.9587 107.669 107.669
7 29.6199 29.6199 96.3299 96.3299
8 1.09056 1.09056 67.8006 67.8006
450 52.4508 1.09056 119.161 67.8006
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 32.8698 32.8698 974.54 974.54
4 14.0261 14.0261 955.696 955.696
11 2.84968 2.84968 944.52 944.52
450 55.5445 2.84968 997.215 944.52
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 61.4243 61.4243 23.9743 23.9743
4 44.2372 44.2372 6.78716 6.78716
6 33.6508 33.6508 -3.79915 -3.79915
14 12.7477 12.7477 -24.7023 -24.7023
21 11.4256 11.4256 -26.0244 -26.0244
31 5.75204 5.75204 -31.698 -31.698
450 56.3973 5.75204 18.9473 -31.698
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 69.1855 69.1855 359.806 359.806
2 13.6385 13.6385 304.259 304.259
18 9.52248 9.52248 300.142 300.142
450 55.1033 9.52248 345.723 300.142
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 88.8048 88.8048 -12.7252 -12.7252
2 45.1411 45.1411 -56.3889 -56.3889
9 38.7941 38.7941 -62.7359 -62.7359
14 8.43733 8.43733 -93.0927 -93.0927
41 2.58369 2.58369 -98.9463 -98.9463
450 54.8757 2.58369 -46.6543 -98.9463
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 44.6464 44.6464 346.616 346.616
3 41.7346 41.7346 343.705 343.705
9 26.8492 26.8492 328.819 328.819
11 20.4551 20.4551 322.425 322.425
16 7.89062 7.89062 309.861 309.861
42 5.78851 5.78851 307.759 307.759
450 60.4943 5.78851 362.464 307.759
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 42.1403 42.1403 -23.4697 -23.4697
4 18.1264 18.1264 -47.4836 -47.4836
450 59.2709 18.1264 -6.33906 -47.4836
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 75.2989 75.2989 39.6089 39.6089
3 73.9534 73.9534 38.2634 38.2634
4 43.5908 43.5908 7.90075 7.90075
10 42.6631 42.6631 6.9731 6.9731
12 31.8285 31.8285 -3.86153 -3.86153
15 29.6818 29.6818 -6.00822 -6.00822
17 15.2935 15.2935 -20.3965 -20.3965
27 8.70511 8.70511 -26.9849 -26.9849
45 4.12787 4.12787 -31.5621 -31.5621
450 52.4882 4.12787 16.7982 -31.5621
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 19.196 19.196 50.936 50.936
7 3.42932 3.42932 35.1693 35.1693
450 47.1764 3.42932 78.9164 35.1693
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 80.1222 80.1222 914.612 914.612
2 43.4929 43.4929 877.983 877.983
3 16.3757 16.3757 850.866 850.866
5 14.0532 14.0532 848.543 848.543
8 13.6135 13.6135 848.103 848.103
11 8.82915 8.82915 843.319 843.319
450 57.6511 8.82915 892.141 843.319
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22.587 22.587 64.177 64.177
8 16.8473 16.8473 58.4373 58.4373
9 6.8296 6.8296 48.4196 48.4196
450 50.025 6.8296 91.615 48.4196
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 79.4267 79.4267 179.847 179.847
4 12.1014 12.1014 112.521 112.521
14 7.00628 7.00628 107.426 107.426
450 49.8088 7.00628 150.229 107.426
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 43.8724 43.8724 36.3424 36.3424
2 19.4119 19.4119 11.8819 11.8819
12 14.0024 14.0024 6.47244 6.47244
21 8.98571 8.98571 1.45571 1.45571
