"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 611462 611462 611612 611612
2 268848 268848 268997 268997
22 246626 246626 246776 246776
26 214272 214272 214422 214422
27 191494 191494 191643 191643
32 130200 130200 130349 130349
101 42599.1 42599.1 42748.2 42748.2
2050 42599.1 42599.1 42748.2 42748.2
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.16753e+06 1.16753e+06 1.16653e+06 1.16653e+06
2 739559 739559 738559 738559
4 547844 547844 546844 546844
9 410802 410802 409802 409802
10 307667 307667 306667 306667
101 94269.4 94269.4 93269.4 93269.4
2050 94269.4 94269.4 93269.4 93269.4
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 679010 679010 679108 679108
2 90769.4 90769.4 90868.1 90868.1
101 90151.6 90151.6 90250.2 90250.2
501 90151.6 90151.6 90250.2 90250.2
901 90151.6 90151.6 90250.2 90250.2
1301 90151.6 90151.6 90250.2 90250.2
2050 90151.6 90151.6 90250.2 90250.2
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 747537 747537 747490 747490
2 447023 447023 446975 446975
27 415641 415641 415594 415594
28 375924 375924 375876 375876
32 301779 301779 301731 301731
47 273047 273047 273000 273000
48 272083 272083 272036 272036
101 71239.5 71239.5 71192.4 71192.4
2050 71239.5 71239.5 71192.4 71192.4
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 603734 603734 603771 603771
7 364153 364153 364191 364191
11 141099 141099 141137 141137
101 47590.6 47590.6 47628.1 47628.1
501 47590.6 47590.6 47628.1 47628.1
2050 47590.6 47590.6 47628.1 47628.1
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 746384 746384 745958 745958
4 713482 713482 713057 713057
6 497431 497431 497006 497006
12 359353 359353 358928 358928
23 353339 353339 352913 352913
24 319247 319247 318821 318821
31 157655 157655 157229 157229
101 77668.1 77668.1 77242.3 77242.3
501 77668.1 77668.1 77242.3 77242.3
2050 77668.1 77668.1 77242.3 77242.3
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 288548 288548 288327 288327
2 264390 264390 264169 264169
8 211569 211569 211348 211348
20 211170 211170 210950 210950
37 156815 156815 156594 156594
101 17645.2 17645.2 17424.3 17424.3
2050 17645.2 17645.2 17424.3 17424.3
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 787873 787873 787514 787514
2 737358 737358 736998 736998
5 587028 587028 586669 586669
11 418143 418143 417784 417784
33 397720 397720 397361 397361
35 375995 375995 375635 375635
43 232886 232886 232527 232527
101 112628 112628 112268 112268
2050 112628 112628 112268 112268
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 661079 661079 661106 661106
2 513153 513153 513181 513181
3 158800 158800 158827 158827
22 111649 111649 111677 111677
42 99206.5 99206.5 99234 99234
101 41680.9 41680.9 41708.4 41708.4
2050 41680.9 41680.9 41708.4 41708.4
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 551550 551550 551587 551587
2 275285 275285 275321 275321
18 256789 256789 256825 256825
48 213204 213204 213240 213240
101 73442.6 73442.6 73478.7 73478.7
2050 73442.6 73442.6 73478.7 73478.7
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 391975 391975 391917 391917
6 294872 294872 294814 294814
15 205400 205400 205342 205342
17 137222 137222 137164 137164
101 30782.2 30782.2 30724.3 30724.3
501 30782.2 30782.2 30724.3 30724.3
2050 30782.2 30782.2 30724.3 30724.3
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 242601 242601 242266 242266
14 184661 184661 184326 184326
47 120882 120882 120547 120547
101 14240.2 14240.2 13905.3 13905.3
501 14240.2 14240.2 13905.3 13905.3
2050 14240.2 14240.2 13905.3 13905.3
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 495098 495098 495051 495051
6 371653 371653 371607 371607
16 141260 141260 141213 141213
101 130255 130255 130208 130208
2050 130255 130255 130208 130208
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 639402 639402 639309 639309
4 549284 549284 549191 549191
12 308736 308736 308643 308643
19 195058 195058 194965 194965
24 169146 169146 169053 169053
41 95577.6 95577.6 95484.5 95484.5
101 40182.4 40182.4 40089.3 40089.3
501 40182.4 40182.4 40089.3 40089.3
901 40182.4 40182.4 40089.3 40089.3
2050 40182.4 40182.4 40089.3 40089.3
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.7075e+06 1.7075e+06 1.70754e+06 1.70754e+06
2 401428 401428 401470 401470
22 286945 286945 286987 286987
28 257120 257120 257161 257161
101 79799.6 79799.6 79841.2 79841.2
2050 79799.6 79799.6 79841.2 79841.2
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 537140 537140 536850 536850
4 513343 513343 513054 513054
13 323846 323846 323557 323557
14 291793 291793 291504 291504
101 94524.8 94524.8 94235.5 94235.5
2050 94524.8 94524.8 94235.5 94235.5
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.2069e+06 1.2069e+06 1.20708e+06 1.20708e+06
2 742898 742898 743084 743084
3 452882 452882 453069 453069
4 303116 303116 303303 303303
24 256711 256711 256898 256898
31 185978 185978 186165 186165
37 141027 141027 141214 141214
50 120118 120118 120305 120305
101 51260.3 51260.3 51447.2 51447.2
2050 51260.3 51260.3 51447.2 51447.2
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.26238e+06 1.26238e+06 1.26173e+06 1.26173e+06
2 847698 847698 847050 847050
3 587225 587225 586577 586577
5 523415 523415 522768 522768
