"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1623.69 1623.69 1747.52 1747.52
101 34.836 34.836 158.666 158.666
850 34.836 34.836 158.666 158.666
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 126037 126037 126084 126084
2 32077.8 32077.8 32125.3 32125.3
3 4675.92 4675.92 4723.43 4723.43
43 4162.85 4162.85 4210.36 4210.36
101 377.327 377.327 424.837 424.837
850 377.327 377.327 424.837 424.837
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 105310 105310 105366 105366
3 39934.7 39934.7 39990 39990
4 26521.3 26521.3 26576.7 26576.7
6 13231.1 13231.1 13286.5 13286.5
12 6250.89 6250.89 6306.23 6306.23
13 3095.38 3095.38 3150.72 3150.72
49 1652.66 1652.66 1708 1708
101 224.533 224.533 279.873 279.873
501 224.533 224.533 279.873 279.873
850 224.533 224.533 279.873 279.873
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 163122 163122 163032 163032
2 3421.1 3421.1 3330.77 3330.77
48 2441.39 2441.39 2351.06 2351.06
101 235.962 235.962 145.632 145.632
501 235.962 235.962 145.632 145.632
850 235.962 235.962 145.632 145.632
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 21353.2 21353.2 21418.8 21418.8
7 18646.1 18646.1 18711.7 18711.7
10 14840.2 14840.2 14905.8 14905.8
18 11112.7 11112.7 11178.3 11178.3
20 6988.87 6988.87 7054.48 7054.48
33 6076.96 6076.96 6142.57 6142.57
101 177.326 177.326 242.936 242.936
850 177.326 177.326 242.936 242.936
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10739.4 10739.4 10449.3 10449.3
2 7718.29 7718.29 7428.21 7428.21
3 3279.81 3279.81 2989.73 2989.73
101 178.14 178.14 -111.94 -111.94
850 178.14 178.14 -111.94 -111.94
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 72239.2 72239.2 72264.3 72264.3
3 18489.5 18489.5 18514.6 18514.6
7 5048.27 5048.27 5073.37 5073.37
38 1856.14 1856.14 1881.24 1881.24
101 237.35 237.35 262.45 262.45
850 237.35 237.35 262.45 262.45
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 123311 123311 123224 123224
2 74555.7 74555.7 74468.1 74468.1
3 37829.1 37829.1 37741.5 37741.5
4 24356.3 24356.3 24268.7 24268.7
9 10940 10940 10852.5 10852.5
17 1476.35 1476.35 1388.79 1388.79
101 12.5307 12.5307 -75.0293 -75.0293
501 12.5307 12.5307 -75.0293 -75.0293
850 12.5307 12.5307 -75.0293 -75.0293
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 44864.4 44864.4 44924.5 44924.5
2 21537.4 21537.4 21597.5 21597.5
3 18657.9 18657.9 18718 18718
4 2586.51 2586.51 2646.58 2646.58
101 182.107 182.107 242.177 242.177
850 182.107 182.107 242.177 242.177
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 274848 274848 274711 274711
2 114610 114610 114473 114473
3 5157.82 5157.82 5021.19 5021.19
15 3426.7 3426.7 3290.07 3290.07
16 2572.27 2572.27 2435.64 2435.64
101 193.318 193.318 56.6885 56.6885
501 193.318 193.318 56.6885 56.6885
850 193.318 193.318 56.6885 56.6885
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 69113.8 69113.8 69277.7 69277.7
2 7959.23 7959.23 8123.16 8123.16
11 433.845 433.845 597.775 597.775
101 24.1498 24.1498 188.08 188.08
850 24.1498 24.1498 188.08 188.08
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 109964 109964 109914 109914
3 68140.9 68140.9 68090.8 68090.8
7 4538.04 4538.04 4488.02 4488.02
12 1715.82 1715.82 1665.8 1665.8
29 975.153 975.153 925.133 925.133
30 578.218 578.218 528.198 528.198
101 419.174 419.174 369.154 369.154
850 419.174 419.174 369.154 369.154
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 26500.9 26500.9 27089.8 27089.8
2 5643.12 5643.12 6231.98 6231.98
16 4452.95 4452.95 5041.81 5041.81
101 223.883 223.883 812.743 812.743
501 223.883 223.883 812.743 812.743
850 223.883 223.883 812.743 812.743
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 112265 112265 112232 112232
2 2766.23 2766.23 2733.29 2733.29
101 73.2592 73.2592 40.3192 40.3192
850 73.2592 73.2592 40.3192 40.3192
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 34375.3 34375.3 34263.7 34263.7
5 14429.6 14429.6 14318 14318
13 1472.01 1472.01 1360.39 1360.39
32 1238.97 1238.97 1127.35 1127.35
101 60.9643 60.9643 -50.6557 -50.6557
850 60.9643 60.9643 -50.6557 -50.6557
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 219834 219834 220103 220103
2 146594 146594 146862 146862
4 120530 120530 120798 120798
5 61367.2 61367.2 61635.4 61635.4
6 11474.6 11474.6 11742.7 11742.7
17 10091.2 10091.2 10359.3 10359.3
26 8981.57 8981.57 9249.69 9249.69
37 8350.62 8350.62 8618.74 8618.74
49 7069.16 7069.16 7337.28 7337.28
101 251.102 251.102 519.222 519.222
501 251.102 251.102 519.222 519.222
850 251.102 251.102 519.222 519.222
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8096.46 8096.46 7917.35 7917.35
15 5637.51 5637.51 5458.4 5458.4
42 935.88 935.88 756.77 756.77
101 207.582 207.582 28.472 28.472
850 207.582 207.582 28.472 28.472
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 46913.7 46913.7 47181.5 47181.5
2 1612.12 1612.12 1879.9 1879.9
40 1340.55 1340.55 1608.33 1608.33
101 252.361 252.361 520.141 520.141
501 252.361 252.361 520.141 520.141
850 252.361 252.361 520.141 520.141
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 20608.4 20608.4 20577.3 20577.3
3 6847.38 6847.38 6816.31 6816.31
28 6229.97 6229.97 6198.9 6198.9
50 3333.62 3333.62 3302.55 3302.55
101 150.652 150.652 119.582 119.582
501 150.652 150.652 119.582 119.582
850 150.652 150.652 119.582 119.582
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 205873 205873 206146 206146
2 72950.6 72950.6 73223.4 73223.4
5 56743 56743 57015.8 57015.8
7 33274.6 33274.6 33547.4 33547.4
9 3822.54 3822.54 4095.34 4095.34
33 3571.32 3571.32 3844.12 3844.12
34 2200.56 2200.56 2473.36 2473.36
101 377.892 377.892 650.692 650.692
850 377.892 377.892 650.692 650.692
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 151834 151834 151853 151853
2 23193.9 23193.9 23213.4 23213.4
7 8031.71 8031.71 8051.15 8051.15
12 7994.63 7994.63 8014.07 8014.07
13 6154.78 6154.78 6174.22 6174.22
15 210.778 210.778 230.218 230.218
101 89.5964 89.5964 109.036 109.036
501 89.5964 89.5964 109.036 109.036
850 89.5964 89.5964 109.036 109.036
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10069.4 10069.4 9611.04 9611.04
13 6425.62 6425.62 5967.28 5967.28
25 4868.35 4868.35 4410.01 4410.01
44 3364.39 3364.39 2906.05 2906.05
101 96.1433 96.1433 -362.197 -362.197
850 96.1433 96.1433 -362.197 -362.197
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 35090.2 35090.2 35309 35309
2 2597.6 2597.6 2816.41 2816.41
25 591.566 591.566 810.376 810.376
101 71.1229 71.1229 289.933 289.933
850 71.1229 71.1229 289.933 289.933
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12902.5 12902.5 12741.2 12741.2
21 11417.4 11417.4 11256.1 11256.1
37 5887.64 5887.64 5726.33 5726.33
101 251.31 251.31 90.0002 90.0002
850 251.31 251.31 90.0002 90.0002
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5947.73 5947.73 4947.73 4947.73
5 3591.14 3591.14 2591.14 2591.14
11 361.739 361.739 -638.261 -638.261
101 134.369 134.369 -865.631 -865.631
850 134.369 134.369 -865.631 -865.631
