"DIM","funcId","best reached","mean reached","budget","worst recorded","worst reached"
2,1,4.2e-06,0.18,20050,86,2.1
2,2,0.0014,1500,20050,7.1e+07,44000
2,3,0.0023,6.4,20050,6900,26
2,4,0.045,7.1,20050,1400,24
2,5,-330,-35,20050,110,8
2,6,8.6e-05,8.4,20050,2e+06,1000
2,7,6.2e-09,1.1,20050,7300,12
2,8,0.00017,1.5,20050,6e+05,42
2,9,5.5e-05,0.77,20050,140000,22
2,10,0.025,1200,20050,7e+07,35000
2,11,0.043,1300,20050,7.5e+07,38000
2,12,0.023,8600,20050,9.4e+10,860000
2,13,0.053,11,20050,2200,70
2,14,4.7e-05,0.19,20050,540,1.5
2,15,0.0092,6.3,20050,8000,23
2,16,0.0057,0.93,20050,360,9.2
2,17,0.0043,1.1,20050,840,5
2,18,0.0089,4.3,20050,21000,34
2,19,4.9e-07,0.12,20050,330,2
2,20,0.0017,1.5,20050,2e+05,4.8
2,21,5.4e-10,0.2,20050,66,2.1
2,22,1.5e-08,0.22,20050,82,6.1
2,23,0.15,1.8,20050,78,5.2
2,24,0.13,3.5,20050,87,10
5,1,0.011,5.2,50050,160,19
5,2,90,32000,50050,6.7e+07,4e+05
5,3,4.1,50,50050,7200,110
5,4,7.9,61,50050,16000,170
5,5,-410,-8.9,50050,180,51
5,6,0.76,6400,50050,2400000,120000
5,7,0.093,33,50050,5500,170
5,8,3.5,700,50050,610000,7300
5,9,2.7,340,50050,350000,10000
5,10,100,33000,50050,9.7e+07,350000
5,11,6.3,680,50050,7.4e+07,13000
5,12,3200,Inf,50050,Inf,Inf
5,13,10,290,50050,3700,810
5,14,0.013,2.6,50050,1600,7.9
5,15,2.6,Inf,50050,Inf,Inf
5,16,1.3,7.9,50050,230,21
5,17,0.13,Inf,50050,Inf,Inf
5,18,0.47,Inf,50050,Inf,Inf
5,19,0.26,2.8,50050,230,11
5,20,0.86,220,50050,280000,4800
5,21,0.00013,6.1,50050,84,34
5,22,0.0059,10,50050,87,46
5,23,0.56,2.2,50050,42,5.4
5,24,8.2,32,50050,250,67
20,1,3.3,74,200050,450,170
20,2,31000,1600000,200050,7.7e+07,6700000
20,3,150,500,200050,8400,1400
20,4,180,550,200050,23000,1700
20,5,-99,180,200050,540,320
20,6,81,210000,200050,2900000,830000
20,7,29,480,200050,10000,1300
20,8,370,47000,200050,1500000,260000
20,9,150,15000,200050,2300000,160000
20,10,59000,1500000,200050,1.2e+08,8400000
20,11,59,1000,200050,6.8e+07,32000
20,12,3500000,Inf,200050,Inf,Inf
20,13,370,1500,200050,5800,2600
20,14,1.3,25,200050,1300,69
20,15,140,Inf,200050,Inf,Inf
20,16,16,29,200050,180,54
20,17,1.7,Inf,200050,Inf,Inf
20,18,6.7,Inf,200050,Inf,Inf
20,19,3.6,8.9,200050,150,29
20,20,3.2,14000,200050,430000,63000
20,21,2,58,200050,86,82
20,22,3.1,65,200050,87,85
20,23,1.9,4,200050,32,8
20,24,140,280,200050,1200,610
