"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.81259e+07 1.81259e+07 1.81259e+07 1.81259e+07
2 1.25711e+07 1.25711e+07 1.2571e+07 1.2571e+07
5 1.18953e+07 1.18953e+07 1.18952e+07 1.18952e+07
6 1.03967e+07 1.03967e+07 1.03966e+07 1.03966e+07
7 4.91652e+06 4.91652e+06 4.91647e+06 4.91647e+06
11 3.22929e+06 3.22929e+06 3.22924e+06 3.22924e+06
120 2.30471e+06 2.30471e+06 2.30466e+06 2.30466e+06
445 2.11568e+06 2.11568e+06 2.11562e+06 2.11562e+06
200050 3.78732e+12 2.11568e+06 3.78732e+12 2.11562e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.13316e+07 3.13316e+07 3.13316e+07 3.13316e+07
2 1.71357e+07 1.71357e+07 1.71357e+07 1.71357e+07
4 1.02341e+07 1.02341e+07 1.02342e+07 1.02342e+07
5 7.67712e+06 7.67712e+06 7.67718e+06 7.67718e+06
14 6.87089e+06 6.87089e+06 6.87094e+06 6.87094e+06
26 5.89838e+06 5.89838e+06 5.89843e+06 5.89843e+06
31 3.66161e+06 3.66161e+06 3.66167e+06 3.66167e+06
111 3.28067e+06 3.28067e+06 3.28073e+06 3.28073e+06
143 3.12122e+06 3.12122e+06 3.12128e+06 3.12128e+06
151 2.46662e+06 2.46662e+06 2.46668e+06 2.46668e+06
210 2.08712e+06 2.08712e+06 2.08718e+06 2.08718e+06
220 1.81253e+06 1.81253e+06 1.81259e+06 1.81259e+06
200050 2.15857e+12 1.81253e+06 2.15857e+12 1.81259e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.33809e+06 4.33809e+06 4.3376e+06 4.3376e+06
37 4.05763e+06 4.05763e+06 4.05714e+06 4.05714e+06
41 2.18617e+06 2.18617e+06 2.18568e+06 2.18568e+06
129 1.60248e+06 1.60248e+06 1.60199e+06 1.60199e+06
400 1.16711e+06 1.16711e+06 1.16662e+06 1.16662e+06
200050 7.32836e+11 1.16711e+06 7.32836e+11 1.16662e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.6593e+07 1.6593e+07 1.65928e+07 1.65928e+07
3 8.50536e+06 8.50536e+06 8.50519e+06 8.50519e+06
8 4.09801e+06 4.09801e+06 4.09784e+06 4.09784e+06
12 3.26183e+06 3.26183e+06 3.26166e+06 3.26166e+06
48 1.65564e+06 1.65564e+06 1.65547e+06 1.65547e+06
172 684069 684069 683899 683899
200050 3.02082e+12 684069 3.02082e+12 683899
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.36501e+07 2.36501e+07 2.36496e+07 2.36496e+07
2 7.73802e+06 7.73802e+06 7.73755e+06 7.73755e+06
17 5.95946e+06 5.95946e+06 5.95899e+06 5.95899e+06
20 3.89593e+06 3.89593e+06 3.89546e+06 3.89546e+06
37 3.43452e+06 3.43452e+06 3.43405e+06 3.43405e+06
104 3.42392e+06 3.42392e+06 3.42345e+06 3.42345e+06
183 3.00753e+06 3.00753e+06 3.00706e+06 3.00706e+06
224 2.13962e+06 2.13962e+06 2.13915e+06 2.13915e+06
200050 1.10039e+12 2.13962e+06 1.10039e+12 2.13915e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.76846e+06 9.76846e+06 9.76845e+06 9.76845e+06
2 2.7964e+06 2.7964e+06 2.79638e+06 2.79638e+06
123 1.8828e+06 1.8828e+06 1.88279e+06 1.88279e+06
169 1.51192e+06 1.51192e+06 1.51191e+06 1.51191e+06
200050 2.96078e+12 1.51192e+06 2.96078e+12 1.51191e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.94072e+07 3.94072e+07 3.94068e+07 3.94068e+07
2 7.5019e+06 7.5019e+06 7.50152e+06 7.50152e+06
4 2.13262e+06 2.13262e+06 2.13223e+06 2.13223e+06
204 1.90661e+06 1.90661e+06 1.90623e+06 1.90623e+06
244 1.85461e+06 1.85461e+06 1.85423e+06 1.85423e+06
267 1.4801e+06 1.4801e+06 1.47972e+06 1.47972e+06
200050 1.59348e+12 1.4801e+06 1.59348e+12 1.47972e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5.75128e+06 5.75128e+06 5.75132e+06 5.75132e+06
4 1.63449e+06 1.63449e+06 1.63453e+06 1.63453e+06
222 1.61935e+06 1.61935e+06 1.61939e+06 1.61939e+06
230 590363 590363 590403 590403
200050 4.26718e+12 590363 4.26718e+12 590403
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.38071e+07 2.38071e+07 2.38073e+07 2.38073e+07
2 1.68355e+07 1.68355e+07 1.68356e+07 1.68356e+07
5 1.07459e+07 1.07459e+07 1.0746e+07 1.0746e+07
11 8.14692e+06 8.14692e+06 8.14703e+06 8.14703e+06
13 4.70341e+06 4.70341e+06 4.70353e+06 4.70353e+06
14 1.34465e+06 1.34465e+06 1.34476e+06 1.34476e+06
143 1.34083e+06 1.34083e+06 1.34094e+06 1.34094e+06
155 582622 582622 582736 582736
200050 3.13917e+12 582622 3.13917e+12 582736
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.86099e+07 1.86099e+07 1.861e+07 1.861e+07
3 1.40197e+07 1.40197e+07 1.40198e+07 1.40198e+07
7 6.22015e+06 6.22015e+06 6.22016e+06 6.22016e+06
13 5.99131e+06 5.99131e+06 5.99133e+06 5.99133e+06
15 3.5823e+06 3.5823e+06 3.58232e+06 3.58232e+06
40 1.99592e+06 1.99592e+06 1.99594e+06 1.99594e+06
151 1.52281e+06 1.52281e+06 1.52283e+06 1.52283e+06
292 729182 729182 729196 729196
200050 5.64131e+12 729182 5.64131e+12 729196
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.46616e+07 2.46616e+07 2.46615e+07 2.46615e+07
2 6.99128e+06 6.99128e+06 6.99124e+06 6.99124e+06
4 6.07369e+06 6.07369e+06 6.07366e+06 6.07366e+06
26 3.6916e+06 3.6916e+06 3.69156e+06 3.69156e+06
42 2.49373e+06 2.49373e+06 2.4937e+06 2.4937e+06
185 2.33016e+06 2.33016e+06 2.33012e+06 2.33012e+06
263 1.18444e+06 1.18444e+06 1.1844e+06 1.1844e+06
200050 4.88429e+12 1.18444e+06 4.88429e+12 1.1844e+06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.33757e+07 1.33757e+07 1.33758e+07 1.33758e+07
3 5.63046e+06 5.63046e+06 5.63052e+06 5.63052e+06
12 4.10772e+06 4.10772e+06 4.10778e+06 4.10778e+06
24 3.28993e+06 3.28993e+06 3.28998e+06 3.28998e+06
29 992710 992710 992764 992764
274 814595 814595 814649 814649
200050 2.58984e+12 814595 2.58984e+12 814649
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.16479e+07 2.16479e+07 2.16479e+07 2.16479e+07
4 4.77483e+06 4.77483e+06 4.77487e+06 4.77487e+06
8 4.58809e+06 4.58809e+06 4.58813e+06 4.58813e+06
13 4.10218e+06 4.10218e+06 4.10222e+06 4.10222e+06
27 3.67104e+06 3.67104e+06 3.67108e+06 3.67108e+06
30 3.60185e+06 3.60185e+06 3.60189e+06 3.60189e+06
34 3.30817e+06 3.30817e+06 3.30821e+06 3.30821e+06
114 2.01945e+06 2.01945e+06 2.01949e+06 2.01949e+06
127 2.01258e+06 2.01258e+06 2.01262e+06 2.01262e+06
141 1.60073e+06 1.60073e+06 1.60077e+06 1.60077e+06
206 748376 748376 748416 748416
200050 6.88582e+12 748376 6.88582e+12 748416
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
