"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 63.8745 63.8745 11.5245 11.5245
7 13.3811 13.3811 -38.9689 -38.9689
9 11.136 11.136 -41.214 -41.214
10 9.39741 9.39741 -42.9526 -42.9526
11 8.97631 8.97631 -43.3737 -43.3737
15 5.06361 5.06361 -47.2864 -47.2864
114 4.67827 4.67827 -47.6717 -47.6717
153 2.88385 2.88385 -49.4662 -49.4662
249 1.06518 1.06518 -51.2848 -51.2848
50050 5.42282e+07 1.06518 5.42281e+07 -51.2848
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 171.57 171.57 -7.97047 -7.97047
2 37.8822 37.8822 -141.658 -141.658
7 28.8674 28.8674 -150.673 -150.673
9 2.95905 2.95905 -176.581 -176.581
50050 3.79426e+08 2.95905 3.79426e+08 -176.581
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 91.7985 91.7985 169.109 169.109
2 23.3241 23.3241 100.634 100.634
3 23.1367 23.1367 100.447 100.447
9 18.497 18.497 95.807 95.807
15 14.3502 14.3502 91.6602 91.6602
18 5.90917 5.90917 83.2192 83.2192
40 5.42376 5.42376 82.7338 82.7338
125 3.76117 3.76117 81.0712 81.0712
158 3.57063 3.57063 80.8806 80.8806
168 2.70847 2.70847 80.0185 80.0185
207 1.91309 1.91309 79.2231 79.2231
327 1.12054 1.12054 78.4305 78.4305
50050 4.84838e+06 1.12054 4.84846e+06 78.4305
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 24.2596 24.2596 64.1796 64.1796
2 12.9878 12.9878 52.9078 52.9078
4 5.9022 5.9022 45.8222 45.8222
129 5.22837 5.22837 45.1484 45.1484
140 3.62906 3.62906 43.5491 43.5491
50050 7.98179e+06 3.62906 7.98183e+06 43.5491
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 83.1326 83.1326 26.5226 26.5226
4 36.3724 36.3724 -20.2376 -20.2376
5 32.6807 32.6807 -23.9293 -23.9293
15 9.85069 9.85069 -46.7593 -46.7593
23 9.33595 9.33595 -47.274 -47.274
34 2.41096 2.41096 -54.199 -54.199
50050 2.80631e+06 2.41096 2.80625e+06 -54.199
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.99827 9.99827 61.3383 61.3383
2 5.94005 5.94005 57.2801 57.2801
20 4.45644 4.45644 55.7964 55.7964
105 2.10009 2.10009 53.4401 53.4401
279 2.026 2.026 53.366 53.366
50050 1.84742e+07 2.026 1.84743e+07 53.366
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 143.913 143.913 19.5125 19.5125
2 31.863 31.863 -92.537 -92.537
3 19.0993 19.0993 -105.301 -105.301
23 16.9042 16.9042 -107.496 -107.496
24 5.47012 5.47012 -118.93 -118.93
106 5.26367 5.26367 -119.136 -119.136
138 3.92073 3.92073 -120.479 -120.479
147 2.6331 2.6331 -121.767 -121.767
240 1.35684 1.35684 -123.043 -123.043
50050 1.04416e+08 1.35684 1.04416e+08 -123.043
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22.8249 22.8249 23.4249 23.4249
7 10.2671 10.2671 10.8671 10.8671
10 5.22045 5.22045 5.82045 5.82045
13 3.75 3.75 4.35 4.35
349 3.15228 3.15228 3.75228 3.75228
50050 1.72688e+08 3.15228 1.72688e+08 3.75228
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 14.3145 14.3145 -26.3955 -26.3955
12 7.69723 7.69723 -33.0128 -33.0128
28 6.22433 6.22433 -34.4857 -34.4857
42 4.99235 4.99235 -35.7177 -35.7177
113 4.41606 4.41606 -36.2939 -36.2939
202 4.24683 4.24683 -36.4632 -36.4632
214 3.7545 3.7545 -36.9555 -36.9555
257 2.97691 2.97691 -37.7331 -37.7331
293 1.43094 1.43094 -39.2791 -39.2791
50050 1.1022e+08 1.43094 1.1022e+08 -39.2791
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 26.1929 26.1929 840.513 840.513
10 20.0065 20.0065 834.326 834.326
15 7.09339 7.09339 821.413 821.413
117 6.17305 6.17305 820.493 820.493
191 4.30083 4.30083 818.621 818.621
233 3.24368 3.24368 817.564 817.564
50050 4.67711e+06 3.24368 4.67793e+06 817.564
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.0633 15.0633 -46.9867 -46.9867
4 11.0939 11.0939 -50.9561 -50.9561
10 4.02568 4.02568 -58.0243 -58.0243
125 2.96916 2.96916 -59.0808 -59.0808
140 0.739844 0.739844 -61.3102 -61.3102
50050 1.51142e+07 0.739844 1.51141e+07 -61.3102
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 181.754 181.754 138.474 138.474
2 106.088 106.088 62.808 62.808
3 4.94432 4.94432 -38.3357 -38.3357
148 3.23255 3.23255 -40.0475 -40.0475
50050 8.3276e+07 3.23255 8.32759e+07 -40.0475
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 31.319 31.319 -7.84098 -7.84098
3 24.8734 24.8734 -14.2866 -14.2866
10 18.2018 18.2018 -20.9582 -20.9582
13 8.93434 8.93434 -30.2257 -30.2257
27 5.79262 5.79262 -33.3674 -33.3674
29 4.99787 4.99787 -34.1621 -34.1621
50050 9.17887e+06 4.99787 9.17883e+06 -34.1621
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 34.3283 34.3283 -138.952 -138.952
4 33.0672 33.0672 -140.213 -140.213
6 28.872 28.872 -144.408 -144.408
9 17.6796 17.6796 -155.6 -155.6
14 15.9989 15.9989 -157.281 -157.281
24 7.20518 7.20518 -166.075 -166.075
25 5.24782 5.24782 -168.032 -168.032
139 1.23841 1.23841 -172.042 -172.042
50050 3.03212e+08 1.23841 3.03211e+08 -172.042
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 20.6796 20.6796 10.5096 10.5096
3 17.1462 17.1462 6.97617 6.97617
6 15.2716 15.2716 5.10164 5.10164
16 14.2661 14.2661 4.0961 4.0961
19 11.1258 11.1258 0.955815 0.955815
29 7.82123 7.82123 -2.34877 -2.34877
42 7.68173 7.68173 -2.48827 -2.48827
113 7.10628 7.10628 -3.06372 -3.06372
150 5.61031 5.61031 -4.55969 -4.55969
156 3.6897 3.6897 -6.4803 -6.4803
219 3.38717 3.38717 -6.78283 -6.78283
275 3.24565 3.24565 -6.92435 -6.92435
50050 8.09747e+06 3.24565 8.09746e+06 -6.92435
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 236.143 236.143 215.613 215.613
3 192.28 192.28 171.75 171.75
4 136.882 136.882 116.352 116.352
5 101.371 101.371 80.8415 80.8415
8 88.8134 88.8134 68.2834 68.2834
9 68.6025 68.6025 48.0725 48.0725
10 2.80863 2.80863 -17.7214 -17.7214
312 2.4756 2.4756 -18.0544 -18.0544
376 1.03892 1.03892 -19.4911 -19.4911
50050 5.87663e+07 1.03892 5.87662e+07 -19.4911
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 38.7729 38.7729 44.8029 44.8029
8 34.6634 34.6634 40.6934 40.6934
9 31.0343 31.0343 37.0643 37.0643
16 27.0549 27.0549 33.0849 33.0849
23 6.53809 6.53809 12.5681 12.5681
47 6.40453 6.40453 12.4345 12.4345
256 6.11738 6.11738 12.1474 12.1474
269 3.82304 3.82304 9.85304 9.85304
408 3.2539 3.2539 9.2839 9.2839
50050 4.12593e+07 3.2539 4.12593e+07 9.2839
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.0497 15.0497 417.76 417.76
5 4.10306 4.10306 406.813 406.813
22 4.00588 4.00588 406.716 406.716
325 1.73943 1.73943 404.449 404.449
50050 8.78171e+07 1.73943 8.78175e+07 404.449
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 69.0953 69.0953 100.885 100.885
3 44.493 44.493 76.283 76.283
13 16.0383 16.0383 47.8283 47.8283
20 14.6174 14.6174 46.4074 46.4074
24 13.6588 13.6588 45.4488 45.4488
33 10.8894 10.8894 42.6794 42.6794
35 3.82521 3.82521 35.6152 35.6152
50050 4.71233e+07 3.82521 4.71233e+07 35.6152
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 16.9229 16.9229 19.6829 19.6829
2 8.99832 8.99832 11.7583 11.7583
11 4.84472 4.84472 7.60472 7.60472
112 2.80243 2.80243 5.56243 5.56243
118 1.37277 1.37277 4.13277 4.13277
364 1.21276 1.21276 3.97276 3.97276
399 1.06493 1.06493 3.82493 3.82493
50050 1.55715e+06 1.06493 1.55716e+06 3.82493
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 33.5068 33.5068 49.7068 49.7068
2 10.4471 10.4471 26.6471 26.6471
37 4.91688 4.91688 21.1169 21.1169
126 2.89374 2.89374 19.0937 19.0937
180 2.58553 2.58553 18.7855 18.7855
313 2.54274 2.54274 18.7427 18.7427
408 1.38143 1.38143 17.5814 17.5814
50050 3.03087e+08 1.38143 3.03087e+08 17.5814
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22.6204 22.6204 -30.6496 -30.6496
4 22.1172 22.1172 -31.1528 -31.1528
15 7.14236 7.14236 -46.1276 -46.1276
37 6.78869 6.78869 -46.4813 -46.4813
112 6.17778 6.17778 -47.0922 -47.0922
120 6.02612 6.02612 -47.2439 -47.2439
156 5.80968 5.80968 -47.4603 -47.4603
158 4.25045 4.25045 -49.0196 -49.0196
160 2.20893 2.20893 -51.0611 -51.0611
195 1.53864 1.53864 -51.7314 -51.7314
848 0.716323 0.716323 -52.5537 -52.5537
50050 3.01041e+07 0.716323 3.0104e+07 -52.5537
