"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 64.2334 64.2334 1064.23 1064.23
2 6.39562 6.39562 1006.4 1006.4
190 5.17215 5.17215 1005.17 1005.17
397 4.9193 4.9193 1004.92 1004.92
20050 8.6235e+19 4.9193 8.6235e+19 1004.92
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 162.603 162.603 232.633 232.633
4 131.238 131.238 201.268 201.268
7 13.725 13.725 83.755 83.755
137 8.11301 8.11301 78.143 78.143
212 5.13662 5.13662 75.1666 75.1666
261 1.28927 1.28927 71.3193 71.3193
20050 9.51695e+18 1.28927 9.51695e+18 71.3193
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 631.975 631.975 583.755 583.755
3 37.4831 37.4831 -10.7369 -10.7369
6 13.8436 13.8436 -34.3764 -34.3764
38 13.1721 13.1721 -35.0479 -35.0479
47 8.35217 8.35217 -39.8678 -39.8678
170 7.1491 7.1491 -41.0709 -41.0709
376 2.23238 2.23238 -45.9876 -45.9876
20050 3.01228e+22 2.23238 3.01228e+22 -45.9876
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 50.8794 50.8794 76.3494 76.3494
3 7.83501 7.83501 33.305 33.305
20050 966371 7.83501 966396 33.305
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 114.906 114.906 14.0956 14.0956
5 57.2698 57.2698 -43.5402 -43.5402
6 47.2544 47.2544 -53.5556 -53.5556
10 24.4521 24.4521 -76.3579 -76.3579
40 24.1752 24.1752 -76.6348 -76.6348
101 19.5461 19.5461 -81.2639 -81.2639
109 12.0838 12.0838 -88.7262 -88.7262
140 11.0183 11.0183 -89.7917 -89.7917
160 8.074 8.074 -92.736 -92.736
288 5.03452 5.03452 -95.7755 -95.7755
772 0.766506 0.766506 -100.043 -100.043
20050 3.02319e+14 0.766506 3.02319e+14 -100.043
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 370.43 370.43 453.76 453.76
2 78.5432 78.5432 161.873 161.873
5 66.744 66.744 150.074 150.074
7 60.2916 60.2916 143.622 143.622
14 39.9165 39.9165 123.246 123.246
20 34.2353 34.2353 117.565 117.565
38 24.1671 24.1671 107.497 107.497
102 21.1636 21.1636 104.494 104.494
147 10.9786 10.9786 94.3086 94.3086
171 10.5676 10.5676 93.8976 93.8976
338 10.2349 10.2349 93.5649 93.5649
357 9.49724 9.49724 92.8272 92.8272
20050 478880 9.49724 478964 92.8272
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 130.9 130.9 339.46 339.46
2 80.8363 80.8363 289.396 289.396
3 63.8215 63.8215 272.381 272.381
8 50.7133 50.7133 259.273 259.273
13 39.7872 39.7872 248.347 248.347
17 26.0214 26.0214 234.581 234.581
31 20.2743 20.2743 228.834 228.834
212 7.257 7.257 215.817 215.817
306 3.9311 3.9311 212.491 212.491
325 0.580768 0.580768 209.141 209.141
20050 1.45299e+06 0.580768 1.4532e+06 209.141
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 718.455 718.455 583.875 583.875
2 67.0726 67.0726 -67.5074 -67.5074
3 30.5231 30.5231 -104.057 -104.057
7 19.8296 19.8296 -114.75 -114.75
44 14.9989 14.9989 -119.581 -119.581
118 12.5691 12.5691 -122.011 -122.011
129 11.221 11.221 -123.359 -123.359
163 8.6554 8.6554 -125.925 -125.925
335 6.16972 6.16972 -128.41 -128.41
20050 1.0457e+19 6.16972 1.0457e+19 -128.41
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 486.314 486.314 606.904 606.904
2 73.152 73.152 193.742 193.742
5 36.0753 36.0753 156.665 156.665
10 27.4816 27.4816 148.072 148.072
16 22.2658 22.2658 142.856 142.856
149 10.2268 10.2268 130.817 130.817
20050 1.16171e+21 10.2268 1.16171e+21 130.817
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 177.466 177.466 1177.47 1177.47
2 111.353 111.353 1111.35 1111.35
3 105.457 105.457 1105.46 1105.46
8 46.1641 46.1641 1046.16 1046.16
14 38.3162 38.3162 1038.32 1038.32
19 24.797 24.797 1024.8 1024.8
23 14.0695 14.0695 1014.07 1014.07
32 10.9952 10.9952 1011 1011
427 4.4794 4.4794 1004.48 1004.48
20050 491009 4.4794 492009 1004.48
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1569.24 1569.24 1477.58 1477.58
3 34.403 34.403 -57.257 -57.257
12 34.0819 34.0819 -57.5781 -57.5781
111 26.0218 26.0218 -65.6382 -65.6382
176 21.3475 21.3475 -70.3125 -70.3125
279 11.8003 11.8003 -79.8597 -79.8597
380 7.54175 7.54175 -84.1183 -84.1183
20050 1.47434e+18 7.54175 1.47434e+18 -84.1183
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1959.06 1959.06 2555.21 2555.21
2 350.394 350.394 946.544 946.544
3 171.301 171.301 767.451 767.451
14 70.8696 70.8696 667.02 667.02
17 28.4272 28.4272 624.577 624.577
23 17.2302 17.2302 613.38 613.38
117 16.529 16.529 612.679 612.679
346 15.9653 15.9653 612.115 612.115
20050 1.0142e+20 15.9653 1.0142e+20 612.115
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 74.9355 74.9355 207.445 207.445
4 67.8 67.8 200.31 200.31
10 67.3098 67.3098 199.82 199.82
11 50.856 50.856 183.366 183.366
12 34.2788 34.2788 166.789 166.789
13 21.383 21.383 153.893 153.893
16 14.6649 14.6649 147.175 147.175
133 5.67661 5.67661 138.187 138.187
20050 1.98246e+12 5.67661 1.98246e+12 138.187
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 197.32 197.32 -42.8597 -42.8597
4 128.101 128.101 -112.079 -112.079
7 52.8308 52.8308 -187.349 -187.349
16 39.3321 39.3321 -200.848 -200.848
27 21.7667 21.7667 -218.413 -218.413
49 4.25831 4.25831 -235.922 -235.922
20050 1.43305e+13 4.25831 1.43305e+13 -235.922
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 199.785 199.785 -194.375 -194.375
2 108.175 108.175 -285.985 -285.985
3 9.09209 9.09209 -385.068 -385.068
302 7.84799 7.84799 -386.312 -386.312
20050 513704 7.84799 513309 -386.312
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3300.4 3300.4 3542.35 3542.35
2 66.7724 66.7724 308.722 308.722
3 32.0205 32.0205 273.971 273.971
7 30.8949 30.8949 272.845 272.845
10 12.5935 12.5935 254.544 254.544
103 11.1119 11.1119 253.062 253.062
162 3.35427 3.35427 245.304 245.304
20050 3.07002e+17 3.35427 3.07002e+17 245.304
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 348.045 348.045 514.145 514.145
2 116.951 116.951 283.051 283.051
4 47.0496 47.0496 213.15 213.15
6 20.1266 20.1266 186.227 186.227
147 15.9554 15.9554 182.055 182.055
263 10.9963 10.9963 177.096 177.096
20050 1.72564e+19 10.9963 1.72564e+19 177.096
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 256.826 256.826 97.436 97.436
3 65.3698 65.3698 -94.0202 -94.0202
4 50.6995 50.6995 -108.691 -108.691
5 28.8254 28.8254 -130.565 -130.565
12 22.0176 22.0176 -137.372 -137.372
15 19.1319 19.1319 -140.258 -140.258
131 8.81231 8.81231 -150.578 -150.578
317 7.90825 7.90825 -151.482 -151.482
20050 536242 7.90825 536083 -151.482
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 195.986 195.986 369.516 369.516
3 40.5879 40.5879 214.118 214.118
4 15.9179 15.9179 189.448 189.448
17 6.71222 6.71222 180.242 180.242
1176 5.11436 5.11436 178.644 178.644
20050 5.63214e+15 5.11436 5.63214e+15 178.644
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 58.1533 58.1533 -157.537 -157.537
2 31.5494 31.5494 -184.141 -184.141
11 20.6484 20.6484 -195.042 -195.042
13 16.0213 16.0213 -199.669 -199.669
120 14.629 14.629 -201.061 -201.061
132 12.9153 12.9153 -202.775 -202.775
159 10.8816 10.8816 -204.808 -204.808
174 5.91618 5.91618 -209.774 -209.774
278 2.57024 2.57024 -213.12 -213.12
772 2.13831 2.13831 -213.552 -213.552
990 2.13323 2.13323 -213.557 -213.557
20050 2.32072e+17 2.13323 2.32072e+17 -213.557
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 40.4623 40.4623 159.862 159.862
6 35.5791 35.5791 154.979 154.979
13 22.3425 22.3425 141.743 141.743
32 20.6545 20.6545 140.054 140.054
123 8.15525 8.15525 127.555 127.555
158 6.88817 6.88817 126.288 126.288
1193 4.03045 4.03045 123.43 123.43
20050 4.85066e+15 4.03045 4.85066e+15 123.43
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 183.431 183.431 318.651 318.651
2 139.261 139.261 274.481 274.481
3 81.4051 81.4051 216.625 216.625
4 60.5295 60.5295 195.749 195.749
18 44.8949 44.8949 180.115 180.115
27 24.661 24.661 159.881 159.881
30 16.5357 16.5357 151.756 151.756
31 12.1218 12.1218 147.342 147.342
340 8.09291 8.09291 143.313 143.313
20050 1.74935e+19 8.09291 1.74935e+19 143.313
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 65.8735 65.8735 70.9135 70.9135
11 25.8613 25.8613 30.9013 30.9013
43 16.6585 16.6585 21.6985 21.6985
140 13.845 13.845 18.885 18.885
160 5.70001 5.70001 10.74 10.74
20050 1.75941e+18 5.70001 1.75941e+18 10.74
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 410.159 410.159 419.329 419.329
2 68.6734 68.6734 77.8434 77.8434
3 63.5553 63.5553 72.7253 72.7253
8 60.5382 60.5382 69.7082 69.7082
10 29.4837 29.4837 38.6537 38.6537
13 25.5081 25.5081 34.6781 34.6781
29 19.7742 19.7742 28.9442 28.9442
31 9.3186 9.3186 18.4886 18.4886
328 7.83377 7.83377 17.0038 17.0038
20050 1.04305e+18 7.83377 1.04305e+18 17.0038
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 55.902 55.902 90.642 90.642
2 50.2131 50.2131 84.9531 84.9531
6 36.7725 36.7725 71.5125 71.5125
8 36.6016 36.6016 71.3416 71.3416
17 26.0953 26.0953 60.8353 60.8353
45 23.1316 23.1316 57.8716 57.8716
117 8.29917 8.29917 43.0392 43.0392
216 0.727362 0.727362 35.4674 35.4674
20050 4.1809e+11 0.727362 4.1809e+11 35.4674
