"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 27.4828 27.4828 106.963 106.963
2 24.3006 24.3006 103.781 103.781
10 18.6855 18.6855 98.1655 98.1655
14 5.39435 5.39435 84.8743 84.8743
196 4.7861 4.7861 84.2661 84.2661
249 2.12396 2.12396 81.604 81.604
50050 649551 2.12396 649631 81.604
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 88.2158 88.2158 482.696 482.696
2 48.8801 48.8801 443.36 443.36
7 27.0072 27.0072 421.487 421.487
11 11.647 11.647 406.127 406.127
50050 666367 11.647 666762 406.127
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 41.4271 41.4271 -205.683 -205.683
13 36.6003 36.6003 -210.51 -210.51
15 33.9111 33.9111 -213.199 -213.199
19 29.4484 29.4484 -217.662 -217.662
29 20.1683 20.1683 -226.942 -226.942
43 18.0951 18.0951 -229.015 -229.015
132 6.50287 6.50287 -240.607 -240.607
133 4.54604 4.54604 -242.564 -242.564
270 4.25619 4.25619 -242.854 -242.854
50050 660162 4.25619 659915 -242.854
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 36.2106 36.2106 -115.829 -115.829
4 9.61127 9.61127 -142.429 -142.429
39 7.84331 7.84331 -144.197 -144.197
242 6.66635 6.66635 -145.374 -145.374
247 5.84769 5.84769 -146.192 -146.192
277 1.39526 1.39526 -150.645 -150.645
50050 734479 1.39526 734327 -150.645
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 99.1693 99.1693 73.9193 73.9193
2 95.9694 95.9694 70.7194 70.7194
3 87.0007 87.0007 61.7507 61.7507
4 65.6784 65.6784 40.4284 40.4284
5 35.5332 35.5332 10.2832 10.2832
13 25.2843 25.2843 0.0343119 0.0343119
17 19.9905 19.9905 -5.25945 -5.25945
26 15.4761 15.4761 -9.77386 -9.77386
102 10.5886 10.5886 -14.6614 -14.6614
154 5.8544 5.8544 -19.3956 -19.3956
216 5.6875 5.6875 -19.5625 -19.5625
50050 760431 5.6875 760406 -19.5625
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 55.171 55.171 -146.549 -146.549
2 12.1158 12.1158 -189.604 -189.604
15 9.74454 9.74454 -191.975 -191.975
204 6.71678 6.71678 -195.003 -195.003
50050 731334 6.71678 731132 -195.003
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 40.361 40.361 -959.639 -959.639
3 39.8955 39.8955 -960.105 -960.105
6 18.0472 18.0472 -981.953 -981.953
15 14.4355 14.4355 -985.565 -985.565
33 11.5983 11.5983 -988.402 -988.402
40 10.5405 10.5405 -989.46 -989.46
107 10.2831 10.2831 -989.717 -989.717
169 5.64212 5.64212 -994.358 -994.358
240 4.76777 4.76777 -995.232 -995.232
301 4.16983 4.16983 -995.83 -995.83
50050 745386 4.16983 744386 -995.83
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 76.3798 76.3798 33.4798 33.4798
2 33.5188 33.5188 -9.38116 -9.38116
11 31.4739 31.4739 -11.4261 -11.4261
21 18.1853 18.1853 -24.7147 -24.7147
38 16.6896 16.6896 -26.2104 -26.2104
42 16.5377 16.5377 -26.3623 -26.3623
133 10.6203 10.6203 -32.2797 -32.2797
134 9.88977 9.88977 -33.0102 -33.0102
230 9.44053 9.44053 -33.4595 -33.4595
256 4.1255 4.1255 -38.7745 -38.7745
276 3.99351 3.99351 -38.9065 -38.9065
50050 724451 3.99351 724408 -38.9065
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.8356 77.8356 -23.4844 -23.4844
3 46.7332 46.7332 -54.5868 -54.5868
5 40.4596 40.4596 -60.8604 -60.8604
13 36.6824 36.6824 -64.6376 -64.6376
