"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 140.628 140.628 131.418 131.418
4 73.2487 73.2487 64.0387 64.0387
5 68.5493 68.5493 59.3393 59.3393
30 39.272 39.272 30.062 30.062
50050 4398.1 39.272 4388.89 30.062
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 115.733 115.733 771.723 771.723
2 104.906 104.906 760.896 760.896
7 104.025 104.025 760.015 760.015
8 58.112 58.112 714.102 714.102
17 53.9377 53.9377 709.928 709.928
35 35.2427 35.2427 691.233 691.233
50050 6208.62 35.2427 6864.61 691.233
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 132.962 132.962 199.672 199.672
2 103.642 103.642 170.352 170.352
6 71.3962 71.3962 138.106 138.106
7 49.036 49.036 115.746 115.746
31 39.7418 39.7418 106.452 106.452
103 39.7225 39.7225 106.433 106.433
147 25.941 25.941 92.651 92.651
402 19.9679 19.9679 86.6779 86.6779
50050 6272.67 19.9679 6339.38 86.6779
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 74.7424 74.7424 1016.41 1016.41
3 72.9253 72.9253 1014.6 1014.6
22 66.3817 66.3817 1008.05 1008.05
25 63.6306 63.6306 1005.3 1005.3
37 50.0034 50.0034 991.673 991.673
50050 5089.65 50.0034 6031.32 991.673
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 37.9445 37.9445 0.494501 0.494501
50050 6229.99 37.9445 6192.54 0.494501
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 166.412 166.412 457.032 457.032
2 59.9338 59.9338 350.554 350.554
30 57.7771 57.7771 348.397 348.397
41 45.5046 45.5046 336.125 336.125
103 20.9001 20.9001 311.52 311.52
50050 7421.88 20.9001 7712.5 311.52
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 82.7554 82.7554 -18.7746 -18.7746
7 81.2911 81.2911 -20.2389 -20.2389
9 80.399 80.399 -21.131 -21.131
13 71.202 71.202 -30.328 -30.328
20 60.221 60.221 -41.309 -41.309
24 58.4954 58.4954 -43.0346 -43.0346
47 35.2952 35.2952 -66.2348 -66.2348
125 30.6113 30.6113 -70.9187 -70.9187
50050 4794.23 30.6113 4692.7 -70.9187
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 88.8246 88.8246 390.795 390.795
10 65.3769 65.3769 367.347 367.347
18 64.6999 64.6999 366.67 366.67
32 48.3345 48.3345 350.304 350.304
38 28.3642 28.3642 330.334 330.334
284 22.02 22.02 323.99 323.99
50050 6195.22 22.02 6497.19 323.99
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 91.2695 91.2695 25.6595 25.6595
4 41.3387 41.3387 -24.2713 -24.2713
134 34.6859 34.6859 -30.9241 -30.9241
50050 7427.17 34.6859 7361.56 -30.9241
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 63.4838 63.4838 27.7938 27.7938
5 48.9529 48.9529 13.2629 13.2629
16 44.6817 44.6817 8.99171 8.99171
29 42.0347 42.0347 6.34467 6.34467
50050 5013.31 42.0347 4977.62 6.34467
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 135.509 135.509 167.249 167.249
3 74.7435 74.7435 106.483 106.483
14 73.6316 73.6316 105.372 105.372
15 48.4487 48.4487 80.1887 80.1887
23 47.6781 47.6781 79.4181 79.4181
110 17.4836 17.4836 49.2236 49.2236
113 3.99961 3.99961 35.7396 35.7396
233 -0.58422 -0.58422 31.1558 31.1558
309 -52.3883 -52.3883 -20.6483 -20.6483
450 97.5882 -52.3883 129.328 -20.6483
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 104.382 104.382 938.872 938.872
4 94.9635 94.9635 929.454 929.454
5 71.9546 71.9546 906.445 906.445
9 54.941 54.941 889.431 889.431
17 37.199 37.199 871.689 871.689
22 21.6906 21.6906 856.181 856.181
50050 5984.45 21.6906 6818.94 856.181
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 73.8991 73.8991 115.489 115.489
7 67.1671 67.1671 108.757 108.757
21 51.5553 51.5553 93.1453 93.1453
36 45.4012 45.4012 86.9912 86.9912
50050 4557.84 45.4012 4599.43 86.9912
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 123.325 123.325 223.745 223.745
2 78.2498 78.2498 178.67 178.67
19 36.2169 36.2169 136.637 136.637
50050 4721.38 36.2169 4821.8 136.637
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 61.4969 61.4969 53.9669 53.9669
15 60.557 60.557 53.027 53.027
21 50.6874 50.6874 43.1574 43.1574
23 40.0474 40.0474 32.5174 32.5174
33 37.9165 37.9165 30.3865 30.3865
249 33.4556 33.4556 25.9256 25.9256
411 31.0925 31.0925 23.5625 23.5625
50050 5572.45 31.0925 5564.92 23.5625
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 145.321 145.321 1115.81 1115.81
2 28.693 28.693 999.183 999.183
50050 6221.35 28.693 7191.84 999.183
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 122.641 122.641 1122.64 1122.64
3 69.4965 69.4965 1069.5 1069.5
