"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 21783.6 21783.6 21932.7 21932.7
2 2727.18 2727.18 2876.33 2876.33
4 1343.69 1343.69 1492.84 1492.84
8 75.7678 75.7678 224.918 224.918
18 52.5217 52.5217 201.672 201.672
31 19.9443 19.9443 169.094 169.094
32 12.7912 12.7912 161.941 161.941
43 4.19821 4.19821 153.348 153.348
124 3.51879 3.51879 152.669 152.669
174 1.48009 1.48009 150.63 150.63
506 1.44062 1.44062 150.591 150.591
759 0.6392 0.6392 149.789 149.789
20050 5.76481e+10 0.6392 5.76481e+10 149.789
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.18908 1.18908 -998.811 -998.811
261 0.44475 0.44475 -999.555 -999.555
20050 1.7129e+11 0.44475 1.7129e+11 -999.555
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9665.18 9665.18 9763.8 9763.8
2 180.284 180.284 278.904 278.904
7 9.43536 9.43536 108.055 108.055
17 4.65053 4.65053 103.271 103.271
28 4.38088 4.38088 103.001 103.001
144 4.26262 4.26262 102.883 102.883
186 0.558311 0.558311 99.1783 99.1783
20050 2.05821e+11 0.558311 2.05821e+11 99.1783
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3854.85 3854.85 3807.7 3807.7
2 661.776 661.776 614.626 614.626
14 38.8247 38.8247 -8.32528 -8.32528
20 26.1473 26.1473 -21.0027 -21.0027
32 1.33586 1.33586 -45.8141 -45.8141
146 0.364043 0.364043 -46.786 -46.786
822 0.150395 0.150395 -46.9996 -46.9996
20050 1.35076e+11 0.150395 1.35076e+11 -46.9996
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 133581 133581 133619 133619
2 0.599187 0.599187 38.1192 38.1192
20050 1.24725e+11 0.599187 1.24725e+11 38.1192
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6358.47 6358.47 5932.72 5932.72
9 84.8558 84.8558 -340.894 -340.894
28 31.4196 31.4196 -394.33 -394.33
29 5.96827 5.96827 -419.782 -419.782
233 1.60866 1.60866 -424.141 -424.141
20050 2.65478e+11 1.60866 2.65478e+11 -424.141
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8241.33 8241.33 8020.43 8020.43
3 3314.93 3314.93 3094.03 3094.03
4 738.598 738.598 517.698 517.698
6 79.073 79.073 -141.827 -141.827
9 22.2217 22.2217 -198.678 -198.678
47 0.342124 0.342124 -220.558 -220.558
243 0.0891185 0.0891185 -220.811 -220.811
20050 1.08036e+11 0.0891185 1.08036e+11 -220.811
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 341.525 341.525 -17.9549 -17.9549
3 144.735 144.735 -214.745 -214.745
14 102.692 102.692 -256.788 -256.788
101 39.6894 39.6894 -319.791 -319.791
103 26.2621 26.2621 -333.218 -333.218
109 5.42443 5.42443 -354.056 -354.056
127 3.84699 3.84699 -355.633 -355.633
180 2.59583 2.59583 -356.884 -356.884
197 0.698903 0.698903 -358.781 -358.781
20050 9.28806e+10 0.698903 9.28806e+10 -358.781
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 37.594 37.594 65.074 65.074
10 0.413374 0.413374 27.8934 27.8934
20050 1.10799e+11 0.413374 1.10799e+11 27.8934
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 129.317 129.317 165.407 165.407
13 112.205 112.205 148.295 148.295
40 0.896637 0.896637 36.9866 36.9866
137 0.360718 0.360718 36.4507 36.4507
703 0.304596 0.304596 36.3946 36.3946
709 0.166101 0.166101 36.2561 36.2561
838 0.0635409 0.0635409 36.1535 36.1535
20050 9.6283e+10 0.0635409 9.6283e+10 36.1535
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 160569 160569 160511 160511
2 70771.8 70771.8 70713.9 70713.9
4 9875.44 9875.44 9817.53 9817.53
7 3881.17 3881.17 3823.26 3823.26
23 1585.05 1585.05 1527.14 1527.14
32 304.72 304.72 246.81 246.81
33 56.5234 56.5234 -1.38662 -1.38662
47 3.17819 3.17819 -54.7318 -54.7318
238 1.70472 1.70472 -56.2053 -56.2053
271 0.668428 0.668428 -57.2416 -57.2416
299 0.258778 0.258778 -57.6512 -57.6512
20050 6.56774e+10 0.258778 6.56774e+10 -57.6512
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 579.675 579.675 244.765 244.765
10 258.443 258.443 -76.4668 -76.4668
16 196.412 196.412 -138.498 -138.498
35 0.27261 0.27261 -334.637 -334.637
298 0.049043 0.049043 -334.861 -334.861
20050 1.90091e+11 0.049043 1.90091e+11 -334.861
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 408.444 408.444 361.744 361.744
3 22.4224 22.4224 -24.2776 -24.2776
6 2.26355 2.26355 -44.4365 -44.4365
49 2.04367 2.04367 -44.6563 -44.6563
293 1.63636 1.63636 -45.0636 -45.0636
443 1.09078 1.09078 -45.6092 -45.6092
712 0.756473 0.756473 -45.9435 -45.9435
20050 2.14264e+11 0.756473 2.14264e+11 -45.9435
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 99187.1 99187.1 99094 99094
2 1621.1 1621.1 1528.02 1528.02
3 3.17533 3.17533 -89.9047 -89.9047
32 2.37943 2.37943 -90.7006 -90.7006
173 0.436776 0.436776 -92.6432 -92.6432
270 0.00705614 0.00705614 -93.0729 -93.0729
20050 1.96464e+11 0.00705614 1.96464e+11 -93.0729
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2542.71 2542.71 2584.39 2584.39
2 710.203 710.203 751.883 751.883
7 145.59 145.59 187.27 187.27
29 102.238 102.238 143.918 143.918
46 9.07331 9.07331 50.7533 50.7533
102 1.14293 1.14293 42.8229 42.8229
317 0.0488508 0.0488508 41.7289 41.7289
20050 1.1709e+11 0.0488508 1.1709e+11 41.7289
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8391.03 8391.03 8101.67 8101.67
2 2857.36 2857.36 2568 2568
3 1386.07 1386.07 1096.71 1096.71
4 663.283 663.283 373.923 373.923
5 207.772 207.772 -81.5879 -81.5879
24 110.394 110.394 -178.966 -178.966
27 24.4295 24.4295 -264.931 -264.931
107 20.6664 20.6664 -268.694 -268.694
172 4.67238 4.67238 -284.688 -284.688
215 1.33269 1.33269 -288.027 -288.027
408 0.606829 0.606829 -288.753 -288.753
20050 1.21378e+11 0.606829 1.21378e+11 -288.753
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1605.83 1605.83 1792.7 1792.7
3 1553.16 1553.16 1740.03 1740.03
10 346.469 346.469 533.339 533.339
24 340.507 340.507 527.377 527.377
27 47.2331 47.2331 234.103 234.103
105 39.4005 39.4005 226.27 226.27
108 9.85026 9.85026 196.72 196.72
113 4.1755 4.1755 191.045 191.045
234 0.622944 0.622944 187.493 187.493
261 0.0709477 0.0709477 186.941 186.941
543 0.0617771 0.0617771 186.932 186.932
20050 1.21176e+11 0.0617771 1.21176e+11 186.932
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 358803 358803 358155 358155
2 9764.19 9764.19 9116.43 9116.43
4 677.232 677.232 29.4723 29.4723
5 21.6781 21.6781 -626.082 -626.082
14 4.6935 4.6935 -643.067 -643.067
386 0.533961 0.533961 -647.226 -647.226
20050 6.45093e+10 0.533961 6.45093e+10 -647.226
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3251.7 3251.7 3250.22 3250.22
2 1275.41 1275.41 1273.93 1273.93
3 71.6999 71.6999 70.2199 70.2199
13 42.9806 42.9806 41.5006 41.5006
16 27.8932 27.8932 26.4132 26.4132
102 1.42602 1.42602 -0.0539754 -0.0539754
127 1.3982 1.3982 -0.0818037 -0.0818037
332 0.446063 0.446063 -1.03394 -1.03394
523 0.0367163 0.0367163 -1.44328 -1.44328
20050 2.19986e+11 0.0367163 2.19986e+11 -1.44328
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22654.5 22654.5 22641.3 22641.3
5 369.959 369.959 356.739 356.739
17 350.724 350.724 337.504 337.504
20 257.692 257.692 244.472 244.472
24 16.8791 16.8791 3.65907 3.65907
47 6.08475 6.08475 -7.13525 -7.13525
120 3.92468 3.92468 -9.29532 -9.29532
154 0.594485 0.594485 -12.6255 -12.6255
996 0.260243 0.260243 -12.9598 -12.9598
20050 2.27877e+11 0.260243 2.27877e+11 -12.9598
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 170.285 170.285 125.645 125.645
11 9.30564 9.30564 -35.3344 -35.3344
134 5.75658 5.75658 -38.8834 -38.8834
151 3.45974 3.45974 -41.1803 -41.1803
380 2.89666 2.89666 -41.7433 -41.7433
503 2.09993 2.09993 -42.5401 -42.5401
660 0.983374 0.983374 -43.6566 -43.6566
20050 1.34376e+11 0.983374 1.34376e+11 -43.6566
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 840.68 840.68 667.58 667.58
6 2.71797 2.71797 -170.382 -170.382
340 2.46452 2.46452 -170.635 -170.635
363 0.39141 0.39141 -172.709 -172.709
422 0.166781 0.166781 -172.933 -172.933
20050 7.77876e+10 0.166781 7.77876e+10 -172.933
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 895.405 895.405 925.305 925.305
6 508.429 508.429 538.329 538.329
13 224.908 224.908 254.808 254.808
16 0.654938 0.654938 30.5549 30.5549
20050 4.19482e+10 0.654938 4.19482e+10 30.5549
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 78013.9 78013.9 78398.2 78398.2
2 5928.81 5928.81 6313.11 6313.11
5 468.983 468.983 853.283 853.283
9 459.43 459.43 843.73 843.73
17 223.233 223.233 607.533 607.533
29 63.0735 63.0735 447.373 447.373
48 1.97215 1.97215 386.272 386.272
120 0.45061 0.45061 384.751 384.751
191 0.438446 0.438446 384.738 384.738
20050 1.28014e+11 0.438446 1.28014e+11 384.738
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2010.22 2010.22 2185.4 2185.4
3 921.848 921.848 1097.03 1097.03
5 269.385 269.385 444.565 444.565
17 4.4505 4.4505 179.63 179.63
114 4.4014 4.4014 179.581 179.581
123 4.2463 4.2463 179.426 179.426
180 3.1043 3.1043 178.284 178.284
283 1.52431 1.52431 176.704 176.704
408 0.372319 0.372319 175.552 175.552
20050 1.0675e+11 0.372319 1.0675e+11 175.552
