"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.29989e+06 3.29989e+06 3.29996e+06 3.29996e+06
3 1.42694e+06 1.42694e+06 1.42702e+06 1.42702e+06
6 190522 190522 190598 190598
21 165335 165335 165411 165411
24 144250 144250 144326 144326
25 119685 119685 119761 119761
26 5254.32 5254.32 5330.59 5330.59
28 3345.51 3345.51 3421.78 3421.78
105 554.879 554.879 631.149 631.149
349 216.403 216.403 292.673 292.673
200050 4.74664e+37 216.403 4.74664e+37 292.673
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.826e+06 4.826e+06 4.82597e+06 4.82597e+06
4 2.75327e+06 2.75327e+06 2.75325e+06 2.75325e+06
5 198583 198583 198560 198560
8 4030.97 4030.97 4008.42 4008.42
12 720.562 720.562 698.012 698.012
746 239.35 239.35 216.8 216.8
200050 3.24775e+59 239.35 3.24775e+59 216.8
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.63476e+06 7.63476e+06 7.63477e+06 7.63477e+06
2 1.57515e+06 1.57515e+06 1.57517e+06 1.57517e+06
4 390387 390387 390401 390401
10 1420.53 1420.53 1434.19 1434.19
301 631.415 631.415 645.075 645.075
200050 2.37332e+24 631.415 2.37332e+24 645.075
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.97168e+06 3.97168e+06 3.97261e+06 3.97261e+06
2 36077.3 36077.3 37015.1 37015.1
101 1927.26 1927.26 2865.1 2865.1
200050 5.48918e+29 1927.26 5.48918e+29 2865.1
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.53719e+06 7.53719e+06 7.53711e+06 7.53711e+06
3 225423 225423 225345 225345
9 34191.9 34191.9 34113.1 34113.1
34 2957.02 2957.02 2878.3 2878.3
113 2872.12 2872.12 2793.4 2793.4
200050 4.26159e+28 2872.12 4.26159e+28 2793.4
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.88091e+06 7.88091e+06 7.88031e+06 7.88031e+06
2 561243 561243 560645 560645
7 285867 285867 285268 285268
25 170180 170180 169582 169582
34 152989 152989 152391 152391
43 17164.8 17164.8 16566.3 16566.3
50 3809.95 3809.95 3211.52 3211.52
130 219.97 219.97 -378.46 -378.46
200050 5.99574e+37 219.97 5.99574e+37 -378.46
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 988898 988898 988812 988812
4 520293 520293 520207 520207
6 96418.8 96418.8 96333.3 96333.3
11 5063.95 5063.95 4978.53 4978.53
112 3834.13 3834.13 3748.71 3748.71
145 3020.36 3020.36 2934.94 2934.94
326 1011.38 1011.38 925.957 925.957
200050 4.24182e+41 1011.38 4.24182e+41 925.957
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 341017 341017 341211 341211
3 30514.7 30514.7 30707.9 30707.9
4 15648.7 15648.7 15842 15842
15 1689.04 1689.04 1882.29 1882.29
103 328.734 328.734 521.984 521.984
200050 1.35494e+54 328.734 1.35494e+54 521.984
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 306497 306497 306316 306316
6 104903 104903 104721 104721
9 2250.67 2250.67 2069.17 2069.17
131 358.562 358.562 177.062 177.062
200050 1.95696e+25 358.562 1.95696e+25 177.062
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.84321e+06 4.84321e+06 4.84366e+06 4.84366e+06
3 2.34708e+06 2.34708e+06 2.34753e+06 2.34753e+06
5 242530 242530 242983 242983
29 18931.5 18931.5 19384.1 19384.1
35 9680.48 9680.48 10133.1 10133.1
150 2903.33 2903.33 3355.95 3355.95
200050 8.19174e+27 2903.33 8.19174e+27 3355.95
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.67966e+07 1.67966e+07 1.67965e+07 1.67965e+07
3 7.99347e+06 7.99347e+06 7.99335e+06 7.99335e+06
8 5.26764e+06 5.26764e+06 5.26752e+06 5.26752e+06
30 604790 604790 604671 604671
39 589716 589716 589598 589598
42 434486 434486 434368 434368
137 36520.8 36520.8 36402.3 36402.3
427 716.793 716.793 598.333 598.333
200050 3.52669e+38 716.793 3.52669e+38 598.333
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 463708 463708 463807 463807
37 214960 214960 215060 215060
49 32139.5 32139.5 32239.2 32239.2
200050 2.1851e+37 32139.5 2.1851e+37 32239.2
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.55244e+07 1.55244e+07 1.55244e+07 1.55244e+07
2 470876 470876 470916 470916
4 164203 164203 164243 164243
10 1101.02 1101.02 1141.46 1141.46
329 332.538 332.538 372.978 372.978
200050 2.82574e+41 332.538 2.82574e+41 372.978
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.84177e+07 2.84177e+07 2.84175e+07 2.84175e+07
2 8.59722e+06 8.59722e+06 8.5971e+06 8.5971e+06
5 105092 105092 104971 104971
13 32569.1 32569.1 32447.5 32447.5
40 2231.32 2231.32 2109.72 2109.72
200050 1.90766e+49 2231.32 1.90766e+49 2109.72
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.74834e+06 7.74834e+06 7.74831e+06 7.74831e+06
3 3.23077e+06 3.23077e+06 3.23073e+06 3.23073e+06
6 169025 169025 168987 168987
17 123401 123401 123363 123363
28 52751.3 52751.3 52713.2 52713.2
50 237.528 237.528 199.418 199.418
200050 4.3305e+37 237.528 4.3305e+37 199.418
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.50691e+06 8.50691e+06 8.50676e+06 8.50676e+06
3 1.91839e+06 1.91839e+06 1.91823e+06 1.91823e+06
6 101363 101363 101209 101209
9 4849.81 4849.81 4695.26 4695.26
38 440.084 440.084 285.534 285.534
200050 1.38787e+27 440.084 1.38787e+27 285.534
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 874304 874304 874291 874291
2 6661.6 6661.6 6648.9 6648.9
11 5030.25 5030.25 5017.55 5017.55
22 1307.71 1307.71 1295.01 1295.01
36 602.254 602.254 589.554 589.554
240 227.953 227.953 215.253 215.253
200050 1.88635e+30 227.953 1.88635e+30 215.253
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.01986e+07 4.01986e+07 4.01984e+07 4.01984e+07
2 2.33247e+06 2.33247e+06 2.33229e+06 2.33229e+06
4 4074 4074 3893.36 3893.36
200050 4.41118e+45 4074 4.41118e+45 3893.36
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.95265e+07 1.95265e+07 1.95265e+07 1.95265e+07
2 7.73411e+06 7.73411e+06 7.73412e+06 7.73412e+06
5 5.62549e+06 5.62549e+06 5.6255e+06 5.6255e+06
7 325665 325665 325675 325675
10 38466.4 38466.4 38475.8 38475.8
18 1985.17 1985.17 1994.55 1994.55
44 563.177 563.177 572.557 572.557
141 204.499 204.499 213.879 213.879
200050 3.90038e+30 204.499 3.90038e+30 213.879
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.58454e+06 3.58454e+06 3.58455e+06 3.58455e+06
2 2.31652e+06 2.31652e+06 2.31653e+06 2.31653e+06
3 1.18067e+06 1.18067e+06 1.18068e+06 1.18068e+06
5 1.17946e+06 1.17946e+06 1.17947e+06 1.17947e+06
11 578.604 578.604 588.924 588.924
128 288.557 288.557 298.877 298.877
339 169.287 169.287 179.607 179.607
200050 2.61349e+37 169.287 2.61349e+37 179.607
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.12923e+07 2.12923e+07 2.12925e+07 2.12925e+07
3 990159 990159 990274 990274
6 200132 200132 200247 200247
8 174345 174345 174461 174461
37 4023.63 4023.63 4138.8 4138.8
200050 7.52192e+39 4023.63 7.52192e+39 4138.8
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.51709e+07 2.51709e+07 2.51699e+07 2.51699e+07
2 18150.1 18150.1 17150.1 17150.1
219 14085.5 14085.5 13085.5 13085.5
245 6045.32 6045.32 5045.32 5045.32
307 3187.82 3187.82 2187.82 2187.82
338 385.488 385.488 -614.512 -614.512
415 233.027 233.027 -766.973 -766.973
727 86.3072 86.3072 -913.693 -913.693
200050 2.3301e+46 86.3072 2.3301e+46 -913.693
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 851883 851883 851992 851992
5 180677 180677 180786 180786
25 137147 137147 137256 137256
32 25575.6 25575.6 25684.8 25684.8
102 719.871 719.871 829.091 829.091
128 648.576 648.576 757.796 757.796
200050 3.01474e+40 648.576 3.01474e+40 757.796
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 959981 959981 959860 959860
5 469194 469194 469073 469073
10 196703 196703 196583 196583
34 183318 183318 183197 183197
41 173205 173205 173084 173084
102 120174 120174 120054 120054
106 29098.4 29098.4 28977.6 28977.6
121 7070.28 7070.28 6949.52 6949.52
