"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22.5714 22.5714 5.63145 5.63145
6 9.7608 9.7608 -7.1792 -7.1792
15 7.82646 7.82646 -9.11354 -9.11354
20050 inf 7.82646 inf -9.11354
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 274.994 274.994 293.804 293.804
2 20.6995 20.6995 39.5095 39.5095
32 7.33454 7.33454 26.1445 26.1445
121 7.15232 7.15232 25.9623 25.9623
20050 inf 7.15232 inf 25.9623
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1006.65 1006.65 1279.8 1279.8
2 511.785 511.785 784.935 784.935
3 211.693 211.693 484.843 484.843
9 112.486 112.486 385.636 385.636
20 108.956 108.956 382.106 382.106
23 100.323 100.323 373.473 373.473
26 94.974 94.974 368.124 368.124
35 88.5118 88.5118 361.662 361.662
42 51.4402 51.4402 324.59 324.59
134 33.2025 33.2025 306.353 306.353
20050 inf 33.2025 inf 306.353
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 53.2296 53.2296 90.4096 90.4096
4 25.596 25.596 62.776 62.776
24 25.1729 25.1729 62.3529 62.3529
36 13.3374 13.3374 50.5174 50.5174
48 9.5533 9.5533 46.7333 46.7333
403 5.30028 5.30028 42.4803 42.4803
20050 inf 5.30028 inf 42.4803
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 643.672 643.672 495.772 495.772
2 257.971 257.971 110.071 110.071
3 247.463 247.463 99.5634 99.5634
7 113.313 113.313 -34.5868 -34.5868
11 20.3815 20.3815 -127.518 -127.518
106 2.76109 2.76109 -145.139 -145.139
20050 inf 2.76109 inf -145.139
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1776.77 1776.77 1554.88 1554.88
2 821.046 821.046 599.156 599.156
3 415.322 415.322 193.432 193.432
5 84.8789 84.8789 -137.011 -137.011
9 45.5364 45.5364 -176.354 -176.354
10 32.8489 32.8489 -189.041 -189.041
23 26.5426 26.5426 -195.347 -195.347
102 21.7247 21.7247 -200.165 -200.165
141 11.5343 11.5343 -210.356 -210.356
212 2.64224 2.64224 -219.248 -219.248
20050 inf 2.64224 inf -219.248
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 175.913 175.913 295.453 295.453
4 71.141 71.141 190.681 190.681
8 35.7558 35.7558 155.296 155.296
13 7.70474 7.70474 127.245 127.245
114 0.760675 0.760675 120.301 120.301
20050 inf 0.760675 inf 120.301
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 48.2714 48.2714 118.101 118.101
17 12.8293 12.8293 82.6593 82.6593
39 8.82988 8.82988 78.6599 78.6599
45 5.89501 5.89501 75.725 75.725
102 4.0069 4.0069 73.8369 73.8369
403 3.22943 3.22943 73.0594 73.0594
513 3.13133 3.13133 72.9613 72.9613
20050 inf 3.13133 inf 72.9613
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 682.148 682.148 682.218 682.218
2 471.573 471.573 471.643 471.643
3 6.0717 6.0717 6.1417 6.1417
126 5.83817 5.83817 5.90817 5.90817
20050 inf 5.83817 inf 5.90817
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 115.49 115.49 120.45 120.45
2 114.263 114.263 119.223 119.223
4 57.4463 57.4463 62.4063 62.4063
