"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.74649 8.74649 49.5265 49.5265
4 2.0698 2.0698 42.8498 42.8498
20 2.00374 2.00374 42.7837 42.7837
112 1.97279 1.97279 42.7528 42.7528
120 0.000172426 0.000172426 40.7802 40.7802
20050 5.57641e+14 0.000172426 5.57641e+14 40.7802
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 15.4499 15.4499 13.8499 13.8499
3 14.8769 14.8769 13.2769 13.2769
4 13.0767 13.0767 11.4767 11.4767
5 9.62634 9.62634 8.02634 8.02634
7 7.89688 7.89688 6.29688 6.29688
8 6.86804 6.86804 5.26804 5.26804
9 4.74644 4.74644 3.14644 3.14644
10 2.78941 2.78941 1.18941 1.18941
13 1.80865 1.80865 0.208651 0.208651
37 1.51749 1.51749 -0.0825059 -0.0825059
201 0.429843 0.429843 -1.17016 -1.17016
210 0.165526 0.165526 -1.43447 -1.43447
213 0.0331208 0.0331208 -1.56688 -1.56688
314 0.0254058 0.0254058 -1.57459 -1.57459
20050 1.62379e+17 0.0254058 1.62379e+17 -1.57459
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.84052 8.84052 -361.999 -361.999
6 3.55192 3.55192 -367.288 -367.288
11 0.326267 0.326267 -370.514 -370.514
20050 1.79431e+20 0.326267 1.79431e+20 -370.514
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.00417 2.00417 -30.5558 -30.5558
35 0.857157 0.857157 -31.7028 -31.7028
314 0.11129 0.11129 -32.4487 -32.4487
20050 1.58327e+22 0.11129 1.58327e+22 -32.4487
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.14897 9.14897 524.549 524.549
3 0.305032 0.305032 515.705 515.705
20050 2.30664e+15 0.305032 2.30664e+15 515.705
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 16.3966 16.3966 1002.63 1002.63
3 9.1938 9.1938 995.424 995.424
4 7.87303 7.87303 994.103 994.103
