"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 366301 366301 366425 366425
3 297108 297108 297232 297232
7 265417 265417 265541 265541
14 186569 186569 186692 186692
15 163726 163726 163850 163850
39 159330 159330 159454 159454
102 69248.4 69248.4 69372.2 69372.2
108 48049.7 48049.7 48173.5 48173.5
147 23293.5 23293.5 23417.3 23417.3
306 11461.7 11461.7 11585.5 11585.5
313 7626.85 7626.85 7750.68 7750.68
200050 9.50533e+79 7626.85 9.50533e+79 7750.68
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 308296 308296 308343 308343
2 307139 307139 307187 307187
7 135755 135755 135803 135803
13 131998 131998 132046 132046
19 120509 120509 120556 120556
44 119732 119732 119780 119780
46 89011.1 89011.1 89058.6 89058.6
102 60103.3 60103.3 60150.9 60150.9
108 45976.5 45976.5 46024 46024
119 23517.4 23517.4 23564.9 23564.9
321 16156.6 16156.6 16204.1 16204.1
428 5652.1 5652.1 5699.61 5699.61
623 3670.39 3670.39 3717.9 3717.9
803 3602.52 3602.52 3650.03 3650.03
832 2696.99 2696.99 2744.5 2744.5
904 2295.6 2295.6 2343.11 2343.11
200050 2.67171e+49 2295.6 2.67171e+49 2343.11
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 335766 335766 335821 335821
3 318572 318572 318628 318628
5 202981 202981 203036 203036
8 188668 188668 188723 188723
9 187587 187587 187643 187643
21 66004.2 66004.2 66059.6 66059.6
105 25012.9 25012.9 25068.2 25068.2
136 19100.2 19100.2 19155.6 19155.6
148 18582.3 18582.3 18637.6 18637.6
302 13487.8 13487.8 13543.1 13543.1
324 12367.6 12367.6 12422.9 12422.9
350 11838.5 11838.5 11893.8 11893.8
417 10584.8 10584.8 10640.2 10640.2
503 6169.31 6169.31 6224.65 6224.65
517 2287.3 2287.3 2342.64 2342.64
929 2209.45 2209.45 2264.79 2264.79
1138 1637.62 1637.62 1692.96 1692.96
1240 1557.95 1557.95 1613.29 1613.29
1347 1468.3 1468.3 1523.64 1523.64
200050 3.13449e+119 1468.3 3.13449e+119 1523.64
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 478124 478124 478034 478034
2 306837 306837 306746 306746
5 176008 176008 175918 175918
13 149856 149856 149765 149765
15 137055 137055 136964 136964
24 135558 135558 135468 135468
40 109697 109697 109607 109607
45 62987 62987 62896.7 62896.7
122 58748.3 58748.3 58658 58658
138 38362.2 38362.2 38271.9 38271.9
206 27999.9 27999.9 27909.6 27909.6
507 26838.4 26838.4 26748.1 26748.1
525 9587.16 9587.16 9496.83 9496.83
635 9572.75 9572.75 9482.42 9482.42
805 6698.12 6698.12 6607.79 6607.79
911 5176.09 5176.09 5085.76 5085.76
1115 3685.19 3685.19 3594.86 3594.86
1446 2744.05 2744.05 2653.72 2653.72
200050 2.30596e+69 2744.05 2.30596e+69 2653.72
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 351890 351890 351955 351955
5 291419 291419 291485 291485
18 162622 162622 162687 162687
23 92135.2 92135.2 92200.8 92200.8
108 48420.6 48420.6 48486.2 48486.2
216 15820.2 15820.2 15885.8 15885.8
644 10590.1 10590.1 10655.7 10655.7
200050 5.93084e+61 10590.1 5.93084e+61 10655.7
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 334011 334011 333721 333721
3 314229 314229 313939 313939
6 248376 248376 248086 248086
7 211255 211255 210965 210965
10 162470 162470 162180 162180
31 145208 145208 144918 144918
101 28452.4 28452.4 28162.4 28162.4
226 26060.8 26060.8 25770.7 25770.7
236 24841.2 24841.2 24551.1 24551.1
306 12525.8 12525.8 12235.7 12235.7
330 11753.1 11753.1 11463 11463
534 10763.9 10763.9 10473.8 10473.8
609 9040.97 9040.97 8750.89 8750.89
612 3741.52 3741.52 3451.44 3451.44
836 1257.04 1257.04 966.962 966.962
904 1186.66 1186.66 896.583 896.583
200050 7.92713e+81 1186.66 7.92713e+81 896.583
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 234249 234249 234274 234274
19 164199 164199 164224 164224
25 149749 149749 149775 149775
102 81184.1 81184.1 81209.2 81209.2
105 65478.7 65478.7 65503.8 65503.8
130 41907.4 41907.4 41932.5 41932.5
146 38803.3 38803.3 38828.4 38828.4
149 37862.9 37862.9 37888 37888
206 25145.5 25145.5 25170.6 25170.6
414 18262.3 18262.3 18287.4 18287.4
521 17504.8 17504.8 17529.9 17529.9
539 14989.7 14989.7 15014.8 15014.8
631 7116.23 7116.23 7141.33 7141.33
742 3570.91 3570.91 3596.01 3596.01
1107 3475.43 3475.43 3500.53 3500.53
200050 1.06773e+70 3475.43 1.06773e+70 3500.53
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 261601 261601 261514 261514
2 125303 125303 125215 125215
101 12604.2 12604.2 12516.7 12516.7
535 8597.71 8597.71 8510.15 8510.15
538 4987.51 4987.51 4899.95 4899.95
929 3578.78 3578.78 3491.22 3491.22
1002 2988.75 2988.75 2901.19 2901.19
200050 7.67563e+52 2988.75 7.67563e+52 2901.19
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 724505 724505 724565 724565
2 254053 254053 254113 254113
9 233684 233684 233744 233744
12 173762 173762 173822 173822
42 120375 120375 120435 120435
102 56708.8 56708.8 56768.8 56768.8
118 51479.2 51479.2 51539.2 51539.2
150 25265.7 25265.7 25325.8 25325.8
303 19552 19552 19612.1 19612.1
431 11926.5 11926.5 11986.6 11986.6
541 8659 8659 8719.07 8719.07
637 8156.23 8156.23 8216.3 8216.3
707 6498.75 6498.75 6558.82 6558.82
816 6048.71 6048.71 6108.78 6108.78
1303 3729.24 3729.24 3789.31 3789.31
2319 3615.76 3615.76 3675.83 3675.83
200050 2.16066e+69 3615.76 2.16066e+69 3675.83
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 435288 435288 435151 435151
2 425045 425045 424909 424909
3 332559 332559 332423 332423
5 258554 258554 258418 258418
7 235696 235696 235559 235559
10 234006 234006 233870 233870
16 90588.2 90588.2 90451.5 90451.5
106 73959.6 73959.6 73823 73823
108 25376.8 25376.8 25240.2 25240.2
