"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.10067e+10 2.10067e+10 2.10067e+10 2.10067e+10
3 66586 66586 65964.9 65964.9
6 65184.6 65184.6 64563.5 64563.5
17 21485.1 21485.1 20864 20864
33 10139.5 10139.5 9518.38 9518.38
45 9873.79 9873.79 9252.68 9252.68
229 8711.11 8711.11 8090 8090
255 4643.54 4643.54 4022.43 4022.43
256 1374.6 1374.6 753.487 753.487
305 796.684 796.684 175.574 175.574
20000 3.46018e+54 796.684 3.46018e+54 175.574
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.50274e+10 4.50274e+10 4.50274e+10 4.50274e+10
2 4.13194e+09 4.13194e+09 4.13194e+09 4.13194e+09
3 7.84904e+07 7.84904e+07 7.84901e+07 7.84901e+07
6 1.50206e+07 1.50206e+07 1.50204e+07 1.50204e+07
17 134307 134307 134052 134052
20000 2.15867e+21 134307 2.15867e+21 134052
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.79373e+08 3.79373e+08 3.79373e+08 3.79373e+08
2 3.07283e+08 3.07283e+08 3.07283e+08 3.07283e+08
3 5.56551e+07 5.56551e+07 5.56552e+07 5.56552e+07
5 771977 771977 772034 772034
23 327181 327181 327237 327237
62 13067.2 13067.2 13123.8 13123.8
64 59.2944 59.2944 115.904 115.904
96 9.29345 9.29345 65.9035 65.9035
20000 1.0941e+11 9.29345 1.0941e+11 65.9035
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.27824e+06 8.27824e+06 8.27823e+06 8.27823e+06
2 1.70411e+06 1.70411e+06 1.70409e+06 1.70409e+06
6 234684 234684 234666 234666
13 180637 180637 180618 180618
32 117600 117600 117582 117582
49 5733.22 5733.22 5715.12 5715.12
1202 2243.6 2243.6 2225.5 2225.5
1235 2177.31 2177.31 2159.21 2159.21
1360 897.361 897.361 879.261 879.261
1386 64.3265 64.3265 46.2265 46.2265
20000 5.75527e+27 64.3265 5.75527e+27 46.2265
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.95197e+06 7.95197e+06 7.95201e+06 7.95201e+06
2 4.27968e+06 4.27968e+06 4.27971e+06 4.27971e+06
3 52742.6 52742.6 52780.4 52780.4
26 60.8584 60.8584 98.6284 98.6284
968 16.4071 16.4071 54.1771 54.1771
20000 5.37138e+10 16.4071 5.37138e+10 54.1771
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.61894e+06 6.61894e+06 6.61892e+06 6.61892e+06
3 5.85075e+06 5.85075e+06 5.85074e+06 5.85074e+06
9 1.20429e+06 1.20429e+06 1.20428e+06 1.20428e+06
15 357542 357542 357527 357527
31 117660 117660 117645 117645
45 71201.2 71201.2 71185.9 71185.9
19905 8696.56 8696.56 8681.33 8681.33
20000 1.18591e+09 8696.56 1.18591e+09 8681.33
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.98965e+07 7.98965e+07 7.98963e+07 7.98963e+07
2 6.89598e+07 6.89598e+07 6.89597e+07 6.89597e+07
3 2.1827e+07 2.1827e+07 2.18268e+07 2.18268e+07
5 1.30479e+06 1.30479e+06 1.30463e+06 1.30463e+06
6 556199 556199 556037 556037
9 287645 287645 287484 287484
40 68942 68942 68780.5 68780.5
45 68426.5 68426.5 68265.1 68265.1
78 12397.2 12397.2 12235.8 12235.8
478 2063.67 2063.67 1902.24 1902.24
543 1422.51 1422.51 1261.08 1261.08
20000 8.42107e+10 1422.51 8.42107e+10 1261.08
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.5453e+06 4.5453e+06 4.54563e+06 4.54563e+06
3 981751 981751 982079 982079
9 381980 381980 382308 382308
16 66985.8 66985.8 67313.8 67313.8
33 10804.9 10804.9 11133 11133
68 2972.95 2972.95 3300.98 3300.98
73 2322.48 2322.48 2650.51 2650.51
86 673.171 673.171 1001.2 1001.2
117 329.762 329.762 657.792 657.792
171 69.6255 69.6255 397.655 397.655
20000 1.29111e+93 69.6255 1.29111e+93 397.655
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.52939e+07 3.52939e+07 3.52939e+07 3.52939e+07
2 9.22188e+06 9.22188e+06 9.22184e+06 9.22184e+06
4 5.86868e+06 5.86868e+06 5.86865e+06 5.86865e+06
