"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 202.214 202.214 -259.876 -259.876
4 189.31 189.31 -272.78 -272.78
5 128.545 128.545 -333.545 -333.545
28 126.111 126.111 -335.979 -335.979
40 63.2346 63.2346 -398.855 -398.855
50000 1.23521e+06 63.2346 1.23475e+06 -398.855
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 117.012 117.012 194.672 194.672
3 70.9195 70.9195 148.58 148.58
25 63.1552 63.1552 140.815 140.815
50000 2.28914e+17 63.1552 2.28914e+17 140.815
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 132.442 132.442 248.122 248.122
8 126.374 126.374 242.054 242.054
10 65.8023 65.8023 181.482 181.482
50000 1.28917e+16 65.8023 1.28917e+16 181.482
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 590.036 590.036 586.326 586.326
2 182.568 182.568 178.858 178.858
15 149.087 149.087 145.377 145.377
79 126.543 126.543 122.833 122.833
83 104.631 104.631 100.921 100.921
50000 4.50019e+15 104.631 4.50019e+15 100.921
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 141.514 141.514 273.694 273.694
17 127.62 127.62 259.8 259.8
20 85.1542 85.1542 217.334 217.334
29 85.061 85.061 217.241 217.241
50000 1.5788e+18 85.061 1.5788e+18 217.241
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 346.721 346.721 -238.009 -238.009
3 191.132 191.132 -393.598 -393.598
18 176.442 176.442 -408.288 -408.288
25 112.381 112.381 -472.349 -472.349
37 63.9451 63.9451 -520.785 -520.785
96 61.6114 61.6114 -523.119 -523.119
50000 1.45302e+19 61.6114 1.45302e+19 -523.119
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 553.25 553.25 516.71 516.71
2 183.225 183.225 146.685 146.685
12 169.471 169.471 132.931 132.931
22 133.313 133.313 96.7735 96.7735
29 97.8196 97.8196 61.2796 61.2796
55 70.2771 70.2771 33.7371 33.7371
91 62.6427 62.6427 26.1027 26.1027
110 60.1632 60.1632 23.6232 23.6232
141 59.3742 59.3742 22.8342 22.8342
185 48.3576 48.3576 11.8176 11.8176
50000 1.62557e+08 48.3576 1.62557e+08 11.8176
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 510.874 510.874 1510.87 1510.87
2 428.858 428.858 1428.86 1428.86
4 183.833 183.833 1183.83 1183.83
6 116.491 116.491 1116.49 1116.49
52 92.6401 92.6401 1092.64 1092.64
53 89.7873 89.7873 1089.79 1089.79
73 88.7059 88.7059 1088.71 1088.71
79 86.4223 86.4223 1086.42 1086.42
50000 1.81604e+06 86.4223 1.81704e+06 1086.42
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 158.106 158.106 204.716 204.716
10 152.285 152.285 198.895 198.895
20 65.8583 65.8583 112.468 112.468
130 65.0836 65.0836 111.694 111.694
50000 2.46632e+10 65.0836 2.46632e+10 111.694
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 648.788 648.788 384.478 384.478
2 572.289 572.289 307.979 307.979
5 116.387 116.387 -147.923 -147.923
9 108.541 108.541 -155.769 -155.769
10 100.928 100.928 -163.382 -163.382
25 74.0549 74.0549 -190.255 -190.255
88 51.7295 51.7295 -212.58 -212.58
50000 787016 51.7295 786752 -212.58
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 350.933 350.933 423.663 423.663
5 199.185 199.185 271.915 271.915
9 66.1843 66.1843 138.914 138.914
50000 1.13738e+21 66.1843 1.13738e+21 138.914
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 461.405 461.405 598.275 598.275
