"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1677.02 1677.02 1769.96 1769.96
26 1386.57 1386.57 1479.51 1479.51
35 1314.02 1314.02 1406.96 1406.96
40 918.989 918.989 1011.93 1011.93
200000 4.85872e+06 918.989 4.85881e+06 1011.93
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5125.9 5125.9 5161.25 5161.25
2 4136.49 4136.49 4171.84 4171.84
3 3808.74 3808.74 3844.09 3844.09
6 2246.19 2246.19 2281.54 2281.54
13 936.974 936.974 972.324 972.324
53 921.182 921.182 956.532 956.532
200000 1.21407e+07 921.182 1.21407e+07 956.532
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1618.39 1618.39 1622.21 1622.21
4 1334.26 1334.26 1338.08 1338.08
8 875.031 875.031 878.851 878.851
23 735.22 735.22 739.04 739.04
33 644.524 644.524 648.344 648.344
200000 5.09047e+06 644.524 5.09047e+06 648.344
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3754.21 3754.21 3775.96 3775.96
2 1276.83 1276.83 1298.58 1298.58
20 1164.81 1164.81 1186.56 1186.56
30 932.277 932.277 954.027 954.027
31 868.416 868.416 890.166 890.166
200000 1.17879e+07 868.416 1.17879e+07 890.166
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1426.96 1426.96 1491.75 1491.75
3 1356.52 1356.52 1421.31 1421.31
13 763.596 763.596 828.386 828.386
200000 8.32451e+06 763.596 8.32458e+06 828.386
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3256.34 3256.34 3310.41 3310.41
5 2082.27 2082.27 2136.34 2136.34
7 1557.35 1557.35 1611.42 1611.42
23 1275.03 1275.03 1329.1 1329.1
200000 1.23235e+07 1275.03 1.23235e+07 1329.1
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2190.33 2190.33 2098.81 2098.81
7 1104.15 1104.15 1012.63 1012.63
15 1005.21 1005.21 913.689 913.689
49 742.875 742.875 651.355 651.355
65 711.518 711.518 619.998 619.998
200000 7.03391e+06 711.518 7.03382e+06 619.998
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2181.25 2181.25 2203.88 2203.88
2 1440.05 1440.05 1462.68 1462.68
4 1115.74 1115.74 1138.37 1138.37
11 658.041 658.041 680.671 680.671
200000 5.65039e+06 658.041 5.65042e+06 680.671
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1432.51 1432.51 1448.05 1448.05
28 1424.24 1424.24 1439.78 1439.78
41 1421.15 1421.15 1436.69 1436.69
42 1127.98 1127.98 1143.52 1143.52
200000 5.32872e+06 1127.98 5.32874e+06 1143.52
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4882.99 4882.99 4506.48 4506.48
2 2192.34 2192.34 1815.83 1815.83
11 1947.07 1947.07 1570.56 1570.56
12 1716.71 1716.71 1340.2 1340.2
17 1550.94 1550.94 1174.43 1174.43
30 981.277 981.277 604.767 604.767
67 968.392 968.392 591.882 591.882
200000 1.85683e+07 968.392 1.85679e+07 591.882
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2600.44 2600.44 2996.48 2996.48
3 2329.33 2329.33 2725.37 2725.37
8 1749.97 1749.97 2146.01 2146.01
9 1314.42 1314.42 1710.46 1710.46
10 1289.37 1289.37 1685.41 1685.41
16 1017.27 1017.27 1413.31 1413.31
20 930.046 930.046 1326.09 1326.09
33 915.599 915.599 1311.64 1311.64
34 895.378 895.378 1291.42 1291.42
52 801.678 801.678 1197.72 1197.72
60 683.987 683.987 1080.03 1080.03
63 434.853 434.853 830.893 830.893
200000 1.26493e+07 434.853 1.26497e+07 830.893
