"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 562225 562225 562170 562170
13 225409 225409 225354 225354
310 208051 208051 207996 207996
313 195243 195243 195188 195188
344 70249.9 70249.9 70194.9 70194.9
629 20254.6 20254.6 20199.7 20199.7
1715 16022.6 16022.6 15967.7 15967.7
3246 15278.7 15278.7 15223.8 15223.8
10618 9147.08 9147.08 9092.14 9092.14
16602 7690.26 7690.26 7635.32 7635.32
16607 6033.83 6033.83 5978.89 5978.89
16616 5346.47 5346.47 5291.53 5291.53
16647 5159.11 5159.11 5104.17 5104.17
21118 4336.01 4336.01 4281.07 4281.07
34805 4198.39 4198.39 4143.45 4143.45
39831 3295.21 3295.21 3240.27 3240.27
39849 2211.42 2211.42 2156.48 2156.48
50050 7.22003e+07 2211.42 7.22002e+07 2156.48
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.0714e+07 1.0714e+07 1.0714e+07 1.0714e+07
3 3.396e+06 3.396e+06 3.39606e+06 3.39606e+06
4 2.93089e+06 2.93089e+06 2.93095e+06 2.93095e+06
5 703909 703909 703968 703968
11 94965.4 94965.4 95024.5 95024.5
1302 92083.1 92083.1 92142.3 92142.3
1307 32712.1 32712.1 32771.2 32771.2
1310 11378.3 11378.3 11437.4 11437.4
1334 8598.23 8598.23 8657.36 8657.36
1403 4626.3 4626.3 4685.43 4685.43
3905 4437.65 4437.65 4496.78 4496.78
3912 4388.38 4388.38 4447.51 4447.51
7001 526.316 526.316 585.446 585.446
7024 327.527 327.527 386.657 386.657
9526 284.535 284.535 343.665 343.665
50050 3.91371e+07 284.535 3.91371e+07 343.665
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.70381e+07 2.70381e+07 2.70376e+07 2.70376e+07
2 799701 799701 799209 799209
3 589344 589344 588852 588852
4 533251 533251 532759 532759
15 335856 335856 335365 335365
30 171137 171137 170645 170645
104 19058 19058 18566.4 18566.4
223 13490 13490 12998.5 12998.5
1322 7548.74 7548.74 7057.21 7057.21
3835 5739.42 5739.42 5247.89 5247.89
3843 5339.48 5339.48 4847.95 4847.95
5741 3229.83 3229.83 2738.3 2738.3
11605 2475.14 2475.14 1983.61 1983.61
20334 797.715 797.715 306.185 306.185
20424 625.032 625.032 133.502 133.502
20428 314.11 314.11 -177.42 -177.42
20731 239.943 239.943 -251.587 -251.587
30425 101.756 101.756 -389.774 -389.774
50050 976433 101.756 975941 -389.774
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.52638e+07 1.52638e+07 1.52636e+07 1.52636e+07
2 1.19383e+07 1.19383e+07 1.19381e+07 1.19381e+07
7 7.95836e+06 7.95836e+06 7.95819e+06 7.95819e+06
8 3.59561e+06 3.59561e+06 3.59544e+06 3.59544e+06
9 115880 115880 115709 115709
19 102944 102944 102773 102773
403 94115 94115 93944.8 93944.8
426 16853.3 16853.3 16683.1 16683.1
1133 12328.7 12328.7 12158.5 12158.5
1211 9825.55 9825.55 9655.35 9655.35
1612 1440.41 1440.41 1270.21 1270.21
4049 1255.02 1255.02 1084.82 1084.82
9303 511.499 511.499 341.299 341.299
18703 124.801 124.801 -45.3987 -45.3987
45111 123.517 123.517 -46.6825 -46.6825
50050 383732 123.517 383562 -46.6825
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.81435e+07 1.81435e+07 1.8143e+07 1.8143e+07
3 580408 580408 579938 579938
50 395097 395097 394628 394628
322 280373 280373 279903 279903
403 155991 155991 155521 155521
544 113176 113176 112706 112706
546 47687.3 47687.3 47217.5 47217.5
2433 36527.5 36527.5 36057.7 36057.7
2531 32996.4 32996.4 32526.6 32526.6
3123 21929.6 21929.6 21459.9 21459.9
3142 6482.94 6482.94 6013.19 6013.19
10201 3783.8 3783.8 3314.05 3314.05
50050 2.54693e+07 3783.8 2.54688e+07 3314.05
