"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5.30106e+06 5.30106e+06 5.30114e+06 5.30114e+06
2 117780 117780 117856 117856
15 65246.3 65246.3 65322.6 65322.6
18 34489.7 34489.7 34566 34566
50 985.02 985.02 1061.29 1061.29
240 64.7213 64.7213 140.991 140.991
1530 51.8222 51.8222 128.092 128.092
5039 36.6331 36.6331 112.903 112.903
13406 25.9104 25.9104 102.18 102.18
33507 10.642 10.642 86.912 86.912
50050 1882.26 10.642 1958.53 86.912
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 186580 186580 186558 186558
12 77777.8 77777.8 77755.2 77755.2
115 65013.4 65013.4 64990.8 64990.8
301 32917.2 32917.2 32894.6 32894.6
543 32603.5 32603.5 32580.9 32580.9
1105 2656.17 2656.17 2633.62 2633.62
1112 775.988 775.988 753.438 753.438
1224 43.0661 43.0661 20.5161 20.5161
50050 85100.2 43.0661 85077.6 20.5161
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 950815 950815 950829 950829
8 495680 495680 495694 495694
21 168643 168643 168657 168657
33 128865 128865 128879 128879
37 32069.8 32069.8 32083.4 32083.4
127 20350.5 20350.5 20364.2 20364.2
237 513.305 513.305 526.965 526.965
1130 228.205 228.205 241.865 241.865
1540 26.1785 26.1785 39.8385 39.8385
6004 12.8727 12.8727 26.5327 26.5327
50050 3.51625e+07 12.8727 3.51625e+07 26.5327
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.10271e+06 9.10271e+06 9.10365e+06 9.10365e+06
3 4.94338e+06 4.94338e+06 4.94432e+06 4.94432e+06
5 3.0186e+06 3.0186e+06 3.01953e+06 3.01953e+06
7 2.00225e+06 2.00225e+06 2.00319e+06 2.00319e+06
12 1.29828e+06 1.29828e+06 1.29922e+06 1.29922e+06
19 703980 703980 704918 704918
34 165677 165677 166615 166615
45 42144.6 42144.6 43082.5 43082.5
118 1870.29 1870.29 2808.13 2808.13
226 1514.24 1514.24 2452.08 2452.08
419 78.8455 78.8455 1016.69 1016.69
3521 51.9222 51.9222 989.762 989.762
3547 48.0265 48.0265 985.866 985.866
50050 5.43334e+07 48.0265 5.43343e+07 985.866
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.93145e+07 1.93145e+07 1.93145e+07 1.93145e+07
2 1.18142e+07 1.18142e+07 1.18141e+07 1.18141e+07
5 1.17931e+07 1.17931e+07 1.17931e+07 1.17931e+07
6 2.03625e+06 2.03625e+06 2.03617e+06 2.03617e+06
8 259952 259952 259873 259873
11 225375 225375 225296 225296
20 3410.58 3410.58 3331.86 3331.86
132 1084.59 1084.59 1005.87 1005.87
321 289.112 289.112 210.392 210.392
347 80.6165 80.6165 1.89648 1.89648
2731 75.3609 75.3609 -3.35911 -3.35911
2735 20.2611 20.2611 -58.4589 -58.4589
50050 5.70206e+06 20.2611 5.70198e+06 -58.4589
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.63551e+07 1.63551e+07 1.63545e+07 1.63545e+07
2 1.594e+07 1.594e+07 1.59394e+07 1.59394e+07
4 1.05307e+06 1.05307e+06 1.05247e+06 1.05247e+06
5 359303 359303 358704 358704
9 28383.1 28383.1 27784.6 27784.6
10 9179.97 9179.97 8581.54 8581.54
29 4747.55 4747.55 4149.12 4149.12
149 4036.35 4036.35 3437.92 3437.92
218 526.113 526.113 -72.3165 -72.3165
2722 162.615 162.615 -435.815 -435.815
2813 6.33885 6.33885 -592.091 -592.091
50050 4.77921e+07 6.33885 4.77915e+07 -592.091
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.41268e+06 4.41268e+06 4.41259e+06 4.41259e+06
6 4.03971e+06 4.03971e+06 4.03962e+06 4.03962e+06
9 2.07145e+06 2.07145e+06 2.07137e+06 2.07137e+06
13 483323 483323 483238 483238
19 272931 272931 272846 272846
213 246148 246148 246063 246063
226 5740.27 5740.27 5654.85 5654.85
348 3743.82 3743.82 3658.4 3658.4
910 3720.49 3720.49 3635.07 3635.07
924 2505.03 2505.03 2419.61 2419.61
929 159.118 159.118 73.698 73.698
6220 21.2221 21.2221 -64.1979 -64.1979
26123 17.9886 17.9886 -67.4314 -67.4314
50050 1.23263e+06 17.9886 1.23255e+06 -67.4314
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.37945e+06 2.37945e+06 2.37964e+06 2.37964e+06
2 490026 490026 490219 490219
3 33974.1 33974.1 34167.4 34167.4
310 21438.9 21438.9 21632.2 21632.2
317 709.079 709.079 902.329 902.329
1208 706.952 706.952 900.202 900.202
1407 595.144 595.144 788.394 788.394
1423 308.802 308.802 502.052 502.052
2925 180.437 180.437 373.687 373.687
45016 166.204 166.204 359.454 359.454
50050 268796 166.204 268989 359.454
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.99318e+06 9.99318e+06 9.993e+06 9.993e+06
2 3.99096e+06 3.99096e+06 3.99078e+06 3.99078e+06
3 1.1589e+06 1.1589e+06 1.15871e+06 1.15871e+06
8 65044.4 65044.4 64862.9 64862.9
48 2359.25 2359.25 2177.75 2177.75
141 1196.03 1196.03 1014.53 1014.53
424 765.36 765.36 583.86 583.86
441 133.449 133.449 -48.0509 -48.0509
1414 129.089 129.089 -52.411 -52.411
1439 89.3227 89.3227 -92.1773 -92.1773
2815 78.4252 78.4252 -103.075 -103.075
2835 48.3935 48.3935 -133.106 -133.106
4250 26.5998 26.5998 -154.9 -154.9
21602 13.4267 13.4267 -168.073 -168.073
21613 12.4644 12.4644 -169.036 -169.036
21618 11.3771 11.3771 -170.123 -170.123
21642 6.89701 6.89701 -174.603 -174.603
50050 1.4888e+07 6.89701 1.48878e+07 -174.603
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.73181e+06 6.73181e+06 6.73226e+06 6.73226e+06
4 12638.4 12638.4 13091.1 13091.1
401 247.79 247.79 700.41 700.41
1704 127.897 127.897 580.517 580.517
6324 119.941 119.941 572.561 572.561
6347 49.564 49.564 502.184 502.184
50050 381445 49.564 381898 502.184
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.92401e+07 3.92401e+07 3.924e+07 3.924e+07
2 1.00279e+07 1.00279e+07 1.00278e+07 1.00278e+07
4 1.00383e+06 1.00383e+06 1.00371e+06 1.00371e+06
9 6172.21 6172.21 6053.75 6053.75
241 2240.73 2240.73 2122.27 2122.27
616 172.739 172.739 54.2789 54.2789
626 48.7436 48.7436 -69.7164 -69.7164
641 46.9234 46.9234 -71.5366 -71.5366
3537 14.5062 14.5062 -103.954 -103.954
3550 13.7193 13.7193 -104.741 -104.741
11928 13.1112 13.1112 -105.349 -105.349
50050 5.3236e+06 13.1112 5.32349e+06 -105.349
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5.89124e+06 5.89124e+06 5.89134e+06 5.89134e+06
3 1.40382e+06 1.40382e+06 1.40392e+06 1.40392e+06
6 860.443 860.443 960.173 960.173
1412 448.986 448.986 548.716 548.716
1415 222.683 222.683 322.413 322.413
1440 82.9931 82.9931 182.723 182.723
6801 70.6669 70.6669 170.397 170.397
15108 30.1096 30.1096 129.84 129.84
16042 13.9938 13.9938 113.724 113.724
38021 13.9054 13.9054 113.635 113.635
50050 2.32823e+06 13.9054 2.32833e+06 113.635
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.02455e+06 2.02455e+06 2.02459e+06 2.02459e+06
23 700811 700811 700851 700851
32 3579.74 3579.74 3620.18 3620.18
717 1397.28 1397.28 1437.72 1437.72
723 125.314 125.314 165.754 165.754
3336 122.575 122.575 163.015 163.015
3337 69.3829 69.3829 109.823 109.823
7222 58.1426 58.1426 98.5826 98.5826
16003 55.7647 55.7647 96.2047 96.2047
24905 54.0928 54.0928 94.5328 94.5328
24917 23.0306 23.0306 63.4706 63.4706
24928 22.5308 22.5308 62.9708 62.9708
50050 2.06819e+06 22.5308 2.06823e+06 62.9708
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.02066e+07 1.02066e+07 1.02065e+07 1.02065e+07
4 6.89677e+06 6.89677e+06 6.89664e+06 6.89664e+06
6 7612.15 7612.15 7490.55 7490.55
233 58.1659 58.1659 -63.4341 -63.4341
1310 53.839 53.839 -67.761 -67.761
2916 29.9339 29.9339 -91.6661 -91.6661
3504 14.0383 14.0383 -107.562 -107.562
4527 11.9578 11.9578 -109.642 -109.642
50050 1.5594e+07 11.9578 1.55938e+07 -109.642
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2556.92 2556.92 2518.81 2518.81
11 1603.08 1603.08 1564.97 1564.97
517 961.454 961.454 923.344 923.344
524 940.573 940.573 902.463 902.463
2501 253.507 253.507 215.397 215.397
2548 183.777 183.777 145.667 145.667
4507 92.7727 92.7727 54.6627 54.6627
9604 67.4066 67.4066 29.2966 29.2966
9615 54.9933 54.9933 16.8833 16.8833
9626 29.6995 29.6995 -8.41045 -8.41045
50050 2.33817e+07 29.6995 2.33817e+07 -8.41045
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.13584e+07 1.13584e+07 1.13582e+07 1.13582e+07
2 1.55441e+06 1.55441e+06 1.55426e+06 1.55426e+06
5 139134 139134 138980 138980
18 44717.5 44717.5 44563 44563
123 1235.36 1235.36 1080.81 1080.81
305 223.443 223.443 68.8925 68.8925
412 87.7616 87.7616 -66.7884 -66.7884
414 86.2527 86.2527 -68.2973 -68.2973
3003 79.6244 79.6244 -74.9256 -74.9256
3008 42.4883 42.4883 -112.062 -112.062
3012 32.6833 32.6833 -121.867 -121.867
9521 22.8444 22.8444 -131.706 -131.706
50050 4.73944e+06 22.8444 4.73929e+06 -131.706
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.35042e+07 2.35042e+07 2.35042e+07 2.35042e+07
4 8.32341e+06 8.32341e+06 8.3234e+06 8.3234e+06
6 163408 163408 163395 163395
40 70813.3 70813.3 70800.6 70800.6
221 3843.79 3843.79 3831.09 3831.09
333 2137.16 2137.16 2124.46 2124.46
341 348.422 348.422 335.722 335.722
1419 205.366 205.366 192.666 192.666
4621 144.303 144.303 131.603 131.603
5647 128.641 128.641 115.941 115.941
35105 121.333 121.333 108.633 108.633
35147 90.5952 90.5952 77.8952 77.8952
50050 2.29677e+07 90.5952 2.29676e+07 77.8952
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5.61142e+07 5.61142e+07 5.6114e+07 5.6114e+07
2 2.52195e+07 2.52195e+07 2.52194e+07 2.52194e+07
4 4.20677e+06 4.20677e+06 4.20659e+06 4.20659e+06
7 52623.2 52623.2 52442.5 52442.5
208 3101.76 3101.76 2921.12 2921.12
437 1109.61 1109.61 928.967 928.967
706 976.217 976.217 795.577 795.577
912 749.109 749.109 568.469 568.469
1107 384.138 384.138 203.498 203.498
3306 295.538 295.538 114.898 114.898
3321 228.308 228.308 47.6676 47.6676
3332 184.554 184.554 3.91384 3.91384
3341 92.3706 92.3706 -88.2694 -88.2694
10605 85.9262 85.9262 -94.7138 -94.7138
10619 81.0817 81.0817 -99.5583 -99.5583
50050 1.72896e+06 81.0817 1.72878e+06 -99.5583
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.49928e+06 4.49928e+06 4.49929e+06 4.49929e+06
2 2.4521e+06 2.4521e+06 2.45211e+06 2.45211e+06
3 1.60536e+06 1.60536e+06 1.60537e+06 1.60537e+06
9 200128 200128 200137 200137
46 53973.5 53973.5 53982.9 53982.9
302 234.249 234.249 243.629 243.629
303 39.5254 39.5254 48.9054 48.9054
50050 1.16698e+07 39.5254 1.16698e+07 48.9054
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.52156e+06 2.52156e+06 2.52158e+06 2.52158e+06
3 2.49604e+06 2.49604e+06 2.49605e+06 2.49605e+06
7 117470 117470 117480 117480
9 9947.83 9947.83 9958.15 9958.15
16 5352.11 5352.11 5362.43 5362.43
113 3230.76 3230.76 3241.08 3241.08
147 443.302 443.302 453.622 453.622
326 161.626 161.626 171.946 171.946
615 95.6085 95.6085 105.929 105.929
623 85.6689 85.6689 95.9889 95.9889
626 85.3357 85.3357 95.6557 95.6557
3305 46.5358 46.5358 56.8558 56.8558
3308 21.6621 21.6621 31.9821 31.9821
50050 1.82365e+06 21.6621 1.82366e+06 31.9821
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 24924.6 24924.6 25039.8 25039.8
15 4457.37 4457.37 4572.54 4572.54
42 4218.43 4218.43 4333.6 4333.6
412 2622.5 2622.5 2737.67 2737.67
502 376.104 376.104 491.274 491.274
525 299.128 299.128 414.298 414.298
544 111.289 111.289 226.459 226.459
1606 35.6892 35.6892 150.859 150.859
6233 20.4325 20.4325 135.603 135.603
50050 3.47101e+06 20.4325 3.47113e+06 135.603
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 767691 767691 766691 766691
4 216921 216921 215921 215921
7 135312 135312 134312 134312
17 132905 132905 131905 131905
18 19825.6 19825.6 18825.6 18825.6
22 15901.6 15901.6 14901.6 14901.6
50 15390.2 15390.2 14390.2 14390.2
141 26.9404 26.9404 -973.06 -973.06
50050 8.68579e+06 26.9404 8.68479e+06 -973.06
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7133.71 7133.71 7242.93 7242.93
50 4589.5 4589.5 4698.72 4698.72
506 307.424 307.424 416.644 416.644
828 94.6075 94.6075 203.828 203.828
3603 51.7287 51.7287 160.949 160.949
50050 2.26474e+07 51.7287 2.26475e+07 160.949
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.36661e+07 3.36661e+07 3.3666e+07 3.3666e+07
3 1.95885e+06 1.95885e+06 1.95873e+06 1.95873e+06
7 146043 146043 145923 145923
15 60404.7 60404.7 60284 60284
