"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 191.73 191.73 139.38 139.38
2 3.93491 3.93491 -48.4151 -48.4151
4 1.51969 1.51969 -50.8303 -50.8303
21 0.892661 0.892661 -51.4573 -51.4573
106 0.548698 0.548698 -51.8013 -51.8013
146 0.421091 0.421091 -51.9289 -51.9289
711 0.042209 0.042209 -52.3078 -52.3078
2047 0.0216968 0.0216968 -52.3283 -52.3283
2116 0.00643883 0.00643883 -52.3436 -52.3436
2718 0.00555728 0.00555728 -52.3444 -52.3444
3901 0.005015 0.005015 -52.345 -52.345
3921 0.00406594 0.00406594 -52.3459 -52.3459
4104 0.00400186 0.00400186 -52.346 -52.346
4116 0.00128586 0.00128586 -52.3487 -52.3487
9043 0.00119668 0.00119668 -52.3488 -52.3488
11720 0.000981129 0.000981129 -52.349 -52.349
20050 4.60456 0.000981129 -47.7454 -52.349
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 18.4539 18.4539 -161.086 -161.086
2 4.49024 4.49024 -175.05 -175.05
4 1.18449 1.18449 -178.356 -178.356
49 1.10337 1.10337 -178.437 -178.437
305 0.507343 0.507343 -179.033 -179.033
306 0.275278 0.275278 -179.265 -179.265
342 0.180759 0.180759 -179.359 -179.359
649 0.175333 0.175333 -179.365 -179.365
713 0.152205 0.152205 -179.388 -179.388
825 0.0354401 0.0354401 -179.505 -179.505
1011 0.010454 0.010454 -179.53 -179.53
1901 0.00911816 0.00911816 -179.531 -179.531
2513 0.00766552 0.00766552 -179.532 -179.532
2518 0.00319951 0.00319951 -179.537 -179.537
3504 0.00142405 0.00142405 -179.539 -179.539
3515 0.000730694 0.000730694 -179.539 -179.539
20050 3.33271 0.000730694 -176.207 -179.539
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 56.0916 56.0916 133.402 133.402
4 0.692854 0.692854 78.0029 78.0029
8 0.513257 0.513257 77.8233 77.8233
31 0.343867 0.343867 77.6539 77.6539
301 0.303154 0.303154 77.6132 77.6132
345 0.156522 0.156522 77.4665 77.4665
801 0.0445335 0.0445335 77.3545 77.3545
829 0.0125442 0.0125442 77.3225 77.3225
4604 0.00894413 0.00894413 77.3189 77.3189
5201 0.00546275 0.00546275 77.3155 77.3155
8645 0.00255983 0.00255983 77.3126 77.3126
9616 0.00162881 0.00162881 77.3116 77.3116
20050 676.659 0.00162881 753.969 77.3116
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 288.083 288.083 328.003 328.003
2 2.84012 2.84012 42.7601 42.7601
7 2.24133 2.24133 42.1613 42.1613
19 2.20798 2.20798 42.128 42.128
45 1.44283 1.44283 41.3628 41.3628
47 0.883134 0.883134 40.8031 40.8031
101 0.566069 0.566069 40.4861 40.4861
1908 0.391767 0.391767 40.3118 40.3118
1909 0.107328 0.107328 40.0273 40.0273
2217 0.0113192 0.0113192 39.9313 39.9313
4807 0.00302399 0.00302399 39.923 39.923
5412 0.000946786 0.000946786 39.9209 39.9209
20050 7.28029 0.000946786 47.2003 39.9209
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.89453 2.89453 -53.7155 -53.7155
4 1.506 1.506 -55.104 -55.104
12 0.917587 0.917587 -55.6924 -55.6924
245 0.481446 0.481446 -56.1286 -56.1286
501 0.437328 0.437328 -56.1727 -56.1727
502 0.329259 0.329259 -56.2807 -56.2807
537 0.0300863 0.0300863 -56.5799 -56.5799
2407 0.00600285 0.00600285 -56.604 -56.604
2823 0.00582848 0.00582848 -56.6042 -56.6042
10509 0.0016838 0.0016838 -56.6083 -56.6083
10542 0.0012159 0.0012159 -56.6088 -56.6088
20050 1465.43 0.0012159 1408.82 -56.6088
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 46.7212 46.7212 98.0612 98.0612
8 2.22377 2.22377 53.5638 53.5638
11 1.21964 1.21964 52.5596 52.5596
15 0.383993 0.383993 51.724 51.724
616 0.325098 0.325098 51.6651 51.6651
625 0.140913 0.140913 51.4809 51.4809
1132 0.0595614 0.0595614 51.3996 51.3996
1332 0.00449072 0.00449072 51.3445 51.3445
6114 0.00346671 0.00346671 51.3435 51.3435
6143 0.00345497 0.00345497 51.3435 51.3435
6239 0.0029331 0.0029331 51.3429 51.3429
16122 0.0018434 0.0018434 51.3418 51.3418
16134 0.00170632 0.00170632 51.3417 51.3417
17203 0.000966093 0.000966093 51.341 51.341
17209 0.00067221 0.00067221 51.3407 51.3407
17233 0.000337093 0.000337093 51.3403 51.3403
20050 0.0555596 0.000337093 51.3956 51.3403
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 213.179 213.179 88.779 88.779
2 5.61493 5.61493 -118.785 -118.785
7 0.538997 0.538997 -123.861 -123.861
49 0.419564 0.419564 -123.98 -123.98
235 0.00749421 0.00749421 -124.393 -124.393
442 0.00240516 0.00240516 -124.398 -124.398
20050 0.731379 0.00240516 -123.669 -124.398
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 107.986 107.986 108.586 108.586
4 5.34872 5.34872 5.94872 5.94872
7 2.40402 2.40402 3.00402 3.00402
14 1.20461 1.20461 1.80461 1.80461
109 0.324417 0.324417 0.924417 0.924417
425 0.0562567 0.0562567 0.656257 0.656257
519 0.0440866 0.0440866 0.644087 0.644087
1246 0.0402603 0.0402603 0.64026 0.64026
1708 0.00694668 0.00694668 0.606947 0.606947
2003 0.00481165 0.00481165 0.604812 0.604812
3342 0.00211629 0.00211629 0.602116 0.602116
20050 69.5175 0.00211629 70.1175 0.602116
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 90.967 90.967 50.257 50.257
2 0.23503 0.23503 -40.475 -40.475
15 0.160289 0.160289 -40.5497 -40.5497
308 0.0121912 0.0121912 -40.6978 -40.6978
2547 0.00340948 0.00340948 -40.7066 -40.7066
5747 0.0028757 0.0028757 -40.7071 -40.7071
13306 0.00277652 0.00277652 -40.7072 -40.7072
13325 0.00118057 0.00118057 -40.7088 -40.7088
13348 0.000808622 0.000808622 -40.7092 -40.7092
20050 7.27287 0.000808622 -33.4371 -40.7092
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 259.444 259.444 1073.76 1073.76
2 0.5781 0.5781 814.898 814.898
16 0.164566 0.164566 814.485 814.485
2115 0.0250838 0.0250838 814.345 814.345
2326 0.0200851 0.0200851 814.34 814.34
2339 0.011223 0.011223 814.331 814.331
2348 0.00544294 0.00544294 814.325 814.325
2912 0.00247396 0.00247396 814.322 814.322
11411 0.00110978 0.00110978 814.321 814.321
20050 15.4197 0.00110978 829.74 814.321
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.78249 2.78249 -59.2675 -59.2675
3 2.42928 2.42928 -59.6207 -59.6207
5 0.539454 0.539454 -61.5105 -61.5105
46 0.264335 0.264335 -61.7857 -61.7857
319 0.00664508 0.00664508 -62.0434 -62.0434
1402 0.00545975 0.00545975 -62.0445 -62.0445
1447 0.00538872 0.00538872 -62.0446 -62.0446
14905 0.00439268 0.00439268 -62.0456 -62.0456
14918 0.0029979 0.0029979 -62.047 -62.047
14939 0.000435583 0.000435583 -62.0496 -62.0496
20050 0.360555 0.000435583 -61.6894 -62.0496
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 51.433 51.433 8.15297 8.15297
2 0.904228 0.904228 -42.3758 -42.3758
36 0.0998571 0.0998571 -43.1801 -43.1801
405 0.0308074 0.0308074 -43.2492 -43.2492
1214 0.0107225 0.0107225 -43.2693 -43.2693
2144 0.00927611 0.00927611 -43.2707 -43.2707
10127 0.00590855 0.00590855 -43.2741 -43.2741
10139 0.00235461 0.00235461 -43.2776 -43.2776
10842 0.000656 0.000656 -43.2793 -43.2793
