"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2893.65 2893.65 3893.65 3893.65
2 1540.57 1540.57 2540.57 2540.57
6 998.701 998.701 1998.7 1998.7
8 967.94 967.94 1967.94 1967.94
9 853.516 853.516 1853.52 1853.52
410 689.866 689.866 1689.87 1689.87
650 652.06 652.06 1652.06 1652.06
1004 544.41 544.41 1544.41 1544.41
1702 429.35 429.35 1429.35 1429.35
3736 415.529 415.529 1415.53 1415.53
5503 377.078 377.078 1377.08 1377.08
5522 336.223 336.223 1336.22 1336.22
25320 316.782 316.782 1316.78 1316.78
36341 310.584 310.584 1310.58 1310.58
41324 279.381 279.381 1279.38 1279.38
46549 274.792 274.792 1274.79 1274.79
47311 265.877 265.877 1265.88 1265.88
47610 252.484 252.484 1252.48 1252.48
51949 251.49 251.49 1251.49 1251.49
60407 229.979 229.979 1229.98 1229.98
60412 228.754 228.754 1228.75 1228.75
64324 221.105 221.105 1221.1 1221.1
65224 212.901 212.901 1212.9 1212.9
65526 205.948 205.948 1205.95 1205.95
137102 202.539 202.539 1202.54 1202.54
170430 200.437 200.437 1200.44 1200.44
186604 196.284 196.284 1196.28 1196.28
199207 191.957 191.957 1191.96 1191.96
200050 1871.76 191.957 2871.76 1191.96
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3044.27 3044.27 3114.3 3114.3
2 1522.94 1522.94 1592.97 1592.97
11 1110.64 1110.64 1180.67 1180.67
23 1032.56 1032.56 1102.59 1102.59
33 866.481 866.481 936.511 936.511
44 810.027 810.027 880.057 880.057
226 684.287 684.287 754.317 754.317
703 677.417 677.417 747.447 747.447
711 652.295 652.295 722.325 722.325
712 612.63 612.63 682.66 682.66
714 530.306 530.306 600.336 600.336
1101 525.245 525.245 595.275 595.275
1227 515.147 515.147 585.177 585.177
2637 504.985 504.985 575.015 575.015
3619 466.467 466.467 536.497 536.497
3627 447.746 447.746 517.776 517.776
4202 353.601 353.601 423.631 423.631
4224 353.419 353.419 423.449 423.449
5422 349.754 349.754 419.784 419.784
6611 333.688 333.688 403.718 403.718
9806 290.87 290.87 360.9 360.9
9824 256.389 256.389 326.419 326.419
11347 255.19 255.19 325.22 325.22
15448 236.338 236.338 306.368 306.368
26311 219.214 219.214 289.244 289.244
40228 211.387 211.387 281.417 281.417
44102 193.991 193.991 264.021 264.021
44249 193.447 193.447 263.477 263.477
75315 188.246 188.246 258.276 258.276
75325 180.142 180.142 250.172 250.172
75335 176.796 176.796 246.826 246.826
118409 150.853 150.853 220.883 220.883
118412 141.481 141.481 211.511 211.511
200050 3518.7 141.481 3588.73 211.511
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1410.14 1410.14 1361.92 1361.92
8 1020.55 1020.55 972.328 972.328
131 1012.63 1012.63 964.406 964.406
203 929.296 929.296 881.076 881.076
211 922.511 922.511 874.291 874.291
506 870.748 870.748 822.528 822.528
629 732.739 732.739 684.519 684.519
649 488.722 488.722 440.502 440.502
1935 484.278 484.278 436.058 436.058
2050 480.516 480.516 432.296 432.296
2149 479.959 479.959 431.739 431.739
3835 414.676 414.676 366.456 366.456
4038 384.47 384.47 336.25 336.25
4404 377.148 377.148 328.928 328.928
4423 363.588 363.588 315.368 315.368
4444 335.947 335.947 287.727 287.727
7330 329.169 329.169 280.949 280.949
7840 313.164 313.164 264.944 264.944
8503 302.229 302.229 254.009 254.009
11930 300.857 300.857 252.637 252.637
12834 297.891 297.891 249.671 249.671
13620 288.86 288.86 240.64 240.64
13630 267.119 267.119 218.899 218.899
15711 253.991 253.991 205.771 205.771
23905 234.326 234.326 186.106 186.106
36605 226.007 226.007 177.787 177.787
37728 224.173 224.173 175.953 175.953
46117 219.608 219.608 171.388 171.388
46412 211.893 211.893 163.673 163.673
46444 207.03 207.03 158.81 158.81
47343 195.405 195.405 147.185 147.185
66212 189.539 189.539 141.319 141.319
79424 185.562 185.562 137.342 137.342
102514 181.583 181.583 133.363 133.363
108017 180.603 180.603 132.383 132.383
155413 180.432 180.432 132.212 132.212
176334 162.996 162.996 114.776 114.776
200050 561.363 162.996 513.143 114.776
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2584.57 2584.57 2610.04 2610.04
2 1872.09 1872.09 1897.56 1897.56
4 1208.86 1208.86 1234.33 1234.33
7 932.313 932.313 957.783 957.783
15 902.534 902.534 928.004 928.004
42 899.915 899.915 925.385 925.385
417 893.288 893.288 918.758 918.758
446 739.663 739.663 765.133 765.133
520 716.125 716.125 741.595 741.595
738 574.88 574.88 600.35 600.35
947 503.051 503.051 528.521 528.521
1631 481.036 481.036 506.506 506.506
1706 456.618 456.618 482.088 482.088
2010 432.691 432.691 458.161 458.161
2036 427.051 427.051 452.521 452.521
2109 426.057 426.057 451.527 451.527
2112 347.792 347.792 373.262 373.262
7535 311.482 311.482 336.952 336.952
12012 238.216 238.216 263.686 263.686
30512 213.078 213.078 238.548 238.548
44414 204.262 204.262 229.732 229.732
44430 186.242 186.242 211.712 211.712
55628 158.28 158.28 183.75 183.75
200050 4308.68 158.28 4334.15 183.75
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1339.75 1339.75 1238.94 1238.94
4 1111.45 1111.45 1010.64 1010.64
16 882.064 882.064 781.254 781.254
49 674.039 674.039 573.229 573.229
507 587.577 587.577 486.767 486.767
547 536.37 536.37 435.56 435.56
1623 496.534 496.534 395.724 395.724
2609 468.169 468.169 367.359 367.359
2628 445.471 445.471 344.661 344.661
4217 428.303 428.303 327.493 327.493
4505 427.98 427.98 327.17 327.17
5225 398.554 398.554 297.744 297.744
8118 361.243 361.243 260.433 260.433
8710 326.62 326.62 225.81 225.81
10114 307.595 307.595 206.785 206.785
10820 291.094 291.094 190.284 190.284
11124 268.583 268.583 167.773 167.773
14015 255.337 255.337 154.527 154.527
16917 248.794 248.794 147.984 147.984
20413 245.213 245.213 144.403 144.403
22419 241.478 241.478 140.668 140.668
27817 233.547 233.547 132.737 132.737
31317 223.99 223.99 123.18 123.18
34111 222.004 222.004 121.194 121.194
38035 214.496 214.496 113.686 113.686
40301 192.651 192.651 91.8412 91.8412
75235 188.537 188.537 87.7268 87.7268
124049 184.812 184.812 84.0019 84.0019
134014 182.873 182.873 82.0634 82.0634
175731 180.603 180.603 79.7926 79.7926
200050 965.367 180.603 864.557 79.7926
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1434.51 1434.51 1517.84 1517.84
18 887.2 887.2 970.53 970.53
238 854.712 854.712 938.042 938.042
449 811.803 811.803 895.133 895.133
508 771.411 771.411 854.741 854.741
534 614.452 614.452 697.782 697.782
3120 541.779 541.779 625.109 625.109
3802 510.48 510.48 593.81 593.81
3828 452.188 452.188 535.518 535.518
5305 445.294 445.294 528.624 528.624
5306 435.106 435.106 518.436 518.436
5401 414.985 414.985 498.315 498.315
6204 414.178 414.178 497.508 497.508
7121 410.211 410.211 493.541 493.541
8543 409.604 409.604 492.934 492.934
8816 403.226 403.226 486.556 486.556
8834 351.586 351.586 434.916 434.916
9039 347.17 347.17 430.5 430.5
9107 304.679 304.679 388.009 388.009
9108 302.44 302.44 385.77 385.77
9145 282.437 282.437 365.767 365.767
11735 274.05 274.05 357.38 357.38
17502 258.792 258.792 342.122 342.122
17545 253.632 253.632 336.962 336.962
20237 253.413 253.413 336.743 336.743
20240 250.431 250.431 333.761 333.761
22707 247.058 247.058 330.388 330.388
30010 238.404 238.404 321.734 321.734
35529 218.319 218.319 301.649 301.649
35548 205.305 205.305 288.635 288.635
41401 170.707 170.707 254.037 254.037
144618 158.877 158.877 242.207 242.207
200050 1304.95 158.877 1388.28 242.207
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5730.34 5730.34 5938.9 5938.9
2 3619.82 3619.82 3828.38 3828.38
4 995.945 995.945 1204.5 1204.5
7 850.022 850.022 1058.58 1058.58
