"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13.3916 13.3916 -89.1584 -89.1584
2 11.4837 11.4837 -91.0663 -91.0663
10 4.39496 4.39496 -98.155 -98.155
35 2.77533 2.77533 -99.7747 -99.7747
113 2.42646 2.42646 -100.124 -100.124
130 1.82071 1.82071 -100.729 -100.729
139 1.68178 1.68178 -100.868 -100.868
330 1.3647 1.3647 -101.185 -101.185
442 1.23038 1.23038 -101.32 -101.32
503 1.07506 1.07506 -101.475 -101.475
520 0.525798 0.525798 -102.024 -102.024
536 0.246471 0.246471 -102.304 -102.304
1025 0.0906911 0.0906911 -102.459 -102.459
1328 0.0161056 0.0161056 -102.534 -102.534
5313 0.00787017 0.00787017 -102.542 -102.542
7612 0.0065605 0.0065605 -102.543 -102.543
13328 0.000110354 0.000110354 -102.55 -102.55
20050 580910 0.000110354 580808 -102.55
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 43.8559 43.8559 115.546 115.546
2 4.49678 4.49678 76.1868 76.1868
13 1.91264 1.91264 73.6026 73.6026
25 0.496325 0.496325 72.1863 72.1863
124 0.267232 0.267232 71.9572 71.9572
310 0.0872668 0.0872668 71.7773 71.7773
707 0.0204757 0.0204757 71.7105 71.7105
2340 0.00129715 0.00129715 71.6913 71.6913
12414 0.00127092 0.00127092 71.6913 71.6913
14348 0.000506847 0.000506847 71.6905 71.6905
16228 0.000138839 0.000138839 71.6901 71.6901
20050 11.6185 0.000138839 83.3085 71.6901
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 43.6653 43.6653 257.675 257.675
2 19.5975 19.5975 233.607 233.607
3 6.75304 6.75304 220.763 220.763
24 6.59046 6.59046 220.6 220.6
31 4.57304 4.57304 218.583 218.583
32 1.16807 1.16807 215.178 215.178
232 0.334745 0.334745 214.345 214.345
346 0.113868 0.113868 214.124 214.124
1648 0.0519722 0.0519722 214.062 214.062
2717 0.0116869 0.0116869 214.022 214.022
3124 0.00485175 0.00485175 214.015 214.015
13431 0.000416388 0.000416388 214.01 214.01
20050 53.4694 0.000416388 267.479 214.01
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 23.5316 23.5316 -34.9484 -34.9484
3 8.17074 8.17074 -50.3093 -50.3093
4 4.24049 4.24049 -54.2395 -54.2395
25 1.52888 1.52888 -56.9511 -56.9511
104 0.931748 0.931748 -57.5483 -57.5483
150 0.0451727 0.0451727 -58.4348 -58.4348
546 0.0302855 0.0302855 -58.4497 -58.4497
3422 0.0100266 0.0100266 -58.47 -58.47
4732 0.00152612 0.00152612 -58.4785 -58.4785
10832 0.00125062 0.00125062 -58.4787 -58.4787
20050 3.21952 0.00125062 -55.2605 -58.4787
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 24.0015 24.0015 -589.078 -589.078
3 8.63966 8.63966 -604.44 -604.44
5 4.11682 4.11682 -608.963 -608.963
7 2.60292 2.60292 -610.477 -610.477
30 0.348833 0.348833 -612.731 -612.731
615 0.309905 0.309905 -612.77 -612.77
741 0.153681 0.153681 -612.926 -612.926
926 0.104606 0.104606 -612.975 -612.975
3212 0.0542065 0.0542065 -613.026 -613.026
3820 0.0314321 0.0314321 -613.049 -613.049
5733 0.026369 0.026369 -613.054 -613.054
7803 7.93001e-06 7.93001e-06 -613.08 -613.08
20050 679.945 7.93001e-06 66.8647 -613.08
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 9.67869 9.67869 -175.591 -175.591
3 3.06031 3.06031 -182.21 -182.21
9 0.488037 0.488037 -184.782 -184.782
28 0.208861 0.208861 -185.061 -185.061
437 0.146671 0.146671 -185.123 -185.123
501 0.041677 0.041677 -185.228 -185.228
4328 0.0308827 0.0308827 -185.239 -185.239
4349 0.0182201 0.0182201 -185.252 -185.252
4501 0.00870446 0.00870446 -185.261 -185.261
9312 0.000898904 0.000898904 -185.269 -185.269
15410 0.000101823 0.000101823 -185.27 -185.27
20050 21.9607 0.000101823 -163.309 -185.27
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12.4894 12.4894 49.9594 49.9594
7 11.7579 11.7579 49.2279 49.2279
9 7.94622 7.94622 45.4162 45.4162
10 4.81413 4.81413 42.2841 42.2841
22 0.463362 0.463362 37.9334 37.9334
43 0.222162 0.222162 37.6922 37.6922
212 0.128047 0.128047 37.598 37.598
513 0.0934669 0.0934669 37.5635 37.5635
530 0.0703805 0.0703805 37.5404 37.5404
1205 0.00120567 0.00120567 37.4712 37.4712
3611 2.14686e-05 2.14686e-05 37.47 37.47
15806 6.11784e-06 6.11784e-06 37.47 37.47
20050 270.426 6.11784e-06 307.896 37.47
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 36.62 36.62 -357.85 -357.85
2 9.98998 9.98998 -384.48 -384.48
4 1.11682 1.11682 -393.353 -393.353
19 0.976709 0.976709 -393.493 -393.493
318 0.459274 0.459274 -394.011 -394.011
507 0.0288189 0.0288189 -394.441 -394.441
1327 0.00226085 0.00226085 -394.468 -394.468
8831 0.000481982 0.000481982 -394.47 -394.47
14039 0.000133477 0.000133477 -394.47 -394.47
15516 8.35939e-06 8.35939e-06 -394.47 -394.47
20050 6.70299 8.35939e-06 -387.767 -394.47
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.75924 4.75924 -97.8608 -97.8608
8 0.677249 0.677249 -101.943 -101.943
240 0.0529535 0.0529535 -102.567 -102.567
307 0.0208862 0.0208862 -102.599 -102.599
1419 0.00783076 0.00783076 -102.612 -102.612
4716 0.00445095 0.00445095 -102.616 -102.616
10103 0.00158491 0.00158491 -102.618 -102.618
20050 6.92391 0.00158491 -95.6961 -102.618
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.72824 1.72824 274.558 274.558
39 1.68393 1.68393 274.514 274.514
303 0.871863 0.871863 273.702 273.702
327 0.674715 0.674715 273.505 273.505
332 0.625294 0.625294 273.455 273.455
401 0.447095 0.447095 273.277 273.277
417 0.43863 0.43863 273.269 273.269
516 0.423003 0.423003 273.253 273.253
528 0.396744 0.396744 273.227 273.227
825 0.303074 0.303074 273.133 273.133
835 0.199762 0.199762 273.03 273.03
838 0.0852037 0.0852037 272.915 272.915
1810 0.0387631 0.0387631 272.869 272.869
3030 0.0314649 0.0314649 272.861 272.861
5142 0.0235863 0.0235863 272.854 272.854
5344 0.0157206 0.0157206 272.846 272.846
6930 0.00654656 0.00654656 272.837 272.837
7437 0.000474794 0.000474794 272.83 272.83
12016 7.59689e-05 7.59689e-05 272.83 272.83
20050 428749 7.59689e-05 429022 272.83
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 26.0267 26.0267 22.6267 22.6267
2 23.4586 23.4586 20.0586 20.0586
4 5.01339 5.01339 1.61339 1.61339
12 0.591788 0.591788 -2.80821 -2.80821
22 0.377141 0.377141 -3.02286 -3.02286
26 0.146869 0.146869 -3.25313 -3.25313
45 0.100084 0.100084 -3.29992 -3.29992
218 0.053442 0.053442 -3.34656 -3.34656
435 0.0133307 0.0133307 -3.38667 -3.38667
7232 0.0131794 0.0131794 -3.38682 -3.38682
15141 0.00770892 0.00770892 -3.39229 -3.39229
16542 0.00298067 0.00298067 -3.39702 -3.39702
20050 8.25659 0.00298067 4.85659 -3.39702
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 312.017 312.017 126.847 126.847
2 80.4001 80.4001 -104.77 -104.77
3 1.58843 1.58843 -183.582 -183.582
7 0.335592 0.335592 -184.834 -184.834
214 0.074846 0.074846 -185.095 -185.095
1629 0.0695356 0.0695356 -185.1 -185.1
1944 0.031651 0.031651 -185.138 -185.138
3424 0.025238 0.025238 -185.145 -185.145
4813 0.00223496 0.00223496 -185.168 -185.168
20050 68.1621 0.00223496 -117.008 -185.168
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.23058 7.23058 108.571 108.571
3 5.31552 5.31552 106.656 106.656
12 4.19586 4.19586 105.536 105.536
16 1.25798 1.25798 102.598 102.598
19 1.08758 1.08758 102.428 102.428
312 0.824369 0.824369 102.164 102.164
331 0.402424 0.402424 101.742 101.742
838 0.0180887 0.0180887 101.358 101.358
4031 0.0158599 0.0158599 101.356 101.356
