"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 291.776 291.776 371.256 371.256
2 286.762 286.762 366.242 366.242
3 191.687 191.687 271.167 271.167
12 189.606 189.606 269.086 269.086
14 178.816 178.816 258.296 258.296
18 148.759 148.759 228.239 228.239
20 145.324 145.324 224.804 224.804
137 126.716 126.716 206.196 206.196
501 59.476 59.476 138.956 138.956
3248 55.3119 55.3119 134.792 134.792
3546 48.9477 48.9477 128.428 128.428
4738 43.4537 43.4537 122.934 122.934
6306 23.9828 23.9828 103.463 103.463
17834 18.3398 18.3398 97.8198 97.8198
20112 17.8833 17.8833 97.3633 97.3633
25601 14.0597 14.0597 93.5397 93.5397
25622 11.8481 11.8481 91.3281 91.3281
32031 11.557 11.557 91.037 91.037
57115 9.40039 9.40039 88.8804 88.8804
76437 6.74366 6.74366 86.2237 86.2237
92227 3.69953 3.69953 83.1795 83.1795
200050 67.8857 3.69953 147.366 83.1795
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 308.622 308.622 703.102 703.102
3 238.616 238.616 633.096 633.096
7 190.999 190.999 585.479 585.479
8 172.645 172.645 567.125 567.125
501 172.52 172.52 567 567
503 170.591 170.591 565.071 565.071
508 165.464 165.464 559.944 559.944
509 162.064 162.064 556.544 556.544
512 149.725 149.725 544.205 544.205
525 140.84 140.84 535.32 535.32
540 126.022 126.022 520.502 520.502
548 122.83 122.83 517.31 517.31
1109 104.462 104.462 498.942 498.942
2406 95.8962 95.8962 490.376 490.376
2409 84.8634 84.8634 479.343 479.343
2445 79.7703 79.7703 474.25 474.25
2929 79.0271 79.0271 473.507 473.507
3421 65.5484 65.5484 460.028 460.028
5325 64.0373 64.0373 458.517 458.517
5402 61.9114 61.9114 456.391 456.391
5404 58.2276 58.2276 452.708 452.708
5635 38.989 38.989 433.469 433.469
6725 37.8416 37.8416 432.322 432.322
9549 28.441 28.441 422.921 422.921
11042 24.4063 24.4063 418.886 418.886
13126 21.8864 21.8864 416.366 416.366
13548 21.2423 21.2423 415.722 415.722
19744 20.18 20.18 414.66 414.66
19745 12.8179 12.8179 407.298 407.298
21323 11.1145 11.1145 405.594 405.594
50405 10.0631 10.0631 404.543 404.543
74650 9.03625 9.03625 403.516 403.516
76421 8.70523 8.70523 403.185 403.185
76427 7.42221 7.42221 401.902 401.902
99827 7.37817 7.37817 401.858 401.858
137511 6.65279 6.65279 401.133 401.133
200050 149.838 6.65279 544.318 401.133
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 229.361 229.361 -17.7488 -17.7488
10 115.873 115.873 -131.237 -131.237
501 98.8251 98.8251 -148.285 -148.285
1101 79.8459 79.8459 -167.264 -167.264
1119 78.036 78.036 -169.074 -169.074
1343 76.7309 76.7309 -170.379 -170.379
1602 62.5768 62.5768 -184.533 -184.533
1613 57.2975 57.2975 -189.813 -189.813
1632 51.081 51.081 -196.029 -196.029
1644 41.027 41.027 -206.083 -206.083
5313 40.4655 40.4655 -206.644 -206.644
5319 38.4386 38.4386 -208.671 -208.671
8016 36.9789 36.9789 -210.131 -210.131
8103 29.8301 29.8301 -217.28 -217.28
8139 25.6419 25.6419 -221.468 -221.468
9134 23.9238 23.9238 -223.186 -223.186
12249 22.4605 22.4605 -224.65 -224.65
13534 17.627 17.627 -229.483 -229.483
13601 17.004 17.004 -230.106 -230.106
19322 12.2463 12.2463 -234.864 -234.864
36002 10.9074 10.9074 -236.203 -236.203
39818 6.20962 6.20962 -240.9 -240.9
121910 5.09966 5.09966 -242.01 -242.01
180948 4.40704 4.40704 -242.703 -242.703
200050 371.531 4.40704 124.421 -242.703
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 333.097 333.097 181.057 181.057
2 210.425 210.425 58.3851 58.3851
7 187.533 187.533 35.4929 35.4929
21 182.043 182.043 30.0025 30.0025
23 106.285 106.285 -45.755 -45.755
1006 84.2391 84.2391 -67.8009 -67.8009
2203 80.3118 80.3118 -71.7282 -71.7282
2432 75.2004 75.2004 -76.8396 -76.8396
3115 58.0419 58.0419 -93.9981 -93.9981
3836 46.0419 46.0419 -105.998 -105.998
4647 41.0412 41.0412 -110.999 -110.999
4706 35.1604 35.1604 -116.88 -116.88
5925 29.2844 29.2844 -122.756 -122.756
6312 21.285 21.285 -130.755 -130.755
21526 18.3387 18.3387 -133.701 -133.701
21531 17.1247 17.1247 -134.915 -134.915
29302 15.7453 15.7453 -136.295 -136.295
29309 13.5693 13.5693 -138.471 -138.471
32921 10.1162 10.1162 -141.924 -141.924
63539 9.55208 9.55208 -142.488 -142.488
64034 6.64104 6.64104 -145.399 -145.399
131514 4.26766 4.26766 -147.772 -147.772
200050 147.202 4.26766 -4.83838 -147.772
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 142.176 142.176 116.926 116.926
18 122.649 122.649 97.3992 97.3992
21 107.875 107.875 82.6254 82.6254
401 101.045 101.045 75.7946 75.7946
405 53.8191 53.8191 28.5691 28.5691
429 52.4358 52.4358 27.1858 27.1858
1109 51.9325 51.9325 26.6825 26.6825
1835 48.0324 48.0324 22.7824 22.7824
3217 42.457 42.457 17.207 17.207
7508 40.4948 40.4948 15.2448 15.2448
7932 30.3824 30.3824 5.13238 5.13238
9502 28.4816 28.4816 3.2316 3.2316
13413 25.8944 25.8944 0.64438 0.64438
15935 23.8022 23.8022 -1.44781 -1.44781
22821 23.729 23.729 -1.52096 -1.52096
23230 23.3709 23.3709 -1.87911 -1.87911
23241 19.3584 19.3584 -5.8916 -5.8916
31330 19.3395 19.3395 -5.91046 -5.91046
31335 17.0663 17.0663 -8.18367 -8.18367
39613 14.171 14.171 -11.079 -11.079
44822 14.1521 14.1521 -11.0979 -11.0979
50838 14.0712 14.0712 -11.1788 -11.1788
67113 12.0497 12.0497 -13.2003 -13.2003
67115 11.6702 11.6702 -13.5798 -13.5798
71849 10.4891 10.4891 -14.7609 -14.7609
106543 8.59674 8.59674 -16.6533 -16.6533
114120 7.41602 7.41602 -17.834 -17.834
193808 5.28754 5.28754 -19.9625 -19.9625
200050 159.899 5.28754 134.649 -19.9625
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 295.359 295.359 93.6386 93.6386
2 233.05 233.05 31.3299 31.3299
9 174.24 174.24 -27.4804 -27.4804
