"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 166090 166090 165544 165544
4 105196 105196 104649 104649
6 100509 100509 99962.5 99962.5
9 76359.8 76359.8 75813.3 75813.3
19 41664.5 41664.5 41118 41118
103 40965.8 40965.8 40419.3 40419.3
119 27966.8 27966.8 27420.3 27420.3
134 21387.8 21387.8 20841.3 20841.3
440 20938 20938 20391.5 20391.5
718 13333 13333 12786.5 12786.5
2220 13129.7 13129.7 12583.2 12583.2
3542 7551.74 7551.74 7005.24 7005.24
6325 4834.04 4834.04 4287.54 4287.54
9619 4342.47 4342.47 3795.97 3795.97
10110 2160.69 2160.69 1614.19 1614.19
17519 2146.95 2146.95 1600.45 1600.45
20025 2139.15 2139.15 1592.65 1592.65
25543 407.356 407.356 -139.144 -139.144
26643 265.84 265.84 -280.66 -280.66
54734 88.515 88.515 -457.985 -457.985
65302 69.4894 69.4894 -477.011 -477.011
71009 19.4271 19.4271 -527.073 -527.073
71029 16.0481 16.0481 -530.452 -530.452
87014 10.1368 10.1368 -536.363 -536.363
93133 8.53659 8.53659 -537.963 -537.963
106821 4.92092 4.92092 -541.579 -541.579
106832 3.86263 3.86263 -542.637 -542.637
200050 229554 3.86263 229007 -542.637
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 275205 275205 276205 276205
2 224610 224610 225610 225610
3 210355 210355 211355 211355
5 200130 200130 201130 201130
8 120518 120518 121518 121518
9 67942 67942 68942 68942
139 60880.9 60880.9 61880.9 61880.9
233 52615.9 52615.9 53615.9 53615.9
237 47799.5 47799.5 48799.5 48799.5
241 43273.3 43273.3 44273.3 44273.3
244 31504.3 31504.3 32504.3 32504.3
420 31116.7 31116.7 32116.7 32116.7
427 21467.3 21467.3 22467.3 22467.3
502 10741.5 10741.5 11741.5 11741.5
515 10516.7 10516.7 11516.7 11516.7
1810 10497.8 10497.8 11497.8 11497.8
1812 5065.03 5065.03 6065.03 6065.03
3202 3122.74 3122.74 4122.74 4122.74
3932 2316.53 2316.53 3316.53 3316.53
7020 1456.62 1456.62 2456.62 2456.62
7028 1305.05 1305.05 2305.05 2305.05
8908 1081.61 1081.61 2081.61 2081.61
17531 950.916 950.916 1950.92 1950.92
17729 405.023 405.023 1405.02 1405.02
31644 194.271 194.271 1194.27 1194.27
40428 36.299 36.299 1036.3 1036.3
76612 3.71704 3.71704 1003.72 1003.72
85024 3.64874 3.64874 1003.65 1003.65
188503 3.4374 3.4374 1003.44 1003.44
200050 33315.8 3.4374 34315.8 1003.44
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 89547.6 89547.6 89755.9 89755.9
4 75014.8 75014.8 75223.2 75223.2
12 63797 63797 64005.4 64005.4
214 58460.8 58460.8 58669.2 58669.2
218 49682.2 49682.2 49890.6 49890.6
219 43647.5 43647.5 43855.8 43855.8
245 31897.9 31897.9 32106.3 32106.3
247 24572.4 24572.4 24780.8 24780.8
424 10826.6 10826.6 11035 11035
809 7485.51 7485.51 7693.89 7693.89
835 6827.11 6827.11 7035.49 7035.49
847 3948.83 3948.83 4157.21 4157.21
9211 3680.18 3680.18 3888.56 3888.56
10606 2271.93 2271.93 2480.31 2480.31
11111 289.12 289.12 497.5 497.5
11150 12.4216 12.4216 220.802 220.802
109429 6.24316 6.24316 214.623 214.623
134439 3.96104 3.96104 212.341 212.341
200050 657185 3.96104 657393 212.341
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 196910 196910 196765 196765
2 107358 107358 107213 107213
25 92848.7 92848.7 92703.7 92703.7
26 81361.9 81361.9 81216.9 81216.9
37 62507.1 62507.1 62362.2 62362.2
126 49782.7 49782.7 49637.8 49637.8
508 46309.2 46309.2 46164.2 46164.2
509 22319.8 22319.8 22174.8 22174.8
533 14842.3 14842.3 14697.4 14697.4
2716 13304 13304 13159.1 13159.1
2718 11334.4 11334.4 11189.4 11189.4
6823 9809.4 9809.4 9664.44 9664.44
6840 9800.4 9800.4 9655.44 9655.44
8217 6298.04 6298.04 6153.08 6153.08
8731 5986.88 5986.88 5841.92 5841.92
9750 1981.35 1981.35 1836.39 1836.39
18530 1179.86 1179.86 1034.9 1034.9
24232 826.408 826.408 681.448 681.448
24233 746.653 746.653 601.693 601.693
30937 556.239 556.239 411.279 411.279
38430 503.882 503.882 358.922 358.922
40748 426.401 426.401 281.441 281.441
53042 15.9715 15.9715 -128.988 -128.988
124006 5.8414 5.8414 -139.119 -139.119
140828 3.46969 3.46969 -141.49 -141.49
