"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.3754 86.3754 127.155 127.155
2 86.0869 86.0869 126.867 126.867
3 85.4954 85.4954 126.275 126.275
5 85.408 85.408 126.188 126.188
6 85.1561 85.1561 125.936 125.936
9 81.782 81.782 122.562 122.562
34 81.4495 81.4495 122.23 122.23
122 80.3635 80.3635 121.143 121.143
239 77.1485 77.1485 117.928 117.928
821 77.1002 77.1002 117.88 117.88
1003 74.1964 74.1964 114.976 114.976
2012 68.7241 68.7241 109.504 109.504
2018 67.1395 67.1395 107.919 107.919
4127 52.2413 52.2413 93.0213 93.0213
7217 34.7186 34.7186 75.4986 75.4986
12117 33.7068 33.7068 74.4868 74.4868
12133 28.1885 28.1885 68.9685 68.9685
20620 22.9695 22.9695 63.7495 63.7495
20635 20.4173 20.4173 61.1973 61.1973
21605 14.9825 14.9825 55.7625 55.7625
36124 11.9793 11.9793 52.7593 52.7593
46531 8.65004 8.65004 49.43 49.43
87007 6.41103 6.41103 47.191 47.191
87024 6.17336 6.17336 46.9534 46.9534
95346 5.11632 5.11632 45.8963 45.8963
195010 3.40037 3.40037 44.1804 44.1804
195025 1.99736 1.99736 42.7774 42.7774
200050 778.176 1.99736 818.956 42.7774
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.0474 85.0474 83.4474 83.4474
2 84.3344 84.3344 82.7344 82.7344
4 82.7634 82.7634 81.1634 81.1634
14 76.7332 76.7332 75.1332 75.1332
419 68.1531 68.1531 66.5531 66.5531
929 68.0704 68.0704 66.4704 66.4704
940 54.5094 54.5094 52.9094 52.9094
6248 51.4162 51.4162 49.8162 49.8162
12506 49.7063 49.7063 48.1063 48.1063
12838 47.4976 47.4976 45.8976 45.8976
12840 26.7403 26.7403 25.1403 25.1403
17339 22.6119 22.6119 21.0119 21.0119
22612 20.6192 20.6192 19.0192 19.0192
26637 19.1035 19.1035 17.5035 17.5035
37617 16.7133 16.7133 15.1133 15.1133
83106 13.3344 13.3344 11.7344 11.7344
137116 11.6949 11.6949 10.0949 10.0949
154008 10.9273 10.9273 9.32727 9.32727
156304 10.4013 10.4013 8.80134 8.80134
164329 8.92268 8.92268 7.32268 7.32268
200050 127.229 8.92268 125.629 7.32268
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.4424 85.4424 -285.398 -285.398
2 85.3503 85.3503 -285.49 -285.49
4 84.8344 84.8344 -286.006 -286.006
7 83.2206 83.2206 -287.619 -287.619
14 81.1871 81.1871 -289.653 -289.653
109 80.8285 80.8285 -290.011 -290.011
119 80.8216 80.8216 -290.018 -290.018
126 80.0084 80.0084 -290.832 -290.832
304 78.5664 78.5664 -292.274 -292.274
423 73.4869 73.4869 -297.353 -297.353
1219 70.959 70.959 -299.881 -299.881
2711 70.348 70.348 -300.492 -300.492
4601 67.615 67.615 -303.225 -303.225
5405 64.9668 64.9668 -305.873 -305.873
5411 63.8999 63.8999 -306.94 -306.94
5432 60.0873 60.0873 -310.753 -310.753
5433 55.0838 55.0838 -315.756 -315.756
14119 51.5118 51.5118 -319.328 -319.328
14141 45.022 45.022 -325.818 -325.818
23205 43.0948 43.0948 -327.745 -327.745
37307 38.6763 38.6763 -332.164 -332.164
52211 33.6639 33.6639 -337.176 -337.176
73544 31.2485 31.2485 -339.592 -339.592
197117 31.1751 31.1751 -339.665 -339.665
200050 74.0462 31.1751 -296.794 -339.665
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.1733 86.1733 53.6133 53.6133
2 83.0269 83.0269 50.4669 50.4669
12 82.1472 82.1472 49.5872 49.5872
15 81.8773 81.8773 49.3173 49.3173
26 79.9991 79.9991 47.4391 47.4391
108 77.0897 77.0897 44.5297 44.5297
332 74.984 74.984 42.424 42.424
1947 74.3257 74.3257 41.7657 41.7657
2302 73.8033 73.8033 41.2433 41.2433
2324 73.0573 73.0573 40.4973 40.4973
5407 72.3281 72.3281 39.7681 39.7681
5424 72.008 72.008 39.448 39.448
5440 70.6908 70.6908 38.1308 38.1308
5449 67.8461 67.8461 35.2861 35.2861
6008 67.7363 67.7363 35.1763 35.1763
6012 63.7224 63.7224 31.1624 31.1624
6724 63.2152 63.2152 30.6552 30.6552
7239 59.2468 59.2468 26.6868 26.6868
7938 58.7153 58.7153 26.1553 26.1553
8133 54.8847 54.8847 22.3247 22.3247
9638 48.3876 48.3876 15.8276 15.8276
9650 38.4791 38.4791 5.91913 5.91913
9809 24.156 24.156 -8.40404 -8.40404
26320 19.6491 19.6491 -12.9109 -12.9109
26927 17.3533 17.3533 -15.2067 -15.2067
26931 16.9272 16.9272 -15.6328 -15.6328
27605 16.1496 16.1496 -16.4104 -16.4104
39925 9.7794 9.7794 -22.7806 -22.7806
66522 9.58478 9.58478 -22.9752 -22.9752
67910 9.25701 9.25701 -23.303 -23.303
73925 8.54111 8.54111 -24.0189 -24.0189
90708 7.63315 7.63315 -24.9268 -24.9268
95608 7.15954 7.15954 -25.4005 -25.4005
95641 3.81159 3.81159 -28.7484 -28.7484
151735 3.20856 3.20856 -29.3514 -29.3514
200050 103.035 3.20856 70.4751 -29.3514
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.139 86.139 601.539 601.539
2 85.0614 85.0614 600.461 600.461
3 84.7938 84.7938 600.194 600.194
8 76.8606 76.8606 592.261 592.261
20 75.2369 75.2369 590.637 590.637
1224 74.5803 74.5803 589.98 589.98
1507 68.9634 68.9634 584.363 584.363
1515 68.2188 68.2188 583.619 583.619
2002 68.1576 68.1576 583.558 583.558
2026 67.6395 67.6395 583.04 583.04
2410 62.369 62.369 577.769 577.769
2449 57.3276 57.3276 572.728 572.728
3211 54.9017 54.9017 570.302 570.302
3213 44.4753 44.4753 559.875 559.875
4044 41.1022 41.1022 556.502 556.502
4518 38.0121 38.0121 553.412 553.412
4542 34.2551 34.2551 549.655 549.655
5023 25.4142 25.4142 540.814 540.814
14713 23.7077 23.7077 539.108 539.108
14729 23.5176 23.5176 538.918 538.918
15242 19.2341 19.2341 534.634 534.634
19401 15.9515 15.9515 531.352 531.352
24724 15.6348 15.6348 531.035 531.035
41248 9.14789 9.14789 524.548 524.548
69708 8.58816 8.58816 523.988 523.988
73811 8.34753 8.34753 523.748 523.748
101804 7.52628 7.52628 522.926 522.926
101805 7.33472 7.33472 522.735 522.735
200050 77.4591 7.33472 592.859 522.735
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 82.4049 82.4049 1068.63 1068.63
11 80.0188 80.0188 1066.25 1066.25
102 75.2372 75.2372 1061.47 1061.47
828 73.2193 73.2193 1059.45 1059.45
2217 72.9868 72.9868 1059.22 1059.22
2826 72.7484 72.7484 1058.98 1058.98
3125 71.3706 71.3706 1057.6 1057.6
3306 68.3837 68.3837 1054.61 1054.61
3335 65.2074 65.2074 1051.44 1051.44
4840 65.1678 65.1678 1051.4 1051.4
4916 59.0954 59.0954 1045.33 1045.33
6109 52.8228 52.8228 1039.05 1039.05
6110 52.3118 52.3118 1038.54 1038.54
6147 34.6026 34.6026 1020.83 1020.83
9323 29.6393 29.6393 1015.87 1015.87
11536 28.2907 28.2907 1014.52 1014.52
13302 25.1999 25.1999 1011.43 1011.43
13328 20.2677 20.2677 1006.5 1006.5
13709 18.7759 18.7759 1005.01 1005.01
13932 15.8607 15.8607 1002.09 1002.09
26947 14.0726 14.0726 1000.3 1000.3
52009 12.4441 12.4441 998.674 998.674
52518 11.647 11.647 997.877 997.877
60224 11.4584 11.4584 997.688 997.688
60249 10.025 10.025 996.255 996.255
121807 8.48575 8.48575 994.716 994.716
168837 8.40785 8.40785 994.638 994.638
172533 8.34272 8.34272 994.573 994.573
200050 110.905 8.34272 1097.13 994.573
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 83.6462 83.6462 207.726 207.726
2 80.0445 80.0445 204.125 204.125
14 74.8885 74.8885 198.968 198.968
1630 71.0679 71.0679 195.148 195.148
3622 70.8756 70.8756 194.956 194.956
3631 66.858 66.858 190.938 190.938
10929 66.3485 66.3485 190.428 190.428
10930 50.4422 50.4422 174.522 174.522
12204 45.4915 45.4915 169.571 169.571
14921 43.4881 43.4881 167.568 167.568
16543 41.2652 41.2652 165.345 165.345
20906 27.1068 27.1068 151.187 151.187
21104 25.5979 25.5979 149.678 149.678
26933 18.0158 18.0158 142.096 142.096
32329 15.4274 15.4274 139.507 139.507
50604 14.8788 14.8788 138.959 138.959
53506 12.5267 12.5267 136.607 136.607
53537 12.2633 12.2633 136.343 136.343
58644 10.7546 10.7546 134.835 134.835
77321 10.3489 10.3489 134.429 134.429
88122 9.44067 9.44067 133.521 133.521
113147 8.39889 8.39889 132.479 132.479
127415 7.84361 7.84361 131.924 131.924
129922 7.07032 7.07032 131.15 131.15
198504 5.88173 5.88173 129.962 129.962
