"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 383.856 383.856 374.646 374.646
7 357.218 357.218 348.008 348.008
11 350.339 350.339 341.129 341.129
17 296.561 296.561 287.351 287.351
46 219.755 219.755 210.545 210.545
121 218.782 218.782 209.572 209.572
332 216.457 216.457 207.247 207.247
334 204.708 204.708 195.498 195.498
347 200.108 200.108 190.898 190.898
601 163.843 163.843 154.633 154.633
719 157.609 157.609 148.399 148.399
1342 155.922 155.922 146.712 146.712
1409 153.566 153.566 144.356 144.356
1410 149.899 149.899 140.689 140.689
1411 148.715 148.715 139.505 139.505
1414 142.288 142.288 133.078 133.078
1424 140.245 140.245 131.035 131.035
1446 138.997 138.997 129.787 129.787
1501 136.409 136.409 127.199 127.199
1502 134.376 134.376 125.166 125.166
1503 117.115 117.115 107.905 107.905
1504 73.947 73.947 64.737 64.737
1550 71.4893 71.4893 62.2793 62.2793
1902 64.1401 64.1401 54.9301 54.9301
1906 59.831 59.831 50.621 50.621
1912 57.9051 57.9051 48.6951 48.6951
1946 53.5727 53.5727 44.3627 44.3627
2403 30.7653 30.7653 21.5553 21.5553
3001 18.4272 18.4272 9.21716 9.21716
3003 -1.75178 -1.75178 -10.9618 -10.9618
3004 -22.7389 -22.7389 -31.9489 -31.9489
3015 -50.4287 -50.4287 -59.6387 -59.6387
3043 -75.2899 -75.2899 -84.4999 -84.4999
3050 35.9906 -75.2899 26.7806 -84.4999
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 439.992 439.992 1095.98 1095.98
3 360.717 360.717 1016.71 1016.71
4 331.683 331.683 987.673 987.673
19 278.51 278.51 934.5 934.5
23 264.223 264.223 920.213 920.213
119 261.98 261.98 917.97 917.97
139 226.924 226.924 882.914 882.914
201 207.658 207.658 863.648 863.648
203 198.764 198.764 854.754 854.754
205 191.832 191.832 847.822 847.822
210 149.699 149.699 805.689 805.689
217 124.412 124.412 780.402 780.402
223 106.17 106.17 762.16 762.16
401 47.8389 47.8389 703.829 703.829
812 30.107 30.107 686.097 686.097
833 24.3417 24.3417 680.332 680.332
1213 24.1904 24.1904 680.18 680.18
1219 1.99851 1.99851 657.989 657.989
1704 -24.395 -24.395 631.595 631.595
1750 50.563 -24.395 706.553 631.595
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 256.462 256.462 323.172 323.172
103 253.663 253.663 320.373 320.373
120 233.22 233.22 299.93 299.93
420 209.403 209.403 276.113 276.113
502 206.235 206.235 272.945 272.945
504 199.599 199.599 266.309 266.309
508 194.781 194.781 261.491 261.491
546 190.319 190.319 257.029 257.029
601 143.902 143.902 210.612 210.612
610 142.546 142.546 209.256 209.256
623 128.792 128.792 195.502 195.502
642 120.055 120.055 186.765 186.765
1302 118.529 118.529 185.239 185.239
1303 83.2998 83.2998 150.01 150.01
1307 66.9486 66.9486 133.659 133.659
1349 65.5735 65.5735 132.284 132.284
1801 56.9605 56.9605 123.67 123.67
1805 54.0366 54.0366 120.747 120.747
1807 53.3182 53.3182 120.028 120.028
1813 34.0912 34.0912 100.801 100.801
1820 22.6524 22.6524 89.3624 89.3624
2003 5.96492 5.96492 72.6749 72.6749
2010 -4.29345 -4.29345 62.4165 62.4165
2027 -9.83646 -9.83646 56.8735 56.8735
2040 -34.3679 -34.3679 32.3421 32.3421
2050 -3.93351 -34.3679 62.7765 32.3421
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 385.979 385.979 1327.65 1327.65
3 326.337 326.337 1268.01 1268.01
8 292.497 292.497 1234.17 1234.17
42 266.603 266.603 1208.27 1208.27
46 237.224 237.224 1178.89 1178.89
801 217.609 217.609 1159.28 1159.28
804 179.394 179.394 1121.06 1121.06
817 169.219 169.219 1110.89 1110.89
848 153.441 153.441 1095.11 1095.11
1801 107.832 107.832 1049.5 1049.5
1802 75.2767 75.2767 1016.95 1016.95
1805 73.8083 73.8083 1015.48 1015.48
1835 70.3973 70.3973 1012.07 1012.07
1906 69.4989 69.4989 1011.17 1011.17
2601 -40.597 -40.597 901.073 901.073
2610 -48.5145 -48.5145 893.156 893.156
2620 -59.0633 -59.0633 882.607 882.607
2650 -34.2147 -59.0633 907.455 882.607
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 386.913 386.913 349.463 349.463
2 384.536 384.536 347.086 347.086
4 310.851 310.851 273.401 273.401
9 275.765 275.765 238.315 238.315
308 269.763 269.763 232.313 232.313
310 260.752 260.752 223.302 223.302
311 250.786 250.786 213.336 213.336
424 224.805 224.805 187.355 187.355
628 205.342 205.342 167.892 167.892
1129 201.429 201.429 163.979 163.979
1219 182.238 182.238 144.788 144.788
1304 181.444 181.444 143.994 143.994
1316 176.436 176.436 138.986 138.986
1328 176.428 176.428 138.978 138.978
1434 169.763 169.763 132.313 132.313
1501 163.247 163.247 125.797 125.797
1502 157.733 157.733 120.283 120.283
1503 147.674 147.674 110.224 110.224
1511 142.531 142.531 105.081 105.081
1512 137.598 137.598 100.148 100.148
1618 133.622 133.622 96.1716 96.1716
1645 131.771 131.771 94.3211 94.3211
1702 86.6368 86.6368 49.1868 49.1868
1727 82.2497 82.2497 44.7997 44.7997
1728 79.2529 79.2529 41.8029 41.8029
1731 61.8447 61.8447 24.3947 24.3947
2102 21.5889 21.5889 -15.8611 -15.8611
2106 16.3456 16.3456 -21.1044 -21.1044
2111 1.71089 1.71089 -35.7391 -35.7391
2138 -5.83121 -5.83121 -43.2812 -43.2812
2141 -9.87779 -9.87779 -47.3278 -47.3278
2150 107.071 -9.87779 69.6209 -47.3278
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 476.451 476.451 767.071 767.071
2 469.656 469.656 760.276 760.276
3 342.363 342.363 632.983 632.983
10 342.209 342.209 632.829 632.829
23 290.627 290.627 581.247 581.247
40 262.115 262.115 552.735 552.735
504 238.463 238.463 529.083 529.083
525 234.814 234.814 525.434 525.434
544 209.783 209.783 500.403 500.403
805 205.702 205.702 496.322 496.322
815 170.084 170.084 460.704 460.704
1003 133.221 133.221 423.841 423.841
1302 106.048 106.048 396.668 396.668
1303 71.4783 71.4783 362.098 362.098
1312 53.3604 53.3604 343.98 343.98
1326 43.5932 43.5932 334.213 334.213
1337 8.11687 8.11687 298.737 298.737
1601 4.49513 4.49513 295.115 295.115
1602 -11.1518 -11.1518 279.468 279.468
1622 -15.0071 -15.0071 275.613 275.613
1650 23.8623 -15.0071 314.482 275.613
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 389.824 389.824 288.294 288.294
5 306.761 306.761 205.231 205.231
6 298.157 298.157 196.627 196.627
7 273.067 273.067 171.537 171.537
12 254.993 254.993 153.463 153.463
1002 209.372 209.372 107.842 107.842
1203 198.025 198.025 96.4947 96.4947
1208 189.968 189.968 88.4381 88.4381
1304 187.301 187.301 85.7709 85.7709
1310 184.521 184.521 82.9908 82.9908
1312 179.988 179.988 78.4584 78.4584
1315 179.955 179.955 78.4248 78.4248
1322 177.815 177.815 76.2846 76.2846
1323 162.153 162.153 60.6233 60.6233
1332 161.688 161.688 60.1581 60.1581
1335 153.805 153.805 52.2746 52.2746
1401 153.464 153.464 51.9342 51.9342
1410 150.614 150.614 49.0838 49.0838
1411 142.932 142.932 41.4017 41.4017
1413 141.001 141.001 39.4713 39.4713
1429 111.74 111.74 10.21 10.21
1704 105.426 105.426 3.89612 3.89612
1740 100.607 100.607 -0.923486 -0.923486
1742 95.4652 95.4652 -6.06479 -6.06479
2001 79.8436 79.8436 -21.6864 -21.6864
2002 59.0812 59.0812 -42.4488 -42.4488
2004 27.6202 27.6202 -73.9098 -73.9098
2023 26.7419 26.7419 -74.7881 -74.7881
2025 3.80886 3.80886 -97.7211 -97.7211
2401 -39.176 -39.176 -140.706 -140.706
2415 -43.7431 -43.7431 -145.273 -145.273
2417 -50.4102 -50.4102 -151.94 -151.94
2444 -58.8153 -58.8153 -160.345 -160.345
2450 -39.923 -58.8153 -141.453 -160.345
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 264.795 264.795 566.765 566.765
34 248.568 248.568 550.538 550.538
319 240.662 240.662 542.632 542.632
702 233.675 233.675 535.645 535.645
708 231.954 231.954 533.924 533.924
727 223.316 223.316 525.286 525.286
729 223.18 223.18 525.15 525.15
904 210.114 210.114 512.084 512.084
906 200.672 200.672 502.642 502.642
924 194.972 194.972 496.942 496.942
930 194.804 194.804 496.774 496.774
945 190.404 190.404 492.374 492.374
1402 175.636 175.636 477.606 477.606
1406 164.374 164.374 466.344 466.344
