"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2006.97 2006.97 2156.12 2156.12
2 1585.6 1585.6 1734.75 1734.75
3 213.062 213.062 362.212 362.212
8 125.205 125.205 274.355 274.355
10 79.2565 79.2565 228.406 228.406
12 53.8322 53.8322 202.982 202.982
21 16.166 16.166 165.316 165.316
206 8.71896 8.71896 157.869 157.869
221 2.77855 2.77855 151.929 151.929
236 2.11358 2.11358 151.264 151.264
506 0.10666 0.10666 149.257 149.257
1345 0.0623648 0.0623648 149.212 149.212
7420 0.0167278 0.0167278 149.167 149.167
13537 0.0154622 0.0154622 149.165 149.165
15041 0.0147102 0.0147102 149.165 149.165
15049 0.00649393 0.00649393 149.156 149.156
20050 64.645 0.00649393 213.795 149.156
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2460.99 2460.99 1460.99 1460.99
10 200.068 200.068 -799.932 -799.932
21 125.922 125.922 -874.078 -874.078
208 21.4459 21.4459 -978.554 -978.554
213 7.98141 7.98141 -992.019 -992.019
248 5.9817 5.9817 -994.018 -994.018
315 0.0469563 0.0469563 -999.953 -999.953
4030 0.00367625 0.00367625 -999.996 -999.996
6839 0.00281266 0.00281266 -999.997 -999.997
20050 21.9628 0.00281266 -978.037 -999.997
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 102026 102026 102124 102124
2 419.247 419.247 517.867 517.867
8 121.485 121.485 220.105 220.105
25 62.9621 62.9621 161.582 161.582
36 2.04983 2.04983 100.67 100.67
49 1.92863 1.92863 100.549 100.549
235 0.955485 0.955485 99.5755 99.5755
903 0.129145 0.129145 98.7491 98.7491
2123 0.0286223 0.0286223 98.6486 98.6486
2940 0.00346781 0.00346781 98.6235 98.6235
20050 7532.35 0.00346781 7630.97 98.6235
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 439.498 439.498 392.348 392.348
4 4.23072 4.23072 -42.9193 -42.9193
208 3.73491 3.73491 -43.4151 -43.4151
350 0.225765 0.225765 -46.9242 -46.9242
1131 0.142942 0.142942 -47.0071 -47.0071
1947 0.101058 0.101058 -47.0489 -47.0489
2937 0.0561542 0.0561542 -47.0938 -47.0938
9110 0.0293291 0.0293291 -47.1207 -47.1207
9139 0.0271079 0.0271079 -47.1229 -47.1229
11707 0.0100719 0.0100719 -47.1399 -47.1399
15141 0.0066277 0.0066277 -47.1434 -47.1434
20050 1.46155e+06 0.0066277 1.4615e+06 -47.1434
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 78660.7 78660.7 78698.2 78698.2
2 2314.3 2314.3 2351.82 2351.82
3 230.299 230.299 267.819 267.819
5 39.6215 39.6215 77.1415 77.1415
24 3.05396 3.05396 40.574 40.574
106 2.98463 2.98463 40.5046 40.5046
136 1.45943 1.45943 38.9794 38.9794
1837 0.19491 0.19491 37.7149 37.7149
2429 0.151714 0.151714 37.6717 37.6717
4419 0.0741483 0.0741483 37.5941 37.5941
10015 0.0719627 0.0719627 37.592 37.592
10031 0.0712885 0.0712885 37.5913 37.5913
14611 0.000543398 0.000543398 37.5205 37.5205
20050 2686.35 0.000543398 2723.87 37.5205
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 10811.7 10811.7 10385.9 10385.9
2 1849.95 1849.95 1424.2 1424.2
5 76.979 76.979 -348.771 -348.771
22 7.04054 7.04054 -418.709 -418.709
117 2.17361 2.17361 -423.576 -423.576
443 0.128701 0.128701 -425.621 -425.621
737 0.103598 0.103598 -425.646 -425.646
1546 0.00915964 0.00915964 -425.741 -425.741
3715 0.00362917 0.00362917 -425.746 -425.746
7812 0.00189154 0.00189154 -425.748 -425.748
20050 9.85438e+09 0.00189154 9.85438e+09 -425.748
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 25032.4 25032.4 24811.5 24811.5
4 18162.5 18162.5 17941.6 17941.6
5 16.2742 16.2742 -204.626 -204.626
7 0.0608842 0.0608842 -220.839 -220.839
2716 0.0364385 0.0364385 -220.864 -220.864
13811 0.0102021 0.0102021 -220.89 -220.89
20050 0.747809 0.0102021 -220.152 -220.89
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12325.6 12325.6 11966.2 11966.2
2 2516.14 2516.14 2156.66 2156.66
4 429.82 429.82 70.3395 70.3395
13 313.936 313.936 -45.5442 -45.5442
21 171.407 171.407 -188.073 -188.073
25 100.828 100.828 -258.652 -258.652
27 24.4471 24.4471 -335.033 -335.033
107 5.95664 5.95664 -353.523 -353.523
601 1.43119 1.43119 -358.049 -358.049
605 0.219494 0.219494 -359.261 -359.261
2508 0.121795 0.121795 -359.358 -359.358
9229 0.0795533 0.0795533 -359.4 -359.4
9230 0.0492388 0.0492388 -359.431 -359.431
9235 0.00896626 0.00896626 -359.471 -359.471
16450 0.0076357 0.0076357 -359.472 -359.472
16534 0.00327906 0.00327906 -359.477 -359.477
20050 272.988 0.00327906 -86.4917 -359.477
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 156958 156958 156985 156985
2 5569.85 5569.85 5597.33 5597.33
3 32.9029 32.9029 60.3829 60.3829
17 13.3922 13.3922 40.8722 40.8722
117 3.08757 3.08757 30.5676 30.5676
244 0.799539 0.799539 28.2795 28.2795
343 0.401889 0.401889 27.8819 27.8819
428 0.1052 0.1052 27.5852 27.5852
1343 0.0729396 0.0729396 27.5529 27.5529
5405 0.0353514 0.0353514 27.5154 27.5154
5414 0.0269601 0.0269601 27.507 27.507
5424 0.0246339 0.0246339 27.5046 27.5046
6303 0.0154431 0.0154431 27.4954 27.4954
20050 409.372 0.0154431 436.852 27.4954
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 142.836 142.836 178.926 178.926
34 80.6586 80.6586 116.749 116.749
37 43.9759 43.9759 80.0659 80.0659
50 31.2636 31.2636 67.3536 67.3536
101 6.33657 6.33657 42.4266 42.4266
107 5.22455 5.22455 41.3146 41.3146
134 3.96666 3.96666 40.0567 40.0567
936 3.38014 3.38014 39.4701 39.4701
1002 0.765936 0.765936 36.8559 36.8559
1007 0.572777 0.572777 36.6628 36.6628
1008 0.328639 0.328639 36.4186 36.4186
1402 0.119066 0.119066 36.2091 36.2091
1515 0.0545316 0.0545316 36.1445 36.1445
7416 0.0112162 0.0112162 36.1012 36.1012
8229 0.00666331 0.00666331 36.0967 36.0967
18002 0.00588945 0.00588945 36.0959 36.0959
18003 0.000169458 0.000169458 36.0902 36.0902
20050 0.0804896 0.000169458 36.1705 36.0902
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3409.21 3409.21 3351.3 3351.3
4 2155.4 2155.4 2097.49 2097.49
5 1654.77 1654.77 1596.86 1596.86
8 1412.7 1412.7 1354.79 1354.79
9 263.907 263.907 205.997 205.997
16 85.1616 85.1616 27.2516 27.2516
23 5.51019 5.51019 -52.3998 -52.3998
28 2.73074 2.73074 -55.1793 -55.1793
139 2.45077 2.45077 -55.4592 -55.4592
524 0.0742124 0.0742124 -57.8358 -57.8358
3820 0.0176103 0.0176103 -57.8924 -57.8924
5744 0.0159514 0.0159514 -57.894 -57.894
8145 0.00996847 0.00996847 -57.9 -57.9
8338 0.00313932 0.00313932 -57.9069 -57.9069
20050 0.648406 0.00313932 -57.2616 -57.9069
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 193730 193730 193395 193395
2 14416.2 14416.2 14081.3 14081.3
7 2672.4 2672.4 2337.49 2337.49
8 310.723 310.723 -24.1867 -24.1867
13 24.2194 24.2194 -310.691 -310.691
17 8.74374 8.74374 -326.166 -326.166
246 8.32447 8.32447 -326.586 -326.586
435 3.94182 3.94182 -330.968 -330.968
438 1.34829 1.34829 -333.562 -333.562
448 0.792935 0.792935 -334.117 -334.117
510 0.117291 0.117291 -334.793 -334.793
3818 0.00926428 0.00926428 -334.901 -334.901
4621 0.00437707 0.00437707 -334.906 -334.906
13227 0.00247232 0.00247232 -334.908 -334.908
20050 900.466 0.00247232 565.556 -334.908
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 66.2566 66.2566 19.5566 19.5566
26 2.67247 2.67247 -44.0275 -44.0275
42 0.522308 0.522308 -46.1777 -46.1777
4122 0.260516 0.260516 -46.4395 -46.4395
4306 0.00947885 0.00947885 -46.6905 -46.6905
8431 0.00501268 0.00501268 -46.695 -46.695
20050 149815 0.00501268 149768 -46.695
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 93312.8 93312.8 93219.7 93219.7
2 2186.42 2186.42 2093.34 2093.34
5 231.417 231.417 138.337 138.337
8 204.433 204.433 111.353 111.353
9 23.0659 23.0659 -70.0141 -70.0141
13 17.0851 17.0851 -75.9949 -75.9949
19 4.58861 4.58861 -88.4914 -88.4914
412 4.54046 4.54046 -88.5395 -88.5395
418 1.23953 1.23953 -91.8405 -91.8405
928 1.0984 1.0984 -91.9816 -91.9816
1028 0.534936 0.534936 -92.5451 -92.5451
1131 0.386483 0.386483 -92.6935 -92.6935
1538 0.168588 0.168588 -92.9114 -92.9114
2410 0.15921 0.15921 -92.9208 -92.9208
2446 0.126203 0.126203 -92.9538 -92.9538
4603 0.123819 0.123819 -92.9562 -92.9562
