"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 376.113 376.113 406.083 406.083
3 110.489 110.489 140.459 140.459
15 86.8413 86.8413 116.811 116.811
44 4.44273 4.44273 34.4127 34.4127
74 2.30763 2.30763 32.2776 32.2776
400 296.729 2.30763 326.699 32.2776
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 248.573 248.573 196.863 196.863
10 128.045 128.045 76.3355 76.3355
13 119.028 119.028 67.3182 67.3182
34 52.1372 52.1372 0.427249 0.427249
112 20.0983 20.0983 -31.6117 -31.6117
400 224.89 20.0983 173.18 -31.6117
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 434.829 434.829 154.879 154.879
3 283.308 283.308 3.35809 3.35809
4 160.237 160.237 -119.713 -119.713
9 98.7565 98.7565 -181.193 -181.193
58 74.9705 74.9705 -204.979 -204.979
83 65.2437 65.2437 -214.706 -214.706
122 52.3453 52.3453 -227.605 -227.605
135 2.02128 2.02128 -277.929 -277.929
143 1.8521 1.8521 -278.098 -278.098
400 269.726 1.8521 -10.2243 -278.098
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 144.81 144.81 1076.8 1076.8
4 81.3113 81.3113 1013.3 1013.3
74 12.0046 12.0046 943.995 943.995
169 9.69772 9.69772 941.688 941.688
198 7.37133 7.37133 939.361 939.361
202 5.53207 5.53207 937.522 937.522
217 3.54468 3.54468 935.535 935.535
400 233.212 3.54468 1165.2 935.535
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1664.87 1664.87 1778.18 1778.18
2 34.3405 34.3405 147.651 147.651
21 9.77918 9.77918 123.089 123.089
242 2.82272 2.82272 116.133 116.133
400 857.995 2.82272 971.305 116.133
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 424.057 424.057 124.037 124.037
3 195.971 195.971 -104.049 -104.049
7 27.8769 27.8769 -272.143 -272.143
43 25.1997 25.1997 -274.82 -274.82
400 329.866 25.1997 29.8465 -274.82
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 909.13 909.13 953.84 953.84
3 475.387 475.387 520.097 520.097
6 279.292 279.292 324.002 324.002
7 207.055 207.055 251.765 251.765
15 121.05 121.05 165.76 165.76
23 71.5595 71.5595 116.27 116.27
37 66.0741 66.0741 110.784 110.784
136 51.4193 51.4193 96.1293 96.1293
325 46.615 46.615 91.325 91.325
362 2.93286 2.93286 47.6429 47.6429
400 263.297 2.93286 308.007 47.6429
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 90.9119 90.9119 -909.088 -909.088
20 64.2956 64.2956 -935.704 -935.704
51 63.6795 63.6795 -936.321 -936.321
59 63.5472 63.5472 -936.453 -936.453
65 16.5938 16.5938 -983.406 -983.406
117 14.0958 14.0958 -985.904 -985.904
165 12.3778 12.3778 -987.622 -987.622
305 0.367589 0.367589 -999.632 -999.632
400 263.281 0.367589 -736.719 -999.632
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1414.99 1414.99 1719.19 1719.19
2 810.268 810.268 1114.47 1114.47
3 136.298 136.298 440.498 440.498
13 131.909 131.909 436.109 436.109
14 97.9987 97.9987 402.199 402.199
40 22.5125 22.5125 326.713 326.713
400 636.296 22.5125 940.496 326.713
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1158.54 1158.54 1053.87 1053.87
2 826.346 826.346 721.676 721.676
3 318.952 318.952 214.282 214.282
5 309.228 309.228 204.558 204.558
6 196.666 196.666 91.996 91.996
15 33.0203 33.0203 -71.6497 -71.6497
57 23.0863 23.0863 -81.5837 -81.5837
104 17.3068 17.3068 -87.3632 -87.3632
277 6.12226 6.12226 -98.5477 -98.5477
400 270.836 6.12226 166.166 -98.5477
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 333.237 333.237 820.187 820.187
3 77.8341 77.8341 564.784 564.784
84 26.2444 26.2444 513.194 513.194
400 279.562 26.2444 766.512 513.194
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 631.042 631.042 727.592 727.592
2 174.87 174.87 271.42 271.42
