"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4224.78 4224.78 4254.75 4254.75
2 3929.8 3929.8 3959.77 3959.77
3 3358.23 3358.23 3388.2 3388.2
4 2900.71 2900.71 2930.68 2930.68
12 2652.07 2652.07 2682.04 2682.04
14 2544.2 2544.2 2574.17 2574.17
18 2185.65 2185.65 2215.62 2215.62
32 1925.86 1925.86 1955.83 1955.83
57 1840.42 1840.42 1870.39 1870.39
138 1637.65 1637.65 1667.62 1667.62
472 1549.67 1549.67 1579.64 1579.64
504 1491.75 1491.75 1521.72 1521.72
564 1438.74 1438.74 1468.71 1468.71
770 1426.36 1426.36 1456.33 1456.33
931 1414.63 1414.63 1444.6 1444.6
1145 1395.17 1395.17 1425.14 1425.14
1174 1370.01 1370.01 1399.98 1399.98
1513 1367.26 1367.26 1397.23 1397.23
1571 1363.16 1363.16 1393.13 1393.13
1648 1351.55 1351.55 1381.52 1381.52
2081 1349.32 1349.32 1379.29 1379.29
2150 1709.01 1349.32 1738.98 1379.29
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4046.68 4046.68 3994.97 3994.97
2 2425.41 2425.41 2373.7 2373.7
6 2423.37 2423.37 2371.66 2371.66
26 2318.15 2318.15 2266.44 2266.44
88 2274.47 2274.47 2222.76 2222.76
401 2095.41 2095.41 2043.7 2043.7
402 2026.27 2026.27 1974.56 1974.56
458 2010.21 2010.21 1958.5 1958.5
502 1988.24 1988.24 1936.53 1936.53
753 1985.51 1985.51 1933.8 1933.8
777 1917.14 1917.14 1865.43 1865.43
798 1900.84 1900.84 1849.13 1849.13
924 1887.55 1887.55 1835.84 1835.84
1058 1859.49 1859.49 1807.78 1807.78
1122 1844.82 1844.82 1793.11 1793.11
1239 1840.88 1840.88 1789.17 1789.17
1394 1840.11 1840.11 1788.4 1788.4
1509 1834.97 1834.97 1783.26 1783.26
1747 1830.61 1830.61 1778.9 1778.9
1759 1819.53 1819.53 1767.82 1767.82
2150 3715.13 1819.53 3663.42 1767.82
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3284.92 3284.92 3004.97 3004.97
2 3162.91 3162.91 2882.96 2882.96
3 2909.39 2909.39 2629.44 2629.44
